"f","count"
"original_shape_Sphericity",113
"original_shape_SurfaceVolumeRatio",108
"original_firstorder_90Percentile",207
"original_firstorder_Maximum",224
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",96
"log.sigma.1.0.mm.3D_firstorder_Skewness",54
"log.sigma.1.0.mm.3D_glcm_Correlation",135
"log.sigma.1.0.mm.3D_glcm_Imc1",187
"log.sigma.1.0.mm.3D_glcm_Imc2",190
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",86
"log.sigma.2.0.mm.3D_firstorder_90Percentile",164
"log.sigma.2.0.mm.3D_firstorder_RootMeanSquared",195
"log.sigma.2.0.mm.3D_glcm_Imc2",187
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",192
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",133
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",187
"log.sigma.3.0.mm.3D_firstorder_Maximum",88
"log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",24
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",13
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",22
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",36
"wavelet.LLH_firstorder_InterquartileRange",208
"wavelet.LLH_firstorder_Mean",132
"wavelet.LLH_firstorder_Median",155
"wavelet.LLH_firstorder_RootMeanSquared",147
"wavelet.LLH_glcm_Autocorrelation",212
"wavelet.LLH_glrlm_RunEntropy",46
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",212
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",26
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",217
"wavelet.LLH_gldm_DependenceNonUniformity",29
"wavelet.LHL_firstorder_Kurtosis",62
"wavelet.LHL_glcm_Correlation",123
"wavelet.LHL_glcm_Imc1",215
"wavelet.LHL_glcm_Imc2",203
"wavelet.LHL_glcm_InverseVariance",87
"wavelet.LHL_glcm_MaximumProbability",100
"wavelet.LHL_glrlm_RunEntropy",132
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",94
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",45
"wavelet.LHL_glszm_GrayLevelVariance",168
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",80
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",73
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",97
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",103
"wavelet.LHL_glszm_ZoneEntropy",74
"wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis",130
"wavelet.LHH_firstorder_Variance",200
"wavelet.LHH_glcm_ClusterShade",59
"wavelet.HLL_firstorder_90Percentile",153
"wavelet.HLL_firstorder_Maximum",154
