"f","count"
"log.sigma.1.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",147
"log.sigma.1.0.mm.3D_glrlm_RunEntropy",30
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",144
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",24
"log.sigma.1.0.mm.3D_gldm_DependenceEntropy",28
"log.sigma.2.0.mm.3D_firstorder_90Percentile",138
"log.sigma.2.0.mm.3D_glcm_Correlation",92
"log.sigma.2.0.mm.3D_glcm_Imc2",90
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",183
"log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis",139
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",182
"log.sigma.3.0.mm.3D_firstorder_Maximum",119
"log.sigma.3.0.mm.3D_glcm_Autocorrelation",96
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",98
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",98
"wavelet.LLH_glcm_JointAverage",210
"wavelet.LLH_glrlm_LowGrayLevelRunEmphasis",202
"wavelet.LLH_glrlm_RunEntropy",58
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",210
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",210
"wavelet.LLH_glszm_ZoneEntropy",43
"wavelet.LLH_gldm_DependenceNonUniformity",27
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",32
"wavelet.LHL_firstorder_90Percentile",134
"wavelet.LHL_glrlm_RunEntropy",208
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",211
"wavelet.LHL_glszm_GrayLevelVariance",193
"wavelet.LHL_glszm_ZoneEntropy",33
"wavelet.HLL_firstorder_RootMeanSquared",179
"wavelet.HLL_firstorder_Skewness",8
"wavelet.HLL_firstorder_Variance",177
"wavelet.HLL_glcm_ClusterShade",84
"wavelet.HLL_glcm_Imc1",64
"wavelet.HLL_glszm_GrayLevelNonUniformityNormalized",33
"wavelet.HLH_firstorder_Median",75
"wavelet.HLH_glcm_ClusterShade",59
"wavelet.HHL_glcm_Imc1",186
"wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis",230
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",71
"wavelet.HHL_glszm_ZoneEntropy",63
"wavelet.HHH_firstorder_Median",58
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",136
"wavelet.LLL_gldm_SmallDependenceLowGrayLevelEmphasis",132
"gradient_firstorder_Median",95
"gradient_glcm_Correlation",82
"gradient_glcm_Imc2",92
"lbp.3D.m1_glcm_InverseVariance",40
"lbp.3D.m2_firstorder_90Percentile",148
"lbp.3D.m2_firstorder_Mean",103
"lbp.3D.m2_glcm_ClusterProminence",113
"lbp.3D.m2_glcm_ClusterShade",109
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",208
"logarithm_firstorder_Maximum",32
"original_glcm_ClusterTendency",66
"original_glcm_SumEntropy",67
"log.sigma.2.0.mm.3D_glcm_JointAverage",103
"log.sigma.2.0.mm.3D_glcm_ClusterShade",149
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",82
"log.sigma.3.0.mm.3D_firstorder_Skewness",166
"log.sigma.3.0.mm.3D_glcm_ClusterShade",169
"wavelet.LLH_firstorder_Variance",139
"wavelet.LLH_glcm_Correlation",159
"wavelet.LLH_glcm_InverseVariance",145
"wavelet.LHL_firstorder_Kurtosis",22
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",212
"wavelet.LHL_glszm_LowGrayLevelZoneEmphasis",60
"wavelet.LHL_glszm_SmallAreaEmphasis",27
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",61
"wavelet.LHL_gldm_DependenceEntropy",219
"wavelet.LHL_gldm_LowGrayLevelEmphasis",60
"wavelet.HLL_firstorder_Kurtosis",70
"wavelet.HLL_firstorder_Mean",73
"wavelet.HLL_glcm_Imc2",37
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",66
"wavelet.HLL_glszm_ZoneEntropy",17
"wavelet.HHL_firstorder_Skewness",43
"wavelet.HHL_glcm_Imc2",8
"wavelet.HHH_firstorder_InterquartileRange",69
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",68
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",20
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",22
"gradient_glrlm_LongRunLowGrayLevelEmphasis",15
"gradient_glrlm_RunEntropy",172
"gradient_glszm_SmallAreaEmphasis",12
"gradient_gldm_DependenceEntropy",81
"logarithm_glcm_Imc2",24
"original_glrlm_ShortRunHighGrayLevelEmphasis",114
"original_glszm_HighGrayLevelZoneEmphasis",118
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",1
"log.sigma.3.0.mm.3D_glcm_Imc1",10
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",16
"wavelet.LHL_firstorder_Minimum",96
"wavelet.LHL_glcm_Correlation",13
"wavelet.LHH_firstorder_10Percentile",47
"wavelet.LHH_firstorder_Skewness",114
"wavelet.LHH_glrlm_RunVariance",11
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",74
"wavelet.LHH_glszm_GrayLevelVariance",42
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",123
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",109
"wavelet.LHH_glszm_SmallAreaEmphasis",55
"wavelet.LHH_glszm_ZoneEntropy",89
"wavelet.HLL_glcm_JointAverage",91
"wavelet.HLL_glcm_Correlation",59
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",91
"wavelet.HLL_gldm_LowGrayLevelEmphasis",91
"wavelet.HHL_glcm_Correlation",50
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",78
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",78
"wavelet.HHL_gldm_DependenceVariance",12
"wavelet.HHL_gldm_LowGrayLevelEmphasis",78
"wavelet.HHH_firstorder_Skewness",67
"wavelet.HHH_glcm_JointAverage",16
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",13
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",92
"gradient_firstorder_Skewness",122
"gradient_glcm_InverseVariance",155
"gradient_glszm_GrayLevelNonUniformityNormalized",74
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",131
"lbp.3D.m1_firstorder_Median",69
"lbp.3D.m1_firstorder_RootMeanSquared",103
"logarithm_glcm_InverseVariance",29
"logarithm_gldm_DependenceEntropy",18
"original_shape_Sphericity",8
"original_glrlm_LowGrayLevelRunEmphasis",21
"log.sigma.1.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",105
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",6
"wavelet.LHL_glcm_InverseVariance",120
"wavelet.LHH_glcm_Imc2",83
"wavelet.LHH_gldm_DependenceVariance",21
"wavelet.HLL_firstorder_90Percentile",120
"wavelet.HHL_firstorder_Mean",13
"lbp.3D.m1_glcm_Correlation",112
"logarithm_glrlm_LowGrayLevelRunEmphasis",21
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",22
"original_glrlm_LongRunHighGrayLevelEmphasis",14
"original_glszm_SizeZoneNonUniformityNormalized",9
"log.sigma.3.0.mm.3D_glcm_SumEntropy",24
"wavelet.LLH_firstorder_Mean",59
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",8
"wavelet.LLL_glrlm_LowGrayLevelRunEmphasis",19
"lbp.3D.m1_gldm_HighGrayLevelEmphasis",99
"lbp.3D.m2_glrlm_LongRunLowGrayLevelEmphasis",65
"logarithm_glrlm_RunEntropy",43
"logarithm_glszm_GrayLevelNonUniformityNormalized",27
"logarithm_glszm_ZoneEntropy",23
"original_glszm_GrayLevelVariance",61
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",73
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",18
"wavelet.LHL_glcm_Imc1",81
"wavelet.LHL_glcm_Imc2",73
"wavelet.HHH_firstorder_Mean",44
"wavelet.LLH_firstorder_Kurtosis",30
