"f","count"
"original_firstorder_Kurtosis",138
"original_firstorder_Maximum",183
"original_glcm_JointAverage",207
"original_glrlm_LowGrayLevelRunEmphasis",27
"original_glszm_GrayLevelVariance",100
"log.sigma.1.0.mm.3D_firstorder_RootMeanSquared",107
"log.sigma.1.0.mm.3D_glrlm_RunEntropy",166
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",80
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",102
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",123
"log.sigma.3.0.mm.3D_firstorder_90Percentile",120
"log.sigma.3.0.mm.3D_firstorder_Maximum",80
"log.sigma.3.0.mm.3D_firstorder_Median",50
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",151
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",114
"wavelet.LLH_firstorder_10Percentile",189
"wavelet.LLH_firstorder_Median",64
"wavelet.LLH_firstorder_RootMeanSquared",160
"wavelet.LLH_glrlm_RunEntropy",188
"wavelet.LHL_glcm_Imc1",139
"wavelet.LHL_glcm_InverseVariance",92
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",197
"wavelet.LHL_gldm_DependenceEntropy",32
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",49
"wavelet.LHH_firstorder_Median",122
"wavelet.LHH_firstorder_Variance",31
"wavelet.HLL_firstorder_10Percentile",145
"wavelet.HLL_firstorder_Mean",217
"wavelet.HLL_glcm_Imc2",166
"wavelet.HLL_gldm_DependenceNonUniformityNormalized",142
"wavelet.HLH_firstorder_90Percentile",119
"wavelet.HHL_firstorder_Kurtosis",206
"wavelet.HHL_firstorder_Mean",190
"wavelet.HHL_glcm_Correlation",180
"wavelet.HHL_glcm_Imc2",198
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",231
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",199
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",77
"wavelet.HHH_firstorder_InterquartileRange",233
"wavelet.HHH_gldm_LowGrayLevelEmphasis",69
"wavelet.LLL_glszm_GrayLevelVariance",151
"wavelet.LLL_glszm_SmallAreaEmphasis",126
"lbp.3D.m1_glcm_JointAverage",203
"lbp.3D.m1_glcm_Correlation",213
"lbp.3D.m1_glszm_SmallAreaEmphasis",213
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",134
"lbp.3D.m2_glcm_JointEnergy",193
"lbp.3D.k_firstorder_Minimum",180
"lbp.3D.k_glrlm_GrayLevelVariance",159
"lbp.3D.k_glszm_GrayLevelNonUniformityNormalized",85
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",193
"logarithm_glszm_GrayLevelNonUniformityNormalized",188
"original_glcm_Correlation",29
"original_glszm_ZoneEntropy",39
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",94
"log.sigma.1.0.mm.3D_firstorder_Mean",71
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",56
"wavelet.LLH_firstorder_Mean",134
"wavelet.LHL_firstorder_RootMeanSquared",62
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",204
"wavelet.HLL_firstorder_Kurtosis",194
"wavelet.HLL_firstorder_Variance",173
"wavelet.HLL_glcm_JointAverage",90
"wavelet.HLL_glcm_Correlation",107
"wavelet.HLH_firstorder_Kurtosis",71
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",144
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",57
"wavelet.HLH_gldm_LowGrayLevelEmphasis",116
"wavelet.HHL_firstorder_InterquartileRange",138
"wavelet.HHL_firstorder_Median",39
"wavelet.HHL_glcm_ClusterShade",61
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",116
"wavelet.LLL_firstorder_InterquartileRange",19
"wavelet.LLL_glrlm_GrayLevelNonUniformityNormalized",62
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",52
"gradient_firstorder_Skewness",59
"gradient_glszm_ZoneEntropy",54
"lbp.3D.m1_firstorder_Median",184
"lbp.3D.m2_glcm_Idmn",101
"logarithm_glcm_JointAverage",157
"log.sigma.1.0.mm.3D_glcm_Correlation",41
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",19
"wavelet.LLH_glcm_ClusterShade",88
"wavelet.LLH_glcm_Imc1",134
"wavelet.LHH_firstorder_Mean",102
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",69
"wavelet.HLH_glrlm_RunEntropy",7
"wavelet.HLH_glszm_GrayLevelVariance",96
"wavelet.HLH_glszm_ZoneEntropy",8
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",109
"wavelet.HHH_glszm_SizeZoneNonUniformity",103
"wavelet.LLL_firstorder_90Percentile",68
"original_glcm_ClusterProminence",99
"log.sigma.2.0.mm.3D_glcm_Autocorrelation",76
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",78
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",34
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",70
"wavelet.LLH_gldm_HighGrayLevelEmphasis",58
"wavelet.LHL_glszm_ZoneEntropy",23
"wavelet.LHH_firstorder_Skewness",131
"wavelet.LHH_glszm_HighGrayLevelZoneEmphasis",94
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",82
"wavelet.HHL_glszm_SizeZoneNonUniformity",78
"wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis",52
"wavelet.HHH_firstorder_Median",69
"wavelet.HHH_firstorder_Skewness",105
"wavelet.HHH_glcm_Correlation",24
"wavelet.LLL_glrlm_LowGrayLevelRunEmphasis",40
"wavelet.LLL_glszm_ZoneEntropy",46
"lbp.3D.m2_firstorder_Mean",68
"logarithm_glrlm_GrayLevelNonUniformityNormalized",72
"logarithm_glrlm_ShortRunHighGrayLevelEmphasis",27
"original_shape_Sphericity",5
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",2
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",70
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",31
"wavelet.LHL_firstorder_Maximum",93
"wavelet.LHL_firstorder_Skewness",20
"wavelet.LHL_glcm_Correlation",59
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",117
"wavelet.LHH_glcm_ClusterShade",50
"wavelet.HLL_glcm_DifferenceVariance",7
"wavelet.HLH_firstorder_Mean",40
"wavelet.HLH_glcm_ClusterShade",66
"lbp.3D.m1_glszm_HighGrayLevelZoneEmphasis",43
"logarithm_firstorder_Mean",127
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",68
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",8
"log.sigma.1.0.mm.3D_gldm_DependenceEntropy",59
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",38
"wavelet.LLH_glszm_GrayLevelNonUniformity",59
"wavelet.LLH_glszm_GrayLevelVariance",37
"wavelet.LLH_gldm_DependenceNonUniformity",14
"original_glszm_SmallAreaEmphasis",36
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",27
"log.sigma.3.0.mm.3D_glszm_SmallAreaEmphasis",64
"wavelet.LLH_firstorder_Skewness",6
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",39
"wavelet.LHH_gldm_DependenceVariance",17
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",34
"wavelet.HLH_firstorder_Median",68
"wavelet.HHL_firstorder_Skewness",69
"lbp.3D.m1_glcm_ClusterShade",76
"logarithm_firstorder_InterquartileRange",11
"wavelet.HLL_firstorder_Minimum",61
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",30
"gradient_firstorder_Mean",3
"original_glszm_SmallAreaLowGrayLevelEmphasis",13
"log.sigma.2.0.mm.3D_glcm_InverseVariance",7
"log.sigma.3.0.mm.3D_glcm_InverseVariance",36
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",32
"wavelet.LHH_glszm_SmallAreaEmphasis",77
"wavelet.HLL_firstorder_Skewness",37
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",13
"wavelet.HHH_firstorder_Kurtosis",14
"wavelet.HHH_firstorder_Mean",45
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",12
"lbp.3D.k_firstorder_10Percentile",68
"log.sigma.2.0.mm.3D_gldm_LowGrayLevelEmphasis",27
"wavelet.LHH_glrlm_GrayLevelVariance",13
"wavelet.HHH_glszm_GrayLevelVariance",11
"wavelet.LLL_glszm_SizeZoneNonUniformity",2
"gradient_firstorder_Minimum",8
"wavelet.LHH_firstorder_10Percentile",36
"wavelet.HLL_glszm_ZoneEntropy",8
"wavelet.LHH_firstorder_Kurtosis",6
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",26
"lbp.3D.m2_firstorder_Maximum",46
"logarithm_firstorder_Range",49
"log.sigma.3.0.mm.3D_firstorder_Minimum",35
"wavelet.LHL_glrlm_RunEntropy",12
"original_glszm_SmallAreaHighGrayLevelEmphasis",20
"log.sigma.1.0.mm.3D_firstorder_Skewness",6
"log.sigma.3.0.mm.3D_glcm_ClusterShade",6
"wavelet.HLL_glrlm_RunEntropy",20
