"f","count"
"original_firstorder_Minimum",68
"original_glrlm_LongRunLowGrayLevelEmphasis",221
"original_glrlm_LowGrayLevelRunEmphasis",72
"original_glszm_LowGrayLevelZoneEmphasis",58
"original_glszm_SmallAreaEmphasis",30
"original_glszm_ZoneEntropy",78
"log.sigma.1.0.mm.3D_firstorder_90Percentile",169
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",62
"log.sigma.1.0.mm.3D_firstorder_Maximum",165
"log.sigma.1.0.mm.3D_glcm_ClusterShade",30
"log.sigma.1.0.mm.3D_glcm_Correlation",100
"log.sigma.1.0.mm.3D_glcm_JointEnergy",121
"log.sigma.1.0.mm.3D_glcm_Imc1",99
"log.sigma.1.0.mm.3D_glcm_Imc2",107
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",131
"log.sigma.1.0.mm.3D_glrlm_RunEntropy",130
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",145
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",135
"log.sigma.1.0.mm.3D_gldm_DependenceEntropy",145
"log.sigma.1.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",139
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",29
"log.sigma.2.0.mm.3D_firstorder_Maximum",126
"log.sigma.2.0.mm.3D_glszm_GrayLevelVariance",115
"log.sigma.2.0.mm.3D_gldm_HighGrayLevelEmphasis",113
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",120
"log.sigma.3.0.mm.3D_firstorder_90Percentile",187
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",88
"log.sigma.3.0.mm.3D_firstorder_Minimum",166
"log.sigma.3.0.mm.3D_glcm_JointAverage",196
"log.sigma.3.0.mm.3D_glcm_ClusterProminence",136
"log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",161
"log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",132
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",128
