"f","count"
"original_firstorder_Kurtosis",97
"original_firstorder_Maximum",30
"original_firstorder_Median",104
"original_glrlm_LowGrayLevelRunEmphasis",142
"original_glszm_GrayLevelVariance",22
"original_glszm_SmallAreaLowGrayLevelEmphasis",93
"original_gldm_LowGrayLevelEmphasis",122
"original_gldm_SmallDependenceLowGrayLevelEmphasis",102
"log.sigma.1.0.mm.3D_firstorder_90Percentile",188
"log.sigma.1.0.mm.3D_firstorder_Maximum",131
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",113
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",184
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",183
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",127
"log.sigma.2.0.mm.3D_firstorder_90Percentile",189
"log.sigma.2.0.mm.3D_firstorder_Maximum",221
"log.sigma.2.0.mm.3D_glcm_Correlation",120
"log.sigma.2.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",221
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",221
"log.sigma.3.0.mm.3D_firstorder_InterquartileRange",77
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",155
"log.sigma.3.0.mm.3D_firstorder_Maximum",128
"log.sigma.3.0.mm.3D_firstorder_Minimum",157
"log.sigma.3.0.mm.3D_firstorder_Skewness",127
"log.sigma.3.0.mm.3D_glcm_JointAverage",176
"log.sigma.3.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized",150
"log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",162
"log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",91
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",184
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",171
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",107
"wavelet.LLH_glcm_ClusterShade",61
"wavelet.LLH_glrlm_GrayLevelVariance",30
"wavelet.LLH_glrlm_HighGrayLevelRunEmphasis",186
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",50
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",189
"wavelet.LHL_firstorder_Maximum",168
"wavelet.LHL_firstorder_Mean",35
"wavelet.LHL_firstorder_Median",78
"wavelet.LHL_firstorder_Minimum",138
"wavelet.LHL_firstorder_RootMeanSquared",123
"wavelet.LHL_glcm_ClusterShade",77
"wavelet.LHL_glcm_InverseVariance",202
"wavelet.LHL_glrlm_RunEntropy",202
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",199
"wavelet.LHL_glszm_LowGrayLevelZoneEmphasis",198
"wavelet.LHL_gldm_DependenceVariance",223
"wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis",193
"wavelet.LHH_firstorder_Variance",143
"wavelet.LHH_glcm_ClusterProminence",115
"wavelet.LHH_glcm_ClusterShade",110
"wavelet.LHH_glcm_JointEnergy",111
"wavelet.LHH_glcm_Imc1",144
"wavelet.LHH_glrlm_GrayLevelNonUniformity",130
"wavelet.LHH_glrlm_GrayLevelVariance",165
"wavelet.LHH_glrlm_HighGrayLevelRunEmphasis",88
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",88
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",90
"wavelet.LHH_gldm_DependenceNonUniformity",128
"wavelet.LHH_gldm_DependenceVariance",45
"wavelet.HLL_glcm_JointAverage",70
"wavelet.HLL_glcm_ClusterProminence",100
"wavelet.HLL_glcm_InverseVariance",90
"wavelet.HLL_glszm_GrayLevelVariance",100
"wavelet.HLL_glszm_SmallAreaEmphasis",36
"wavelet.HLL_gldm_DependenceEntropy",244
"wavelet.HLL_gldm_DependenceNonUniformityNormalized",246
"wavelet.HLL_gldm_DependenceVariance",22
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",47
"wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis",56
"wavelet.HLH_glcm_Imc1",188
"wavelet.HLH_glrlm_GrayLevelNonUniformity",198
"wavelet.HLH_glrlm_RunVariance",197
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",178
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",186
"wavelet.HLH_gldm_HighGrayLevelEmphasis",185
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",194
"wavelet.HHL_firstorder_Minimum",172
"wavelet.HHL_glcm_Imc1",240
"wavelet.HHL_glcm_Imc2",116
"wavelet.HHL_glrlm_GrayLevelNonUniformityNormalized",155
"wavelet.HHL_glszm_GrayLevelVariance",91
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",62
"wavelet.HHL_gldm_DependenceNonUniformity",243
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",174
"wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis",207
"wavelet.HHH_firstorder_InterquartileRange",183
"wavelet.HHH_firstorder_MeanAbsoluteDeviation",180
"wavelet.HHH_firstorder_Median",127
"wavelet.HHH_glcm_ClusterShade",152
"wavelet.HHH_glcm_Imc1",179
"wavelet.HHH_glcm_InverseVariance",191
"wavelet.HHH_glrlm_GrayLevelNonUniformity",188
"wavelet.HHH_glrlm_GrayLevelVariance",178
"wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis",172
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",236
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",238
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",231
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",238
"wavelet.LLL_firstorder_10Percentile",130
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",91
"wavelet.LLL_glszm_ZoneEntropy",110
"wavelet.LLL_gldm_DependenceVariance",178
"wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis",20
"gradient_firstorder_10Percentile",162
"gradient_glcm_Imc2",160
"gradient_glrlm_RunEntropy",166
"gradient_glszm_GrayLevelNonUniformityNormalized",183
"gradient_glszm_SizeZoneNonUniformityNormalized",116
"gradient_glszm_ZoneEntropy",73
"lbp.3D.m1_glcm_JointAverage",13
"lbp.3D.m2_firstorder_Maximum",126
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",148
"lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis",148
"lbp.3D.k_firstorder_Minimum",205
"lbp.3D.k_firstorder_Skewness",63
"lbp.3D.k_firstorder_Variance",53
"lbp.3D.k_glcm_Correlation",55
"lbp.3D.k_glrlm_LongRunHighGrayLevelEmphasis",179
"lbp.3D.k_glszm_GrayLevelVariance",179
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",80
