"f","count"
"gradient_glszm_ZoneEntropy",196
"original_shape_Sphericity",134
"wavelet.LHH_glszm_SizeZoneNonUniformity",88
"wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis",16
"wavelet.HHH_glszm_GrayLevelVariance",13
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",159
"wavelet.LHL_firstorder_Kurtosis",207
"lbp.3D.m2_firstorder_Maximum",50
"wavelet.LHH_glszm_GrayLevelVariance",6
"log.sigma.3.0.mm.3D_firstorder_Skewness",26
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",27
"wavelet.HHH_glszm_SmallAreaEmphasis",23
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",16
"log.sigma.3.0.mm.3D_firstorder_RootMeanSquared",3
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",4
"lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis",33
"gradient_glcm_DifferenceVariance",4
"wavelet.LHH_firstorder_Median",7
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",5
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",25
"original_gldm_SmallDependenceHighGrayLevelEmphasis",19
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",9
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",13
"wavelet.LLH_glcm_InverseVariance",8
"original_gldm_LowGrayLevelEmphasis",6
"lbp.3D.m2_glrlm_LongRunEmphasis",12
"wavelet.HHL_firstorder_Mean",7
"logarithm_glszm_GrayLevelNonUniformity",29
"wavelet.LLH_firstorder_90Percentile",2
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.LHL_gldm_DependenceEntropy",1
"log.sigma.1.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",22
"lbp.3D.m1_firstorder_Skewness",4
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",13
"log.sigma.3.0.mm.3D_glcm_Imc1",3
"original_shape_MajorAxisLength",42
"wavelet.LLH_firstorder_Median",12
"log.sigma.2.0.mm.3D_glcm_JointAverage",11
"wavelet.LLL_firstorder_Maximum",6
"wavelet.LHL_glszm_SizeZoneNonUniformity",1
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",2
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",5
"wavelet.LLH_firstorder_Mean",5
"wavelet.HHH_glcm_ClusterProminence",7
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",14
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",1
