"f","count"
"original_glrlm_ShortRunLowGrayLevelEmphasis",73
"original_gldm_LowGrayLevelEmphasis",75
"log.sigma.1.0.mm.3D_firstorder_Mean",218
"log.sigma.1.0.mm.3D_firstorder_RootMeanSquared",223
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",12
"log.sigma.3.0.mm.3D_firstorder_Maximum",195
"log.sigma.3.0.mm.3D_glcm_JointAverage",212
"wavelet.LLH_firstorder_Mean",30
"wavelet.LLH_firstorder_Median",54
"wavelet.LLH_firstorder_Skewness",36
"wavelet.LHL_firstorder_Median",22
"wavelet.LHL_glcm_InverseVariance",30
"wavelet.LHL_glrlm_RunEntropy",29
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",13
"wavelet.LHL_glszm_SmallAreaEmphasis",13
"wavelet.HLL_glcm_Imc1",72
"wavelet.HLL_glcm_Imc2",70
"wavelet.HLH_glcm_ClusterShade",51
"wavelet.HLH_glrlm_GrayLevelNonUniformity",37
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",203
"wavelet.HLH_gldm_LowGrayLevelEmphasis",210
"wavelet.HHL_glcm_JointAverage",165
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",165
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",89
"wavelet.HHL_glszm_ZoneEntropy",14
"wavelet.HHH_glrlm_RunEntropy",52
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",195
"wavelet.HHH_glszm_ZoneEntropy",19
"wavelet.HHH_gldm_DependenceEntropy",52
"wavelet.HHH_gldm_HighGrayLevelEmphasis",195
"wavelet.LLL_glcm_Imc1",130
"gradient_firstorder_10Percentile",22
"lbp.3D.m2_firstorder_Maximum",47
"lbp.3D.m2_glrlm_HighGrayLevelRunEmphasis",135
"lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis",144
"logarithm_firstorder_Maximum",188
"logarithm_firstorder_Mean",188
"logarithm_glcm_Imc1",158
"logarithm_glcm_Imc2",61
"logarithm_gldm_DependenceEntropy",166
"original_firstorder_Maximum",45
"log.sigma.1.0.mm.3D_glcm_Imc1",138
"log.sigma.1.0.mm.3D_glcm_Imc2",142
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",121
"log.sigma.1.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",92
"log.sigma.3.0.mm.3D_firstorder_Minimum",58
"log.sigma.3.0.mm.3D_firstorder_RootMeanSquared",139
"wavelet.LLH_glcm_InverseVariance",28
"wavelet.LLH_glrlm_RunEntropy",28
"wavelet.LLH_glszm_SmallAreaEmphasis",43
"wavelet.LLH_glszm_ZoneEntropy",42
"wavelet.LHL_glcm_Imc1",94
"wavelet.LHL_glcm_Imc2",94
"wavelet.LHH_glrlm_LowGrayLevelRunEmphasis",188
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",188
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",153
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",157
"wavelet.HHL_glcm_InverseVariance",170
"wavelet.HHL_glcm_MaximumProbability",170
"wavelet.HHL_glrlm_RunEntropy",170
"lbp.3D.m1_glcm_ClusterShade",50
"lbp.3D.m2_firstorder_Kurtosis",81
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",83
"logarithm_glcm_InverseVariance",67
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",12
"original_glcm_ClusterShade",12
"log.sigma.1.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",66
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",165
"log.sigma.2.0.mm.3D_firstorder_Minimum",31
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",166
"log.sigma.2.0.mm.3D_glrlm_LowGrayLevelRunEmphasis",164
"wavelet.LLH_firstorder_Kurtosis",25
"wavelet.LLH_firstorder_RootMeanSquared",35
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",103
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",103
"wavelet.LHL_firstorder_Minimum",17
"wavelet.LHL_firstorder_RootMeanSquared",15
"wavelet.LHH_firstorder_Mean",36
