"f","count"
"original_shape_Elongation",250
"original_shape_Flatness",250
"original_shape_Sphericity",223
"original_firstorder_10Percentile",232
"original_firstorder_Range",90
"original_glcm_MaximumProbability",87
"log.sigma.1.0.mm.3D_firstorder_Maximum",159
"log.sigma.1.0.mm.3D_firstorder_Skewness",239
"log.sigma.1.0.mm.3D_glcm_ClusterShade",37
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",243
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",156
"log.sigma.1.0.mm.3D_gldm_LowGrayLevelEmphasis",223
"log.sigma.2.0.mm.3D_firstorder_Minimum",143
"log.sigma.2.0.mm.3D_firstorder_Variance",168
"log.sigma.2.0.mm.3D_glcm_Autocorrelation",193
"log.sigma.2.0.mm.3D_glcm_ClusterShade",91
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",220
"log.sigma.2.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",113
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",168
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",209
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",135
"log.sigma.3.0.mm.3D_firstorder_Minimum",156
"log.sigma.3.0.mm.3D_glcm_ClusterShade",141
"log.sigma.3.0.mm.3D_glcm_Imc2",196
"log.sigma.3.0.mm.3D_glcm_InverseVariance",45
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",206
"log.sigma.3.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis",160
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",167
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",216
"log.sigma.3.0.mm.3D_glszm_ZoneEntropy",209
"wavelet.LLH_firstorder_Mean",72
"wavelet.LLH_firstorder_Median",150
"wavelet.LLH_firstorder_Skewness",177
"wavelet.LLH_firstorder_Variance",147
"wavelet.LLH_glcm_ClusterShade",240
"wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis",173
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",180
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",105
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",11
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",239
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",161
"wavelet.LLH_glszm_ZoneEntropy",5
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",224
"wavelet.LHL_firstorder_Mean",71
"wavelet.LHL_firstorder_Median",246
"wavelet.LHL_firstorder_Skewness",250
"wavelet.LHL_glcm_InverseVariance",228
"wavelet.LHL_glrlm_RunEntropy",110
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",183
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",248
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",239
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",180
"wavelet.LHH_firstorder_Mean",250
"wavelet.LHH_firstorder_Median",226
"wavelet.LHH_glcm_ClusterShade",247
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",181
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",244
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",164
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",137
"wavelet.LHH_glszm_ZoneEntropy",22
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",211
"wavelet.LHH_gldm_DependenceVariance",131
"wavelet.LHH_gldm_LowGrayLevelEmphasis",250
"wavelet.HLL_firstorder_Median",103
"wavelet.HLL_firstorder_Minimum",18
"wavelet.HLL_firstorder_RootMeanSquared",134
"wavelet.HLL_glcm_ClusterShade",193
"wavelet.HLL_glcm_InverseVariance",222
"wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis",195
"wavelet.HLL_glszm_SizeZoneNonUniformityNormalized",109
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",210
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",228
"wavelet.HLH_firstorder_Kurtosis",206
"wavelet.HLH_firstorder_Mean",241
"wavelet.HLH_firstorder_Median",242
"wavelet.HLH_firstorder_RootMeanSquared",68
"wavelet.HLH_glcm_ClusterShade",246
"wavelet.HLH_glrlm_GrayLevelVariance",24
"wavelet.HLH_glrlm_RunEntropy",214
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",223
"wavelet.HLH_gldm_DependenceNonUniformity",57
"wavelet.HLH_gldm_HighGrayLevelEmphasis",242
"wavelet.HHL_firstorder_Kurtosis",78
"wavelet.HHL_firstorder_Mean",232
"wavelet.HHL_firstorder_Median",250
"wavelet.HHL_firstorder_Skewness",243
"wavelet.HHL_glcm_ClusterShade",207
"wavelet.HHL_glcm_Imc2",205
"wavelet.HHL_glrlm_RunEntropy",170
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",203
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",47
"wavelet.HHL_glszm_GrayLevelVariance",225
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",24
"wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis",61
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",208
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",240
"wavelet.HHL_gldm_DependenceVariance",232
"wavelet.HHH_firstorder_90Percentile",60
"wavelet.HHH_firstorder_Mean",249
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_firstorder_Skewness",233
"wavelet.HHH_glcm_ClusterShade",250
"wavelet.HHH_glrlm_GrayLevelNonUniformity",138
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",243
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",188
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",124
"wavelet.HHH_glszm_SmallAreaEmphasis",29
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",237
"wavelet.HHH_glszm_ZoneEntropy",45
"wavelet.LLL_glcm_ClusterShade",229
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",101
"wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis",70
"gradient_firstorder_Kurtosis",16
"gradient_firstorder_Minimum",224
"gradient_glcm_Correlation",187
"lbp.3D.m1_firstorder_Median",250
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",249
"lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis",143
"lbp.3D.m2_firstorder_Kurtosis",172
"lbp.3D.m2_firstorder_Maximum",248
"lbp.3D.m2_glszm_LargeAreaEmphasis",126
"lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis",176
