"f","count"
"original_shape_Elongation",94
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",15
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",93
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",19
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",106
"wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis",7
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",80
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",9
"wavelet.LHL_glrlm_RunVariance",29
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",106
"wavelet.HLL_firstorder_RootMeanSquared",8
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",91
"wavelet.HHL_firstorder_10Percentile",9
"wavelet.HHL_firstorder_Mean",76
"wavelet.HHL_firstorder_Median",115
"wavelet.HHL_firstorder_Skewness",90
"wavelet.HHL_glrlm_LongRunEmphasis",68
"wavelet.HHH_firstorder_MeanAbsoluteDeviation",117
"wavelet.HHH_firstorder_Mean",117
"wavelet.HHH_glcm_JointAverage",86
"wavelet.HHH_glszm_SizeZoneNonUniformity",30
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",42
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",5
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",84
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",27
"logarithm_glcm_JointEntropy",62
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",30
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",68
"wavelet.LHH_firstorder_Mean",107
"wavelet.LHH_firstorder_Median",67
"wavelet.LHH_glcm_ClusterShade",24
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",86
"wavelet.HHL_glcm_InverseVariance",7
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",76
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",54
"wavelet.HHH_firstorder_Median",100
"wavelet.HHH_firstorder_Skewness",58
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",24
"gradient_glcm_ClusterShade",17
"lbp.3D.m2_firstorder_Range",5
"lbp.3D.k_firstorder_Minimum",15
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",15
"logarithm_firstorder_Energy",3
"logarithm_glszm_HighGrayLevelZoneEmphasis",2
"original_shape_Flatness",61
"original_shape_Sphericity",72
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",17
"wavelet.LHL_firstorder_Median",5
"wavelet.HLL_glcm_ClusterShade",9
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",2
"wavelet.HLH_glrlm_RunLengthNonUniformity",2
"wavelet.HHH_firstorder_Kurtosis",32
"wavelet.HHH_glcm_InverseVariance",26
"wavelet.HHH_gldm_DependenceNonUniformityNormalized",27
"lbp.3D.k_glcm_ClusterShade",11
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",69
"original_glcm_ClusterShade",7
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",38
"wavelet.LLH_glcm_ClusterShade",20
"wavelet.LHL_glcm_ClusterShade",50
"wavelet.LHH_glcm_InverseVariance",26
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",46
"wavelet.HLL_firstorder_Mean",7
"lbp.3D.k_glszm_SmallAreaLowGrayLevelEmphasis",37
"logarithm_firstorder_Kurtosis",37
"logarithm_glrlm_GrayLevelNonUniformityNormalized",61
"log.sigma.2.0.mm.3D_glcm_Imc2",6
"log.sigma.2.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",9
"wavelet.LHH_firstorder_RobustMeanAbsoluteDeviation",23
"wavelet.HLL_glcm_InverseVariance",17
"wavelet.HHL_glcm_ClusterShade",41
"wavelet.HHH_firstorder_Variance",27
"lbp.3D.m2_glcm_JointAverage",10
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",13
"wavelet.LLH_firstorder_Median",18
"wavelet.LHH_firstorder_Skewness",53
"wavelet.HLH_firstorder_Median",15
"wavelet.HHH_glcm_Correlation",3
"wavelet.LLH_firstorder_Skewness",10
"wavelet.LHL_glrlm_RunEntropy",7
"wavelet.LHL_gldm_DependenceEntropy",3
"wavelet.HHH_gldm_DependenceVariance",19
"logarithm_glcm_InverseVariance",28
"logarithm_glszm_LargeAreaHighGrayLevelEmphasis",14
"wavelet.LHL_firstorder_Skewness",9
"wavelet.HLL_gldm_LowGrayLevelEmphasis",9
"wavelet.HHH_gldm_DependenceNonUniformity",3
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",2
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",11
"wavelet.HLH_firstorder_Skewness",20
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",3
"logarithm_firstorder_Skewness",29
"wavelet.HLL_firstorder_Skewness",20
"original_glszm_HighGrayLevelZoneEmphasis",15
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",12
"wavelet.LLL_glrlm_LongRunHighGrayLevelEmphasis",8
"lbp.3D.k_gldm_DependenceEntropy",6
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",22
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",4
"wavelet.LHH_glrlm_LongRunEmphasis",18
"wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis",6
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",12
"original_glrlm_ShortRunLowGrayLevelEmphasis",5
"lbp.3D.k_glcm_MaximumProbability",1
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.HLL_glrlm_RunEntropy",4
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",5
"wavelet.HHH_glcm_ClusterShade",7
"wavelet.LLH_firstorder_RootMeanSquared",9
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",1
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",2
"lbp.3D.m1_firstorder_Skewness",7
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",4
"logarithm_glszm_SizeZoneNonUniformityNormalized",5
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",12
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",14
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",26
"log.sigma.3.0.mm.3D_glcm_ClusterShade",1
"wavelet.HLH_firstorder_RootMeanSquared",5
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",12
"gradient_glszm_SmallAreaEmphasis",1
"log.sigma.1.0.mm.3D_glcm_JointAverage",2
"lbp.3D.k_firstorder_MeanAbsoluteDeviation",6
"original_glszm_SmallAreaLowGrayLevelEmphasis",4
"log.sigma.2.0.mm.3D_glcm_ClusterShade",2
"lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis",1
"logarithm_glcm_MaximumProbability",1
"logarithm_firstorder_10Percentile",1
"log.sigma.3.0.mm.3D_glcm_ClusterProminence",3
"wavelet.HLH_glcm_ClusterShade",3
"wavelet.LHL_glcm_InverseVariance",2
"lbp.3D.m2_firstorder_Skewness",11
"wavelet.HLL_firstorder_Median",3
"logarithm_glszm_GrayLevelNonUniformityNormalized",3
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",9
"wavelet.LHL_glszm_SizeZoneNonUniformity",5
"wavelet.HLH_firstorder_Kurtosis",2
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",4
"lbp.3D.k_glcm_Correlation",3
"logarithm_glcm_SumSquares",1
"wavelet.HLL_firstorder_Kurtosis",1
"wavelet.HHH_glcm_Imc1",3
"wavelet.HLH_firstorder_Mean",2
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis",2
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",2
"lbp.3D.k_glszm_LargeAreaEmphasis",2
"wavelet.LHH_glszm_SmallAreaEmphasis",2
"wavelet.LLH_glcm_ClusterProminence",1
"wavelet.HLL_glcm_Correlation",1
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",2
