"f","count"
"original_shape_Flatness",250
"original_shape_Sphericity",250
"original_firstorder_10Percentile",249
"original_glcm_JointEnergy",112
"original_gldm_DependenceNonUniformityNormalized",249
"log.sigma.1.0.mm.3D_firstorder_Mean",107
"log.sigma.1.0.mm.3D_firstorder_Skewness",242
"log.sigma.1.0.mm.3D_glcm_InverseVariance",106
"log.sigma.1.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",176
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",78
"log.sigma.3.0.mm.3D_firstorder_Skewness",128
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",76
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",121
"log.sigma.4.0.mm.3D_firstorder_Kurtosis",218
"log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformity",30
"log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",217
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",219
"log.sigma.5.0.mm.3D_glcm_Idmn",24
"log.sigma.5.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",247
"wavelet.LLH_firstorder_RootMeanSquared",218
"wavelet.LLH_firstorder_Skewness",245
"wavelet.LLH_glcm_InverseVariance",238
"wavelet.LLH_glrlm_RunVariance",173
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",105
"wavelet.LHL_firstorder_Mean",216
"wavelet.LHL_firstorder_RootMeanSquared",95
"wavelet.LHL_firstorder_Skewness",201
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",60
"wavelet.LHH_firstorder_Median",221
"wavelet.LHH_firstorder_RootMeanSquared",229
"wavelet.LHH_firstorder_Skewness",245
"wavelet.LHH_glcm_Contrast",58
"wavelet.LHH_glcm_Id",105
"wavelet.LHH_glrlm_ShortRunEmphasis",216
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",246
"wavelet.LHH_glszm_SmallAreaEmphasis",250
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",192
"wavelet.HLL_firstorder_10Percentile",68
"wavelet.HLL_firstorder_Kurtosis",238
"wavelet.HLL_firstorder_Mean",248
"wavelet.HLL_firstorder_Skewness",245
"wavelet.HLL_glszm_ZoneVariance",6
"wavelet.HLH_firstorder_RootMeanSquared",218
"wavelet.HLH_firstorder_Skewness",247
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",150
"wavelet.HLH_glszm_SmallAreaEmphasis",210
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",44
"wavelet.HHL_firstorder_Mean",247
"wavelet.HHL_firstorder_Median",161
"wavelet.HHL_firstorder_Skewness",136
"wavelet.HHL_glszm_LargeAreaEmphasis",4
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",217
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",110
"wavelet.HHH_firstorder_Mean",248
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_glcm_ClusterShade",123
"wavelet.HHH_glcm_Contrast",120
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",57
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",216
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",250
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",248
"wavelet.HHH_glszm_ZoneVariance",159
"wavelet.LLL_glcm_Imc1",249
"wavelet.LLL_glcm_MaximumProbability",168
"original_shape_MajorAxisLength",165
"original_glszm_LargeAreaHighGrayLevelEmphasis",245
"log.sigma.1.0.mm.3D_firstorder_Kurtosis",213
"log.sigma.3.0.mm.3D_glcm_Imc1",188
"log.sigma.5.0.mm.3D_glszm_SizeZoneNonUniformity",162
"log.sigma.5.0.mm.3D_glszm_ZoneVariance",22
"wavelet.LHL_firstorder_Kurtosis",105
"wavelet.LHH_firstorder_Kurtosis",84
"wavelet.LHH_glcm_ClusterShade",119
"wavelet.HLL_firstorder_RootMeanSquared",174
"wavelet.HLH_gldm_GrayLevelVariance",51
"wavelet.LLL_firstorder_Kurtosis",64
"log.sigma.3.0.mm.3D_firstorder_Median",121
"log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",91
"wavelet.LLH_glcm_ClusterProminence",138
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",85
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",213
"wavelet.HLH_firstorder_Median",165
"wavelet.HHH_gldm_SmallDependenceEmphasis",15
"wavelet.LLL_glcm_InverseVariance",167
"log.sigma.5.0.mm.3D_firstorder_Mean",67
"wavelet.HLH_firstorder_Kurtosis",41
"original_firstorder_Median",135
"log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",17
"log.sigma.5.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",87
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",57
"wavelet.HLH_glrlm_RunPercentage",69
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",60
"wavelet.HHH_glszm_SmallAreaEmphasis",26
"log.sigma.4.0.mm.3D_glcm_Idn",100
"wavelet.LHL_firstorder_Median",16
"wavelet.HHH_firstorder_Skewness",79
"wavelet.LLL_glcm_Idmn",12
"original_glcm_Imc1",2
"wavelet.LLL_glszm_LowGrayLevelZoneEmphasis",11
"log.sigma.5.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",30
"wavelet.HHL_glszm_SmallAreaEmphasis",17
"log.sigma.2.0.mm.3D_glcm_Imc1",39
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",38
"wavelet.HHL_firstorder_Kurtosis",90
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",32
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",61
"log.sigma.1.0.mm.3D_firstorder_10Percentile",13
"wavelet.LLL_glrlm_RunVariance",2
"original_firstorder_90Percentile",3
"wavelet.LLL_glcm_Correlation",10
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",45
"wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis",3
"wavelet.LLH_gldm_LargeDependenceEmphasis",5
"wavelet.HHH_glcm_Imc2",4
"wavelet.LLH_glszm_GrayLevelVariance",1
"log.sigma.5.0.mm.3D_glszm_SmallAreaEmphasis",6
"log.sigma.5.0.mm.3D_glszm_ZonePercentage",2
"wavelet.LHL_glcm_ClusterProminence",12
"wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis",6
"wavelet.HHH_firstorder_Kurtosis",9
"wavelet.HHL_firstorder_90Percentile",1
"log.sigma.1.0.mm.3D_firstorder_Median",2
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",1
