"f","count"
"original_shape_Elongation",38
"wavelet.LLL_glrlm_LongRunHighGrayLevelEmphasis",50
"wavelet.HLL_glszm_SmallAreaEmphasis",5
"log.sigma.5.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",94
"wavelet.LHL_glrlm_LongRunEmphasis",130
"wavelet.HLH_firstorder_90Percentile",200
"wavelet.LHH_glszm_ZonePercentage",2
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",33
"wavelet.HHL_glszm_ZoneVariance",126
"wavelet.HHH_glcm_Imc2",65
"wavelet.HHL_firstorder_Mean",48
"wavelet.LHH_firstorder_Kurtosis",13
"log.sigma.5.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",1
"original_shape_Sphericity",44
"wavelet.LLH_firstorder_Median",4
"wavelet.HLH_glszm_ZoneEntropy",166
"wavelet.HLH_glrlm_RunVariance",8
"original_shape_Flatness",59
"wavelet.HLH_glcm_Imc2",1
"wavelet.LHL_firstorder_Median",54
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",115
"wavelet.LLH_glcm_DifferenceEntropy",73
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",41
"wavelet.LLL_glrlm_RunEntropy",25
"wavelet.LHL_firstorder_Skewness",1
"wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis",2
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",14
"wavelet.LHL_firstorder_Kurtosis",15
"wavelet.HHL_glszm_SmallAreaEmphasis",5
"log.sigma.5.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",22
"wavelet.LHH_glszm_LargeAreaEmphasis",12
"log.sigma.5.0.mm.3D_glrlm_RunVariance",84
"log.sigma.5.0.mm.3D_glszm_SizeZoneNonUniformity",13
"log.sigma.5.0.mm.3D_firstorder_Skewness",4
"wavelet.HHL_glcm_ClusterShade",1
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",5
"wavelet.HHH_gldm_HighGrayLevelEmphasis",5
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",4
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",26
"wavelet.HLH_glszm_GrayLevelNonUniformity",5
"wavelet.HHH_firstorder_RootMeanSquared",50
"wavelet.HLL_firstorder_RootMeanSquared",9
"log.sigma.5.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",13
"log.sigma.5.0.mm.3D_firstorder_Kurtosis",15
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",2
"original_glszm_SmallAreaLowGrayLevelEmphasis",2
"log.sigma.5.0.mm.3D_glszm_ZoneEntropy",53
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",28
"log.sigma.3.0.mm.3D_glcm_JointEnergy",11
"wavelet.HHL_firstorder_Skewness",9
"wavelet.LHH_firstorder_Mean",7
"wavelet.HHH_firstorder_RobustMeanAbsoluteDeviation",11
"log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",7
"wavelet.HHH_firstorder_Skewness",6
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",2
"wavelet.HHL_firstorder_Median",6
"log.sigma.5.0.mm.3D_glcm_Correlation",14
"original_glszm_LargeAreaHighGrayLevelEmphasis",4
"log.sigma.5.0.mm.3D_glcm_Idmn",5
"log.sigma.5.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",2
"wavelet.LHH_firstorder_Skewness",6
"original_glszm_GrayLevelVariance",2
"log.sigma.5.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",6
"wavelet.HLL_firstorder_Skewness",5
"log.sigma.1.0.mm.3D_glcm_DifferenceAverage",4
"original_glszm_GrayLevelNonUniformityNormalized",2
"wavelet.LHH_glcm_JointEntropy",4
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",5
"wavelet.LLL_firstorder_Uniformity",8
"wavelet.HLH_firstorder_Skewness",2
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",1
"original_glcm_Imc1",3
"original_shape_MajorAxisLength",1
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",4
"wavelet.HHL_glcm_Imc1",15
"wavelet.HLL_firstorder_Kurtosis",1
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",1
"log.sigma.1.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",6
