"f","count"
"original_shape_Flatness",196
"original_shape_Sphericity",100
"original_firstorder_Skewness",80
"original_glrlm_LongRunLowGrayLevelEmphasis",140
"original_glrlm_RunEntropy",151
"original_glszm_GrayLevelVariance",73
"original_glszm_SizeZoneNonUniformity",93
"log.sigma.1.0.mm.3D_glcm_ClusterShade",84
"log.sigma.1.0.mm.3D_glcm_Correlation",93
"log.sigma.1.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",142
"log.sigma.1.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",107
"log.sigma.1.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",159
"log.sigma.1.0.mm.3D_glszm_SmallAreaEmphasis",47
"log.sigma.2.0.mm.3D_glcm_Correlation",188
"log.sigma.2.0.mm.3D_glcm_Imc1",190
"log.sigma.2.0.mm.3D_glcm_Imc2",193
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",35
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",88
"log.sigma.2.0.mm.3D_gldm_DependenceEntropy",84
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",78
"log.sigma.3.0.mm.3D_firstorder_MeanAbsoluteDeviation",210
"log.sigma.3.0.mm.3D_glcm_Imc2",70
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",67
"wavelet.LLH_firstorder_MeanAbsoluteDeviation",236
"wavelet.LLH_firstorder_Mean",136
"wavelet.LLH_firstorder_Minimum",99
"wavelet.LLH_firstorder_RootMeanSquared",214
"wavelet.LLH_firstorder_Skewness",122
"wavelet.LLH_glcm_ClusterShade",96
"wavelet.LLH_glcm_Imc1",89
"wavelet.LLH_glcm_InverseVariance",67
"wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis",122
"wavelet.LLH_glrlm_RunEntropy",91
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",242
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",61
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",242
"wavelet.LLH_glszm_SizeZoneNonUniformity",84
"wavelet.LLH_glszm_SmallAreaEmphasis",73
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",246
"wavelet.LLH_glszm_ZoneEntropy",101
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",122
"wavelet.LHL_firstorder_Skewness",74
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",143
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",141
