"f","count"
"wavelet.HHH_firstorder_Mean",108
"logarithm_glszm_GrayLevelVariance",4
"original_shape_Elongation",76
"original_shape_Flatness",150
"wavelet.HHL_firstorder_Mean",62
"wavelet.HHL_glcm_Correlation",72
"wavelet.HHH_glszm_HighGrayLevelZoneEmphasis",99
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",42
"wavelet.HHH_gldm_LowGrayLevelEmphasis",37
"lbp.3D.m1_glcm_Correlation",46
"wavelet.HHL_firstorder_Skewness",11
"wavelet.HHL_glcm_ClusterShade",32
"wavelet.LHH_firstorder_Median",40
"wavelet.HLL_glcm_JointAverage",8
"wavelet.HHL_glcm_Autocorrelation",11
"wavelet.HHH_firstorder_Median",69
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",9
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",7
"wavelet.HHL_firstorder_Median",33
"wavelet.HHH_glcm_ClusterShade",2
"wavelet.HHH_glcm_Correlation",2
"wavelet.HLH_firstorder_Skewness",2
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",1
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",1
"wavelet.LHH_firstorder_Skewness",4
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",2
"wavelet.HHL_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.HLH_firstorder_Median",3
"wavelet.HLH_glszm_HighGrayLevelZoneEmphasis",3
"logarithm_glrlm_ShortRunHighGrayLevelEmphasis",4
"log.sigma.3.0.mm.3D_firstorder_MeanAbsoluteDeviation",4
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",5
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.HHH_glcm_InverseVariance",1
"wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis",2
"original_glrlm_LongRunLowGrayLevelEmphasis",3
"wavelet.HHL_glszm_ZoneVariance",2
"lbp.3D.k_glszm_SmallAreaEmphasis",1
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",3
"wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis",4
"log.sigma.1.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",3
"original_shape_Sphericity",3
"wavelet.LHL_firstorder_Median",2
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HLH_glcm_ClusterShade",2
"wavelet.HLL_firstorder_RootMeanSquared",1
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.HLH_glrlm_LowGrayLevelRunEmphasis",1
"gradient_glcm_Correlation",1
"wavelet.LLH_firstorder_Skewness",1
