"f","count"
"log.sigma.2.0.mm.3D_glcm_InverseVariance",83
"wavelet.HHH_firstorder_Median",83
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",3
"wavelet.HHL_gldm_DependenceNonUniformityNormalized",28
"wavelet.LHH_glcm_ClusterShade",13
"wavelet.LLL_glszm_ZoneEntropy",124
"original_shape_MajorAxisLength",117
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",82
"wavelet.HHL_firstorder_Skewness",131
"logarithm_glrlm_LowGrayLevelRunEmphasis",134
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",4
"lbp.3D.k_glszm_SizeZoneNonUniformity",21
"wavelet.LHL_glcm_Correlation",18
"log.sigma.2.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",11
"original_glszm_GrayLevelNonUniformityNormalized",5
"wavelet.LLH_firstorder_Median",49
"wavelet.HHH_gldm_DependenceVariance",8
"wavelet.LHL_firstorder_Mean",9
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",45
"log.sigma.3.0.mm.3D_glcm_ClusterShade",9
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",15
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",11
"log.sigma.3.0.mm.3D_glcm_Correlation",6
"log.sigma.3.0.mm.3D_glcm_InverseVariance",16
"wavelet.LHH_glcm_ClusterProminence",14
"original_firstorder_Skewness",16
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",4
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",7
"wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis",24
"log.sigma.1.0.mm.3D_glszm_GrayLevelVariance",5
"original_firstorder_Mean",7
"wavelet.HLL_glszm_GrayLevelNonUniformity",6
"lbp.3D.m2_firstorder_Maximum",10
"wavelet.HLH_glszm_GrayLevelVariance",9
"logarithm_firstorder_TotalEnergy",17
"wavelet.LLH_glcm_Imc1",2
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",4
