"f","count"
"original_shape_Flatness",10
"wavelet.LLH_firstorder_RootMeanSquared",6
"wavelet.LHH_gldm_HighGrayLevelEmphasis",24
"wavelet.HHH_gldm_LowGrayLevelEmphasis",29
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",27
"wavelet.LHH_firstorder_Mean",4
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",3
"original_shape_Elongation",7
"log.sigma.3.0.mm.3D_firstorder_Maximum",4
"wavelet.LHH_firstorder_Skewness",7
"wavelet.HHL_firstorder_Mean",1
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",2
"wavelet.LHH_firstorder_RootMeanSquared",1
"wavelet.HHL_firstorder_Median",1
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",1
