"f","count"
"original_shape_Flatness",207
"original_shape_Sphericity",181
"original_shape_SurfaceVolumeRatio",168
"original_firstorder_10Percentile",187
"original_firstorder_MeanAbsoluteDeviation",211
"original_glszm_GrayLevelNonUniformityNormalized",140
"original_glszm_SmallAreaHighGrayLevelEmphasis",92
"original_glszm_SmallAreaLowGrayLevelEmphasis",139
"log.sigma.1.0.mm.3D_glcm_Autocorrelation",134
"log.sigma.1.0.mm.3D_glcm_Correlation",173
"log.sigma.1.0.mm.3D_glcm_Imc1",198
"log.sigma.1.0.mm.3D_glcm_Imc2",192
"log.sigma.1.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",149
"log.sigma.1.0.mm.3D_glrlm_RunEntropy",197
"log.sigma.1.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",168
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",162
"log.sigma.1.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",203
"log.sigma.2.0.mm.3D_glcm_InverseVariance",109
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",205
"log.sigma.2.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",218
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformity",114
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",145
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",206
"log.sigma.2.0.mm.3D_glszm_ZoneEntropy",139
"log.sigma.3.0.mm.3D_firstorder_Maximum",227
"log.sigma.3.0.mm.3D_firstorder_Median",107
"log.sigma.3.0.mm.3D_glcm_Correlation",103
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",122
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",151
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",73
"wavelet.LLH_firstorder_Kurtosis",137
"wavelet.LLH_firstorder_Maximum",163
"wavelet.LLH_firstorder_Mean",184
"wavelet.LLH_firstorder_Median",172
"wavelet.LLH_firstorder_RootMeanSquared",223
"wavelet.LLH_firstorder_Skewness",181
"wavelet.LLH_glcm_Autocorrelation",244
"wavelet.LLH_glcm_ClusterShade",244
"wavelet.LLH_glcm_DifferenceVariance",170
"wavelet.LLH_glcm_InverseVariance",168
"wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis",207
"wavelet.LLH_glrlm_RunEntropy",229
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",244
"wavelet.LLH_glszm_GrayLevelVariance",75
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",140
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",145
"wavelet.LLH_glszm_SizeZoneNonUniformity",96
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",217
"wavelet.LLH_gldm_DependenceNonUniformity",235
"wavelet.LLH_gldm_DependenceVariance",177
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",241
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",180
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",165
"wavelet.LHL_firstorder_Mean",104
"wavelet.LHL_glcm_ClusterShade",125
"wavelet.LHL_glcm_Correlation",85
"wavelet.LHL_glcm_InverseVariance",191
"wavelet.LHL_glrlm_ShortRunHighGrayLevelEmphasis",246
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",247
"wavelet.LHL_glszm_LargeAreaEmphasis",147
"wavelet.LHL_gldm_DependenceVariance",122
