"f","count"
"original_shape_Flatness",249
"original_shape_Sphericity",228
"original_shape_SurfaceVolumeRatio",199
"original_glszm_LargeAreaLowGrayLevelEmphasis",226
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",205
"log.sigma.2.0.mm.3D_glcm_Correlation",161
"log.sigma.2.0.mm.3D_glcm_Imc2",122
"log.sigma.3.0.mm.3D_glcm_JointEnergy",179
"log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",178
"log.sigma.4.0.mm.3D_glcm_Correlation",99
"log.sigma.4.0.mm.3D_glcm_MaximumProbability",201
"wavelet.LLH_firstorder_10Percentile",241
"wavelet.LLH_firstorder_90Percentile",250
"wavelet.LLH_firstorder_InterquartileRange",219
"wavelet.LLH_firstorder_Mean",237
"wavelet.LLH_firstorder_Skewness",233
"wavelet.LLH_glcm_JointAverage",19
"wavelet.LLH_glcm_ClusterShade",250
"wavelet.LLH_glcm_Correlation",228
"wavelet.LLH_glcm_DifferenceVariance",84
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",192
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",237
"wavelet.LHL_firstorder_InterquartileRange",94
"wavelet.LHL_firstorder_TotalEnergy",143
"wavelet.LHL_glcm_JointAverage",247
"wavelet.LHL_glcm_ClusterShade",239
"wavelet.LHL_glcm_Contrast",85
"wavelet.LHL_glcm_Correlation",247
"wavelet.LHL_gldm_DependenceEntropy",44
"wavelet.LHL_gldm_GrayLevelVariance",98
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",239
"wavelet.LHH_firstorder_10Percentile",182
"wavelet.LHH_firstorder_90Percentile",229
"wavelet.LHH_firstorder_Kurtosis",206
"wavelet.LHH_firstorder_Median",217
"wavelet.LHH_firstorder_Skewness",250
"wavelet.LHH_glcm_ClusterProminence",238
"wavelet.LHH_glcm_ClusterShade",250
"wavelet.LHH_glcm_Imc2",139
"wavelet.LHH_glcm_Idn",37
"wavelet.LHH_glcm_InverseVariance",232
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",184
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",244
"wavelet.HLL_firstorder_90Percentile",245
"wavelet.HLL_firstorder_Energy",69
"wavelet.HLL_firstorder_Median",203
"wavelet.HLL_firstorder_Skewness",236
"wavelet.HLL_glcm_ClusterShade",177
"wavelet.HLL_glcm_Correlation",249
"wavelet.HLL_gldm_DependenceVariance",126
"wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis",122
"wavelet.HLH_firstorder_Kurtosis",83
"wavelet.HLH_firstorder_Mean",227
"wavelet.HLH_firstorder_Skewness",207
"wavelet.HLH_glcm_ClusterProminence",249
"wavelet.HLH_glcm_Correlation",230
"wavelet.HLH_glcm_Imc1",136
"wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis",160
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",246
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",230
"wavelet.HLH_glszm_ZoneVariance",108
"wavelet.HLH_gldm_LowGrayLevelEmphasis",245
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",243
"wavelet.HHL_firstorder_Mean",249
"wavelet.HHL_firstorder_Median",154
"wavelet.HHL_firstorder_Skewness",249
"wavelet.HHL_glcm_ClusterShade",250
"wavelet.HHL_glcm_Correlation",239
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",46
"wavelet.HHL_glszm_SizeZoneNonUniformityNormalized",247
"wavelet.HHH_firstorder_Energy",231
"wavelet.HHH_firstorder_Kurtosis",248
"wavelet.HHH_firstorder_Mean",250
"wavelet.HHH_firstorder_Median",248
"wavelet.HHH_firstorder_Skewness",250
"wavelet.HHH_glcm_ClusterShade",250
"wavelet.HHH_glcm_Imc1",216
"wavelet.HHH_glcm_Id",220
"wavelet.HHH_glcm_InverseVariance",140
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",210
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",185
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",245
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",124
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",237
"wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis",203
"wavelet.LLL_firstorder_10Percentile",193
"gradient_firstorder_Skewness",217
"gradient_glcm_Idn",147
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",178
"gradient_glszm_SmallAreaEmphasis",167
"lbp.3D.m1_firstorder_90Percentile",94
"lbp.3D.m1_firstorder_Skewness",194
"lbp.3D.m1_glcm_ClusterShade",206
"lbp.3D.m1_glcm_Correlation",250
"lbp.3D.m1_glcm_MaximumProbability",171
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",247
"lbp.3D.m2_firstorder_90Percentile",237
"lbp.3D.m2_firstorder_Kurtosis",247
"lbp.3D.m2_firstorder_Median",222
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",247
"lbp.3D.m2_firstorder_Skewness",242
"lbp.3D.m2_glcm_Autocorrelation",225
"lbp.3D.m2_glcm_ClusterProminence",219
"lbp.3D.m2_glcm_ClusterShade",250
"lbp.3D.m2_glcm_Correlation",250
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",233
"lbp.3D.m2_gldm_LargeDependenceEmphasis",234
"lbp.3D.k_firstorder_10Percentile",223
"lbp.3D.k_firstorder_Minimum",215
"lbp.3D.k_firstorder_Range",229
"lbp.3D.k_firstorder_Skewness",249
"lbp.3D.k_glcm_ClusterShade",250
"lbp.3D.k_glcm_Imc2",168
"lbp.3D.k_glcm_Idmn",229
"lbp.3D.k_glcm_MaximumProbability",249
"lbp.3D.k_glrlm_GrayLevelVariance",171
"lbp.3D.k_glrlm_LowGrayLevelRunEmphasis",235
"lbp.3D.k_glrlm_RunVariance",250
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",248
"logarithm_firstorder_Skewness",162
"logarithm_glcm_Idmn",155
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",250
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",203
"log.sigma.2.0.mm.3D_firstorder_Skewness",139
"log.sigma.2.0.mm.3D_glcm_Imc1",57
"log.sigma.3.0.mm.3D_firstorder_RootMeanSquared",6
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",109
"log.sigma.4.0.mm.3D_glcm_Imc2",123
"log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",14
"wavelet.LLH_glcm_Idmn",20
"wavelet.LLH_glcm_MaximumProbability",116
"wavelet.LHL_firstorder_90Percentile",230
"wavelet.LHL_firstorder_Kurtosis",234
"wavelet.LHL_glrlm_LowGrayLevelRunEmphasis",61
"wavelet.LHH_glcm_Correlation",200
"wavelet.LHH_glrlm_RunLengthNonUniformityNormalized",92
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",27
"wavelet.LHH_glszm_SmallAreaEmphasis",122
"wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis",70
"wavelet.HLL_firstorder_InterquartileRange",96
"wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis",31
"wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis",132
"wavelet.HHL_firstorder_Kurtosis",128
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",233
"gradient_firstorder_InterquartileRange",72
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",138
"lbp.3D.k_glcm_Correlation",93
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",212
"logarithm_firstorder_Maximum",163
