"f","count"
"original_shape_Elongation",202
"original_shape_MinorAxisLength",157
"original_shape_Sphericity",134
"original_glszm_LargeAreaLowGrayLevelEmphasis",113
"log.sigma.2.0.mm.3D_glcm_ClusterShade",226
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",153
"log.sigma.4.0.mm.3D_firstorder_Uniformity",140
"log.sigma.4.0.mm.3D_glcm_ClusterShade",138
"log.sigma.4.0.mm.3D_gldm_LargeDependenceEmphasis",151
"log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis",59
"wavelet.LLH_firstorder_Skewness",112
"wavelet.LLH_glcm_ClusterShade",99
"wavelet.LLH_glcm_Correlation",129
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",49
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",48
"wavelet.LHL_firstorder_Median",46
"wavelet.LHH_firstorder_Skewness",147
"wavelet.LHH_glcm_ClusterProminence",182
"wavelet.LHH_glcm_ClusterTendency",199
"wavelet.LHH_glcm_InverseVariance",120
"wavelet.LHH_glrlm_LongRunHighGrayLevelEmphasis",23
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",14
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",65
"wavelet.HLL_firstorder_90Percentile",68
"wavelet.HLL_firstorder_Mean",183
"wavelet.HLL_firstorder_RobustMeanAbsoluteDeviation",156
"wavelet.HLH_firstorder_Median",50
"wavelet.HLH_glcm_ClusterShade",182
"wavelet.HHL_glcm_ClusterShade",196
"wavelet.HHL_glszm_LargeAreaEmphasis",83
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",90
"wavelet.HHH_firstorder_Median",123
"wavelet.HHH_firstorder_Skewness",188
"wavelet.HHH_firstorder_Variance",140
"wavelet.HHH_glcm_ClusterShade",145
"wavelet.HHH_glrlm_RunEntropy",152
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",31
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",82
"gradient_glcm_MaximumProbability",16
"lbp.3D.m1_glcm_JointAverage",23
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",33
"lbp.3D.m2_firstorder_90Percentile",157
"lbp.3D.m2_firstorder_Maximum",229
"lbp.3D.m2_firstorder_Range",209
"lbp.3D.m2_firstorder_Skewness",142
"lbp.3D.m2_glcm_ClusterProminence",46
"lbp.3D.m2_glcm_ClusterShade",123
"lbp.3D.m2_glcm_Imc2",190
"lbp.3D.k_firstorder_MeanAbsoluteDeviation",191
"lbp.3D.k_glcm_ClusterShade",170
"lbp.3D.k_glszm_HighGrayLevelZoneEmphasis",180
"lbp.3D.k_glszm_LargeAreaEmphasis",231
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",199
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",60
"logarithm_firstorder_Minimum",184
"logarithm_firstorder_RootMeanSquared",177
"logarithm_glcm_Idmn",90
"logarithm_glszm_GrayLevelNonUniformity",67
"logarithm_glszm_LargeAreaHighGrayLevelEmphasis",31
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",116
"log.sigma.2.0.mm.3D_firstorder_Median",19
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",24
"log.sigma.3.0.mm.3D_glcm_Correlation",21
"log.sigma.3.0.mm.3D_gldm_DependenceVariance",22
"log.sigma.4.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",35
"wavelet.LLH_firstorder_90Percentile",51
"wavelet.LLH_glcm_Idmn",11
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",46
"wavelet.LHH_firstorder_Maximum",92
"wavelet.LHH_glcm_Idmn",43
"wavelet.LHH_glrlm_RunEntropy",102
"wavelet.LHH_gldm_DependenceNonUniformityNormalized",29
"wavelet.HLL_firstorder_Skewness",96
"wavelet.HLL_glcm_ClusterShade",79
"wavelet.HLL_glszm_LargeAreaEmphasis",141
"wavelet.HLL_gldm_DependenceEntropy",60
"wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis",24
"wavelet.HLH_firstorder_Skewness",81
"wavelet.HLH_glcm_InverseVariance",33
"wavelet.HLH_gldm_LowGrayLevelEmphasis",135
"wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis",60
"wavelet.HHL_firstorder_Mean",63
"wavelet.HHL_firstorder_Skewness",218
"wavelet.HHL_glcm_Idmn",18
"wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis",58
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",65
"wavelet.HHH_firstorder_Mean",62
"wavelet.HHH_glszm_LargeAreaEmphasis",64
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",70
"lbp.3D.k_glcm_Correlation",13
"original_shape_Flatness",137
"wavelet.LHL_gldm_DependenceVariance",62
"wavelet.LHH_glcm_MaximumProbability",113
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",45
"wavelet.HLL_gldm_DependenceVariance",23
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",130
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",80
"wavelet.HHL_glcm_ClusterProminence",52
"wavelet.HHL_glcm_MaximumProbability",44
"wavelet.HHH_glcm_Correlation",28
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",94
"wavelet.HHH_glszm_SmallAreaEmphasis",181
"wavelet.LLL_glcm_Correlation",44
"gradient_glszm_LowGrayLevelZoneEmphasis",28
"lbp.3D.m1_glcm_ClusterShade",74
"lbp.3D.k_firstorder_Range",137
"lbp.3D.k_glcm_Idmn",185
"logarithm_glszm_SmallAreaHighGrayLevelEmphasis",27
"log.sigma.2.0.mm.3D_firstorder_Skewness",21
"wavelet.LLH_firstorder_Kurtosis",77
"wavelet.LLH_gldm_LowGrayLevelEmphasis",55
"wavelet.HLL_glcm_Correlation",14
"wavelet.HHL_firstorder_InterquartileRange",47
"wavelet.LLL_firstorder_RobustMeanAbsoluteDeviation",37
"wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis",61
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",165
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",152
"logarithm_glcm_InverseVariance",43
"log.sigma.3.0.mm.3D_glcm_Imc2",20
"log.sigma.4.0.mm.3D_glcm_JointEntropy",27
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",10
"wavelet.LLH_glcm_Imc1",30
"wavelet.LHL_firstorder_90Percentile",58
"wavelet.LHH_glcm_Correlation",89
"wavelet.HHH_glcm_Imc1",28
"gradient_firstorder_Skewness",51
"gradient_glcm_InverseVariance",22
"lbp.3D.m1_firstorder_Skewness",60
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",25
"lbp.3D.k_gldm_LowGrayLevelEmphasis",149
"wavelet.LHL_firstorder_Kurtosis",65
"wavelet.HLL_firstorder_Median",42
"wavelet.HLH_glcm_MaximumProbability",33
"gradient_glszm_SmallAreaEmphasis",14
"lbp.3D.k_firstorder_Minimum",24
"lbp.3D.k_firstorder_Skewness",70
"wavelet.LLH_firstorder_Median",15
"wavelet.LLH_glszm_SmallAreaEmphasis",13
"wavelet.LHL_glszm_SmallAreaEmphasis",8
"wavelet.LHL_gldm_DependenceEntropy",21
"wavelet.LLL_glszm_ZoneVariance",74
"lbp.3D.m2_glcm_InverseVariance",17
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",79
"logarithm_glszm_SmallAreaEmphasis",8
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",18
"wavelet.LHL_firstorder_MeanAbsoluteDeviation",45
"wavelet.LHL_glcm_ClusterShade",86
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",15
"wavelet.HHL_glcm_Correlation",9
"lbp.3D.k_glszm_ZoneEntropy",60
"log.sigma.4.0.mm.3D_firstorder_Skewness",19
"log.sigma.4.0.mm.3D_glcm_InverseVariance",35
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",6
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",16
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",18
"wavelet.HLL_firstorder_Kurtosis",35
"wavelet.HHL_glcm_Imc1",35
"lbp.3D.m2_gldm_LargeDependenceEmphasis",11
"log.sigma.4.0.mm.3D_glcm_DifferenceVariance",16
"log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",15
"wavelet.LHH_glszm_GrayLevelNonUniformity",20
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",42
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",18
"gradient_firstorder_RobustMeanAbsoluteDeviation",27
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",23
"lbp.3D.k_glcm_MaximumProbability",40
"logarithm_firstorder_Skewness",27
"log.sigma.4.0.mm.3D_gldm_DependenceEntropy",27
"wavelet.LHL_glszm_GrayLevelVariance",65
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",23
