"f","count"
"original_shape_Elongation",248
"original_shape_Flatness",239
"original_shape_Sphericity",191
"log.sigma.2.0.mm.3D_firstorder_Skewness",212
"log.sigma.2.0.mm.3D_glcm_ClusterShade",250
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",63
"wavelet.LLH_firstorder_90Percentile",155
"wavelet.LLH_firstorder_Skewness",142
"wavelet.LLH_glcm_ClusterShade",104
"wavelet.LLH_glcm_Correlation",183
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",5
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",99
"wavelet.LHL_firstorder_90Percentile",83
"wavelet.LHL_firstorder_Kurtosis",87
"wavelet.LHL_glcm_Correlation",212
"wavelet.LHH_firstorder_Median",198
"wavelet.LHH_firstorder_Skewness",236
"wavelet.LHH_glcm_ClusterProminence",195
"wavelet.LHH_glcm_InverseVariance",66
"wavelet.HLL_glcm_Correlation",70
"wavelet.HLL_glszm_LargeAreaEmphasis",197
"wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis",25
"wavelet.HLH_firstorder_Median",174
"wavelet.HLH_firstorder_Skewness",246
"wavelet.HLH_glcm_ClusterShade",228
"wavelet.HLH_glszm_SmallAreaEmphasis",138
"wavelet.HHL_firstorder_Mean",241
"wavelet.HHL_firstorder_Skewness",250
"wavelet.HHL_glcm_ClusterShade",239
"wavelet.HHL_glcm_Imc1",52
"wavelet.HHL_glcm_MaximumProbability",17
"wavelet.HHL_glszm_LargeAreaEmphasis",21
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",154
"wavelet.HHL_glszm_SmallAreaEmphasis",69
"wavelet.HHH_firstorder_Kurtosis",45
"wavelet.HHH_firstorder_Mean",173
"wavelet.HHH_firstorder_Median",241
"wavelet.HHH_firstorder_Skewness",246
"wavelet.HHH_glcm_ClusterShade",247
"wavelet.HHH_glcm_Imc1",127
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",80
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",231
"wavelet.HHH_glszm_SmallAreaEmphasis",225
"wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis",141
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",216
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",52
"gradient_firstorder_Minimum",228
"gradient_firstorder_Skewness",128
"gradient_glszm_SmallAreaEmphasis",61
"lbp.3D.m1_glcm_ClusterShade",218
"lbp.3D.m2_firstorder_Maximum",250
"lbp.3D.m2_firstorder_Range",204
"lbp.3D.m2_glcm_Imc2",156
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",207
"lbp.3D.k_firstorder_Minimum",99
"lbp.3D.k_glcm_Idmn",202
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",100
