"f","count"
"original_shape_MajorAxisLength",112
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",125
"wavelet.HHL_glcm_Imc1",226
"wavelet.HLH_firstorder_Median",10
"logarithm_glcm_Idmn",15
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",95
"log.sigma.4.0.mm.3D_gldm_LargeDependenceEmphasis",33
"logarithm_glszm_SmallAreaEmphasis",41
"wavelet.LHL_glcm_Correlation",12
"log.sigma.4.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis",20
"wavelet.HHL_firstorder_Skewness",7
"wavelet.LLL_glcm_Correlation",60
"wavelet.HLH_glcm_Imc1",10
"original_shape_MinorAxisLength",32
"wavelet.HHH_glcm_Imc1",33
"wavelet.HHL_glszm_SmallAreaEmphasis",13
"wavelet.HHH_glszm_GrayLevelNonUniformity",15
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",1
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",62
"wavelet.HLL_firstorder_Skewness",1
"lbp.3D.m1_glcm_Correlation",29
"wavelet.LHH_glcm_Correlation",12
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",28
"wavelet.LHH_glszm_GrayLevelNonUniformity",21
"original_glszm_LargeAreaLowGrayLevelEmphasis",40
"wavelet.HHL_glcm_ClusterShade",32
"gradient_glszm_SmallAreaEmphasis",7
"wavelet.HLL_glcm_Correlation",10
"wavelet.LHH_glrlm_RunEntropy",12
"wavelet.HHH_firstorder_Variance",3
"log.sigma.4.0.mm.3D_glcm_InverseVariance",44
"wavelet.LHL_firstorder_TotalEnergy",11
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",5
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",1
"lbp.3D.k_glszm_ZoneEntropy",1
"wavelet.HHL_firstorder_Mean",9
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",2
"wavelet.HHH_glszm_LargeAreaEmphasis",4
"log.sigma.3.0.mm.3D_glcm_Correlation",1
"lbp.3D.m2_glcm_InverseVariance",5
"lbp.3D.m2_glcm_ClusterProminence",2
"wavelet.LHL_gldm_DependenceVariance",4
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",2
"wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis",3
"gradient_gldm_SmallDependenceLowGrayLevelEmphasis",3
"wavelet.HHL_glcm_ClusterProminence",4
"wavelet.HHH_glszm_SmallAreaEmphasis",3
"lbp.3D.m1_firstorder_Skewness",3
"wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis",1
"logarithm_gldm_DependenceNonUniformityNormalized",2
"logarithm_glszm_GrayLevelNonUniformity",3
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",1
"logarithm_glszm_LargeAreaHighGrayLevelEmphasis",1
"wavelet.HLL_glszm_LargeAreaEmphasis",1
"wavelet.LLH_firstorder_Kurtosis",1
"wavelet.LLH_firstorder_Median",1
"wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis",1
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",1
"wavelet.HLL_firstorder_Kurtosis",1
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis",1
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.HHL_glcm_Correlation",2
"log.sigma.4.0.mm.3D_glcm_DifferenceVariance",1
"wavelet.HLH_firstorder_Skewness",1
"gradient_glcm_InverseVariance",1
"gradient_glcm_ClusterProminence",1
"original_shape_Sphericity",1
"wavelet.LHL_firstorder_90Percentile",1
"wavelet.LHH_glszm_SmallAreaEmphasis",1
