"f","count"
"original_shape_Elongation",152
"original_glcm_Imc2",22
"original_glrlm_ShortRunLowGrayLevelEmphasis",152
"original_glszm_SizeZoneNonUniformityNormalized",28
"original_gldm_LargeDependenceLowGrayLevelEmphasis",184
"log.sigma.2.0.mm.3D_firstorder_90Percentile",54
"log.sigma.2.0.mm.3D_glcm_ClusterShade",171
"log.sigma.2.0.mm.3D_glcm_Imc1",73
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",40
"log.sigma.4.0.mm.3D_firstorder_Median",48
"wavelet.LLH_glcm_ClusterShade",40
"wavelet.LLH_glcm_Correlation",49
"wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized",42
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",31
"wavelet.LLH_glszm_SmallAreaEmphasis",38
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",35
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",45
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",51
"wavelet.LHL_glcm_Contrast",64
"wavelet.LHH_firstorder_Skewness",60
"wavelet.LHH_firstorder_TotalEnergy",29
"wavelet.LHH_glcm_ClusterShade",197
"wavelet.LHH_glcm_Correlation",44
"wavelet.LHH_glcm_Imc1",148
"wavelet.LHH_glcm_Imc2",152
"wavelet.LHH_glrlm_RunEntropy",107
"wavelet.HLL_firstorder_InterquartileRange",44
"wavelet.HLL_firstorder_Mean",184
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",136
"wavelet.HLL_gldm_DependenceEntropy",52
"wavelet.HLH_firstorder_Mean",112
"wavelet.HLH_firstorder_Median",20
"wavelet.HLH_glcm_ClusterShade",100
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",53
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",45
"wavelet.HHL_glcm_ClusterShade",33
"wavelet.HHL_glcm_Imc1",38
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",163
"wavelet.HHL_glszm_ZoneVariance",59
"wavelet.HHH_glcm_Idn",13
"wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis",44
"wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis",56
"gradient_firstorder_Kurtosis",207
"gradient_glcm_Imc1",79
"gradient_glcm_Imc2",65
"lbp.3D.m2_firstorder_90Percentile",79
"lbp.3D.m2_firstorder_Kurtosis",149
"lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis",106
"lbp.3D.k_firstorder_90Percentile",111
"lbp.3D.k_glszm_GrayLevelVariance",144
"lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis",25
"logarithm_gldm_DependenceNonUniformity",30
"original_firstorder_10Percentile",177
"original_glszm_GrayLevelNonUniformityNormalized",64
"log.sigma.2.0.mm.3D_glcm_Correlation",90
"wavelet.LHL_firstorder_RobustMeanAbsoluteDeviation",65
"wavelet.LHL_glcm_Correlation",73
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",37
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",68
"wavelet.HLH_gldm_DependenceVariance",15
"wavelet.HHL_firstorder_Mean",30
"wavelet.HHL_firstorder_Skewness",54
"wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis",33
"wavelet.HHH_firstorder_Kurtosis",167
"gradient_firstorder_Skewness",159
"gradient_glcm_ClusterProminence",58
"gradient_glrlm_RunEntropy",46
"lbp.3D.m1_glcm_JointAverage",176
"lbp.3D.m1_glcm_Correlation",26
"lbp.3D.m2_firstorder_RootMeanSquared",205
"lbp.3D.m2_firstorder_Skewness",75
"lbp.3D.m2_glcm_Correlation",52
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",197
"lbp.3D.k_firstorder_Skewness",71
"logarithm_firstorder_RootMeanSquared",176
"logarithm_glrlm_LongRunHighGrayLevelEmphasis",69
"log.sigma.3.0.mm.3D_glcm_Imc2",39
"wavelet.LLH_glrlm_LowGrayLevelRunEmphasis",53
"wavelet.LHL_glcm_ClusterShade",132
"wavelet.LHH_glszm_SmallAreaEmphasis",16
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",90
"wavelet.HLL_firstorder_Median",77
"wavelet.HLL_glcm_JointEnergy",89
"wavelet.HLH_glcm_Correlation",61
"wavelet.HLH_glszm_SmallAreaEmphasis",17
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",36
"wavelet.HHH_glcm_Correlation",18
"wavelet.HHH_glszm_SmallAreaEmphasis",10
"wavelet.LLL_glszm_LargeAreaEmphasis",148
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",79
"logarithm_glszm_SmallAreaEmphasis",30
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",33
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",85
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",11
"wavelet.LHH_glrlm_HighGrayLevelRunEmphasis",109
"wavelet.HLL_firstorder_Skewness",28
"wavelet.HLL_firstorder_TotalEnergy",21
"wavelet.HHH_firstorder_Skewness",8
"wavelet.HHH_glcm_ClusterProminence",88
"wavelet.LLL_firstorder_Minimum",96
"gradient_glcm_ClusterShade",66
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",57
"lbp.3D.k_firstorder_RootMeanSquared",47
"lbp.3D.k_glcm_Correlation",32
"logarithm_glszm_GrayLevelNonUniformityNormalized",48
"logarithm_glszm_HighGrayLevelZoneEmphasis",87
"wavelet.LLH_firstorder_10Percentile",42
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",82
"wavelet.LHH_gldm_DependenceVariance",14
"wavelet.HLL_glcm_ClusterShade",86
"wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis",9
"wavelet.HHH_firstorder_InterquartileRange",32
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",27
"gradient_glszm_LargeAreaHighGrayLevelEmphasis",17
"lbp.3D.m1_glcm_Idmn",54
"lbp.3D.m1_glcm_MaximumProbability",44
"lbp.3D.k_gldm_DependenceVariance",18
"log.sigma.4.0.mm.3D_glcm_ClusterShade",70
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",41
"wavelet.LHH_glcm_InverseVariance",33
"wavelet.HLH_firstorder_TotalEnergy",24
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",60
"lbp.3D.m1_gldm_DependenceNonUniformityNormalized",48
"lbp.3D.m2_glcm_InverseVariance",61
"lbp.3D.k_glcm_Imc2",85
"original_shape_Sphericity",102
"wavelet.LLH_firstorder_Median",27
"wavelet.LLH_glcm_SumSquares",43
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",40
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",14
"wavelet.HLH_glcm_Imc2",11
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",14
"gradient_glszm_SmallAreaLowGrayLevelEmphasis",15
"lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis",19
"original_glcm_JointEntropy",40
"wavelet.LHL_firstorder_Energy",34
"wavelet.LHL_firstorder_Kurtosis",128
"wavelet.HLL_glcm_Imc2",27
"wavelet.HHL_firstorder_TotalEnergy",18
"lbp.3D.m2_glrlm_RunLengthNonUniformityNormalized",58
"lbp.3D.k_glrlm_LongRunHighGrayLevelEmphasis",81
"logarithm_glcm_JointEntropy",48
"logarithm_glszm_LargeAreaHighGrayLevelEmphasis",47
"wavelet.LHL_gldm_DependenceEntropy",27
"wavelet.HLL_firstorder_90Percentile",47
"wavelet.HLL_firstorder_Kurtosis",18
"wavelet.HLL_glcm_ClusterProminence",73
"wavelet.LLH_firstorder_Skewness",7
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",30
"wavelet.HHH_firstorder_Median",10
"gradient_glszm_SmallAreaEmphasis",13
"lbp.3D.m2_glrlm_GrayLevelVariance",27
"lbp.3D.k_firstorder_Maximum",62
"log.sigma.3.0.mm.3D_glcm_JointEnergy",33
"wavelet.LHL_firstorder_Skewness",19
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",79
"gradient_firstorder_InterquartileRange",77
"lbp.3D.m1_glszm_SmallAreaLowGrayLevelEmphasis",48
"lbp.3D.m1_gldm_DependenceVariance",58
"original_shape_Flatness",26
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",30
"wavelet.HLH_glszm_ZoneVariance",51
"lbp.3D.k_glcm_Idn",54
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",63
"lbp.3D.k_firstorder_10Percentile",7
"wavelet.LLH_firstorder_Kurtosis",80
"wavelet.LLL_firstorder_Kurtosis",22
"lbp.3D.m1_firstorder_Median",2
"lbp.3D.m2_glcm_MaximumProbability",37
"log.sigma.3.0.mm.3D_firstorder_Skewness",33
"wavelet.HLL_glcm_Idn",44
"wavelet.HLL_gldm_LargeDependenceEmphasis",23
"wavelet.HHL_glcm_Imc2",26
"wavelet.HHL_glszm_SmallAreaEmphasis",7
"wavelet.HHH_gldm_DependenceVariance",11
"lbp.3D.m2_glszm_LargeAreaLowGrayLevelEmphasis",14
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",24
"wavelet.HHL_glcm_Correlation",12
"lbp.3D.m1_firstorder_Kurtosis",61
"wavelet.LLH_glcm_Imc2",8
"wavelet.HHL_firstorder_Median",15
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",15
"lbp.3D.m1_glcm_Imc2",47
"wavelet.HLL_glcm_Correlation",23
"wavelet.HLH_glcm_Idn",17
"wavelet.LHH_glcm_ClusterProminence",17
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",25
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",3
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",30
"wavelet.HLH_firstorder_Kurtosis",9
"wavelet.LLH_firstorder_TotalEnergy",28
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",13
"lbp.3D.m1_glcm_ClusterShade",1
"wavelet.HLL_glszm_SmallAreaEmphasis",26
"logarithm_glcm_ClusterShade",23
"wavelet.LHL_firstorder_Maximum",4
"log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",12
"wavelet.HLH_firstorder_Skewness",7
"wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis",14
"wavelet.HHH_glcm_Imc1",7
"wavelet.LHL_glszm_SmallAreaEmphasis",21
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",10
"wavelet.LLH_firstorder_90Percentile",6
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",8
"wavelet.HHL_glcm_Idn",10
"lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis",5
"wavelet.HHL_gldm_DependenceVariance",11
"log.sigma.4.0.mm.3D_glcm_Autocorrelation",6
"wavelet.HHH_glcm_ClusterShade",2
