"f","count"
"original_glcm_Idn",7
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",18
"log.sigma.2.0.mm.3D_firstorder_Median",5
"log.sigma.2.0.mm.3D_glcm_Correlation",93
"log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation",39
"log.sigma.3.0.mm.3D_firstorder_Skewness",8
"log.sigma.3.0.mm.3D_firstorder_TotalEnergy",8
"wavelet.LHL_glcm_ClusterProminence",45
"wavelet.LHH_firstorder_Mean",45
"wavelet.LHH_glrlm_LongRunLowGrayLevelEmphasis",31
"wavelet.HLH_firstorder_Median",7
"wavelet.HLH_glcm_ClusterShade",71
"wavelet.HLH_glcm_JointEnergy",69
"wavelet.HLH_glszm_LargeAreaEmphasis",64
"wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis",15
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",81
"wavelet.HHL_firstorder_InterquartileRange",11
"wavelet.HHL_firstorder_Mean",26
"wavelet.HHL_firstorder_Skewness",59
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",30
"wavelet.HHH_firstorder_Kurtosis",21
"wavelet.HHH_glcm_Correlation",14
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",77
"wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis",66
"gradient_glcm_Idm",11
"gradient_glszm_LargeAreaEmphasis",11
"lbp.3D.m2_firstorder_Kurtosis",71
"lbp.3D.m2_glcm_Imc2",73
"lbp.3D.k_firstorder_Maximum",30
"lbp.3D.k_firstorder_Skewness",45
"lbp.3D.k_glcm_Correlation",4
"lbp.3D.k_glcm_Imc2",24
"lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis",15
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",10
"logarithm_firstorder_Uniformity",18
"logarithm_glcm_ClusterProminence",24
"logarithm_glcm_ClusterShade",44
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",12
"original_firstorder_Skewness",99
"original_glcm_ClusterShade",25
"original_glcm_Imc2",39
"log.sigma.3.0.mm.3D_glcm_DifferenceEntropy",16
"log.sigma.3.0.mm.3D_glcm_Id",17
"wavelet.LLH_firstorder_Mean",29
"wavelet.LHL_firstorder_Maximum",3
"wavelet.LHL_glszm_HighGrayLevelZoneEmphasis",21
"wavelet.LHH_firstorder_Variance",10
"wavelet.LHH_glcm_ClusterShade",26
"wavelet.HLL_firstorder_Mean",45
"wavelet.HLL_glcm_MaximumProbability",18
"wavelet.HLL_gldm_DependenceVariance",20
"wavelet.HHL_firstorder_Kurtosis",11
"wavelet.HHH_glszm_LargeAreaEmphasis",39
"wavelet.LLL_firstorder_Kurtosis",20
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",44
"lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis",43
"logarithm_firstorder_Skewness",96
"logarithm_glcm_DifferenceVariance",4
"log.sigma.3.0.mm.3D_firstorder_10Percentile",35
"log.sigma.3.0.mm.3D_glcm_ClusterTendency",27
"log.sigma.3.0.mm.3D_glcm_Correlation",28
"wavelet.LLH_firstorder_10Percentile",20
"wavelet.LLH_glszm_GrayLevelVariance",7
"wavelet.LHL_glcm_ClusterShade",48
"wavelet.LHH_firstorder_InterquartileRange",15
"wavelet.LHH_firstorder_Kurtosis",34
