"f","count"
"wavelet.HHH_firstorder_Skewness",6
"wavelet.LHH_glcm_ClusterShade",31
"wavelet.HHH_firstorder_Median",20
"original_shape_Elongation",36
"original_shape_Flatness",55
"logarithm_gldm_LargeDependenceLowGrayLevelEmphasis",4
"lbp.3D.m2_firstorder_Kurtosis",11
"wavelet.LHL_firstorder_Skewness",1
"lbp.3D.k_firstorder_10Percentile",7
"wavelet.LLH_firstorder_Mean",4
"wavelet.HHH_glcm_ClusterShade",3
"wavelet.LHH_firstorder_Skewness",5
"lbp.3D.m2_firstorder_RobustMeanAbsoluteDeviation",3
"wavelet.LHL_glcm_ClusterShade",1
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",2
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",1
