"f","count"
"original_shape_Flatness",246
"original_shape_SurfaceVolumeRatio",194
"wavelet.LLH_firstorder_Kurtosis",134
"wavelet.LLH_firstorder_Median",118
"wavelet.LLH_glcm_Correlation",213
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",217
"wavelet.LHL_firstorder_Skewness",196
"wavelet.LHL_glcm_JointEnergy",179
"wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis",25
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",181
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",70
"wavelet.LHH_firstorder_Kurtosis",113
"wavelet.LHH_firstorder_Mean",88
"wavelet.LHH_firstorder_Skewness",212
"wavelet.LHH_glcm_ClusterShade",229
"wavelet.LHH_glcm_Correlation",227
"wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis",45
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",118
"wavelet.HLL_glcm_Correlation",79
"wavelet.HLL_glszm_LargeAreaEmphasis",102
"wavelet.HLH_firstorder_Kurtosis",210
"wavelet.HLH_firstorder_Median",227
"wavelet.HLH_firstorder_Skewness",101
"wavelet.HLH_glcm_Correlation",23
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",16
"wavelet.HHL_firstorder_Median",220
"wavelet.HHL_firstorder_Skewness",229
"wavelet.HHL_glcm_Correlation",214
"wavelet.HHL_glszm_SmallAreaEmphasis",6
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",34
"wavelet.HHH_firstorder_Kurtosis",128
"wavelet.HHH_firstorder_Mean",171
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_firstorder_Skewness",237
"wavelet.HHH_glcm_ClusterShade",245
"wavelet.HHH_glcm_Idmn",38
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",9
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",88
"lbp.3D.m2_firstorder_Maximum",188
"lbp.3D.m2_glcm_Imc2",132
"lbp.3D.k_firstorder_Kurtosis",176
"lbp.3D.k_firstorder_Range",122
"lbp.3D.k_glcm_ClusterProminence",225
"lbp.3D.k_glszm_GrayLevelVariance",30
"lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis",78
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",49
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",183
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",158
"original_firstorder_Skewness",81
"log.sigma.2.0.mm.3D_firstorder_Mean",120
"log.sigma.2.0.mm.3D_glcm_Correlation",159
"log.sigma.2.0.mm.3D_glcm_Imc2",122
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",206
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",119
"wavelet.LHL_firstorder_Energy",39
"wavelet.LHL_glcm_Correlation",64
"wavelet.LHH_glcm_Idmn",56
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",23
"wavelet.HLL_firstorder_90Percentile",108
"wavelet.HLL_glcm_Imc2",29
"wavelet.HHL_firstorder_Kurtosis",36
"wavelet.HHH_glcm_Correlation",62
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",63
"lbp.3D.m1_firstorder_Skewness",133
"lbp.3D.m1_glcm_ClusterShade",100
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",45
"lbp.3D.m2_firstorder_Range",34
"lbp.3D.m2_glszm_LowGrayLevelZoneEmphasis",52
"lbp.3D.k_glcm_Correlation",93
"log.sigma.3.0.mm.3D_firstorder_Kurtosis",35
"wavelet.LHH_firstorder_Median",37
"wavelet.HHL_glcm_ClusterShade",109
"wavelet.HHH_firstorder_TotalEnergy",102
"wavelet.LLL_firstorder_Median",15
"gradient_glcm_ClusterShade",42
"lbp.3D.k_glcm_Idmn",39
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",98
"log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",38
"wavelet.LLH_firstorder_Skewness",43
"wavelet.LHL_firstorder_90Percentile",101
"wavelet.LHL_firstorder_Kurtosis",149
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",123
"wavelet.HLL_glcm_Idmn",77
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",96
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",104
"gradient_firstorder_Skewness",24
"lbp.3D.m1_glcm_Correlation",11
"lbp.3D.k_glcm_Imc1",6
"logarithm_firstorder_Kurtosis",45
"log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",115
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",7
"wavelet.LHL_glcm_Idmn",14
"wavelet.HLL_firstorder_Skewness",113
"wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis",64
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",96
"lbp.3D.m2_glcm_MaximumProbability",26
"lbp.3D.m2_glrlm_RunPercentage",5
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",31
"log.sigma.2.0.mm.3D_firstorder_Skewness",41
"gradient_glcm_Idn",24
"lbp.3D.m2_glcm_Correlation",31
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",15
"wavelet.HLL_glcm_Contrast",16
"wavelet.HLH_firstorder_Mean",13
"wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis",79
"original_gldm_LargeDependenceLowGrayLevelEmphasis",83
"log.sigma.4.0.mm.3D_glcm_Imc2",30
"wavelet.LLH_glcm_ClusterShade",38
"wavelet.LHL_firstorder_Mean",17
"gradient_glszm_LowGrayLevelZoneEmphasis",87
"logarithm_glcm_Idn",38
"wavelet.HLH_glrlm_GrayLevelNonUniformityNormalized",3
"gradient_glcm_Imc2",9
"gradient_gldm_LargeDependenceLowGrayLevelEmphasis",49
"log.sigma.4.0.mm.3D_glcm_MaximumProbability",26
"wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis",22
"wavelet.HLH_glcm_SumSquares",112
"wavelet.LLL_glcm_Idmn",20
"log.sigma.2.0.mm.3D_firstorder_90Percentile",40
"wavelet.HLL_firstorder_Median",13
"logarithm_glcm_ClusterShade",10
"wavelet.LLH_glcm_Idmn",50
"wavelet.LHH_glszm_ZoneVariance",17
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",18
"log.sigma.4.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",12
"lbp.3D.k_firstorder_Minimum",25
"log.sigma.4.0.mm.3D_firstorder_Maximum",22
"wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis",21
"wavelet.HLH_glcm_Idmn",8
"original_firstorder_Minimum",47
"original_glcm_ClusterShade",5
"wavelet.LHL_firstorder_Maximum",49
"log.sigma.2.0.mm.3D_firstorder_Maximum",4
"lbp.3D.m1_firstorder_90Percentile",21
"lbp.3D.m1_firstorder_Range",11
"lbp.3D.k_glcm_MaximumProbability",7
"gradient_firstorder_Minimum",20
"logarithm_glszm_SmallAreaLowGrayLevelEmphasis",5
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",7
"wavelet.HHL_glcm_ClusterTendency",5
"gradient_glcm_Correlation",5
"wavelet.LLL_glcm_Imc2",7
"gradient_gldm_LargeDependenceEmphasis",4
"lbp.3D.k_firstorder_10Percentile",12
"log.sigma.4.0.mm.3D_glcm_Idmn",1
"wavelet.LLH_glcm_MaximumProbability",1
"wavelet.LHL_glcm_DifferenceVariance",5
"wavelet.HLL_firstorder_10Percentile",2
"wavelet.HHL_firstorder_Mean",4
"log.sigma.3.0.mm.3D_glcm_Idn",8
"log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.LHL_firstorder_Median",1
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",11
"wavelet.HLL_glcm_JointEnergy",1
"wavelet.HLH_glcm_Imc2",2
"wavelet.HHL_glcm_Idmn",1
"lbp.3D.m1_firstorder_RootMeanSquared",1
"lbp.3D.m2_firstorder_Kurtosis",1
"wavelet.LHL_glcm_Imc2",1
"wavelet.HHH_glrlm_GrayLevelNonUniformityNormalized",1
