"f","count"
"original_shape_Flatness",216
"original_shape_SurfaceVolumeRatio",187
"original_glcm_ClusterShade",73
"original_gldm_LargeDependenceLowGrayLevelEmphasis",52
"log.sigma.2.0.mm.3D_firstorder_90Percentile",53
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",35
"log.sigma.2.0.mm.3D_firstorder_Maximum",40
"log.sigma.2.0.mm.3D_firstorder_Skewness",110
"log.sigma.2.0.mm.3D_glcm_Correlation",140
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",218
"log.sigma.4.0.mm.3D_glcm_Correlation",96
"wavelet.LLH_firstorder_Kurtosis",191
"wavelet.LLH_firstorder_Mean",60
"wavelet.LLH_glcm_Correlation",158
"wavelet.LLH_glcm_Idmn",128
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",161
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",209
"wavelet.LHL_firstorder_Energy",112
"wavelet.LHL_firstorder_Kurtosis",124
"wavelet.LHL_firstorder_Uniformity",98
"wavelet.LHL_glcm_Correlation",147
"wavelet.LHL_glcm_JointEnergy",224
"wavelet.LHL_glcm_JointEntropy",100
"wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis",229
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",116
"wavelet.LHH_firstorder_Kurtosis",155
"wavelet.LHH_firstorder_Skewness",244
"wavelet.LHH_glcm_ClusterShade",216
"wavelet.LHH_glcm_Imc1",46
"wavelet.LHH_glcm_Idmn",143
"wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis",131
"wavelet.HLL_firstorder_90Percentile",98
"wavelet.HLL_glcm_Correlation",81
"wavelet.HLL_glcm_Imc2",116
"wavelet.HLL_glrlm_LongRunEmphasis",137
"wavelet.HLL_glszm_LargeAreaEmphasis",174
"wavelet.HLH_firstorder_Kurtosis",204
"wavelet.HLH_firstorder_Mean",77
"wavelet.HLH_firstorder_Median",232
"wavelet.HLH_firstorder_Skewness",208
"wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis",60
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",146
"wavelet.HHL_firstorder_InterquartileRange",31
"wavelet.HHL_firstorder_Median",184
"wavelet.HHL_firstorder_Skewness",180
"wavelet.HHL_glcm_ClusterTendency",77
"wavelet.HHL_glszm_SmallAreaEmphasis",107
"wavelet.HHL_gldm_DependenceVariance",30
"wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis",121
"wavelet.HHH_firstorder_Mean",187
"wavelet.HHH_firstorder_Median",243
"wavelet.HHH_firstorder_Skewness",209
"wavelet.HHH_firstorder_TotalEnergy",102
"wavelet.HHH_glcm_ClusterShade",240
"wavelet.HHH_glcm_Idmn",47
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",104
"gradient_firstorder_Minimum",167
"gradient_glrlm_ShortRunLowGrayLevelEmphasis",103
"gradient_glszm_LowGrayLevelZoneEmphasis",136
"gradient_gldm_LargeDependenceLowGrayLevelEmphasis",182
"lbp.3D.m1_firstorder_90Percentile",84
"lbp.3D.m1_firstorder_Kurtosis",105
"lbp.3D.m1_firstorder_RootMeanSquared",77
"lbp.3D.m1_glcm_ClusterShade",110
"lbp.3D.m1_glcm_JointEnergy",122
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",237
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",203
"lbp.3D.m2_firstorder_Kurtosis",55
"lbp.3D.m2_firstorder_Maximum",159
"lbp.3D.m2_firstorder_Range",247
"lbp.3D.m2_glcm_DifferenceVariance",102
"lbp.3D.m2_glcm_MaximumProbability",145
