"f","count"
"logarithm_firstorder_Minimum",250
"log.sigma.2.0.mm.3D_glcm_Imc2",248
"wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis",246
"wavelet.LHH_glcm_Correlation",186
"original_firstorder_Skewness",178
"wavelet.HLH_firstorder_Skewness",177
"log.sigma.4.0.mm.3D_glcm_Imc2",130
"wavelet.LHH_firstorder_Kurtosis",101
"logarithm_glszm_SmallAreaLowGrayLevelEmphasis",32
"wavelet.HLL_glrlm_LongRunEmphasis",6
"gradient_glcm_JointEnergy",1
"log.sigma.2.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",143
"wavelet.LLH_firstorder_Mean",10
"gradient_glcm_DifferenceVariance",61
"wavelet.HLL_firstorder_90Percentile",60
"original_shape_SurfaceVolumeRatio",125
"wavelet.HLL_glcm_Correlation",128
"lbp.3D.m1_glcm_JointEnergy",85
"log.sigma.2.0.mm.3D_firstorder_Mean",162
"lbp.3D.k_glcm_MaximumProbability",50
"log.sigma.4.0.mm.3D_glcm_Correlation",73
"gradient_glcm_Imc2",52
"original_shape_Flatness",78
"lbp.3D.m1_gldm_SmallDependenceHighGrayLevelEmphasis",15
"wavelet.LLL_glcm_Imc2",38
"wavelet.LHL_firstorder_Skewness",20
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",29
"wavelet.LHL_firstorder_Mean",9
"lbp.3D.m1_firstorder_RootMeanSquared",120
"gradient_firstorder_Skewness",16
"wavelet.HHL_glszm_SmallAreaEmphasis",2
"lbp.3D.m1_glcm_ClusterShade",80
"gradient_firstorder_Minimum",8
"wavelet.LHL_firstorder_Kurtosis",32
"lbp.3D.k_firstorder_Kurtosis",69
"wavelet.HHL_firstorder_Median",3
"wavelet.LLH_firstorder_Median",11
"lbp.3D.m2_glcm_ClusterShade",38
"wavelet.HHL_glcm_Imc2",21
"wavelet.LHH_glcm_Imc1",9
"lbp.3D.k_glcm_Idmn",23
"logarithm_glszm_GrayLevelNonUniformity",46
"gradient_glcm_Correlation",49
"wavelet.HLH_glcm_Correlation",7
"log.sigma.2.0.mm.3D_glcm_MaximumProbability",21
"log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis",2
"wavelet.LHH_firstorder_Median",12
"lbp.3D.k_glszm_SizeZoneNonUniformityNormalized",7
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",6
"wavelet.LHL_glcm_JointEnergy",23
"lbp.3D.k_glcm_Correlation",51
"original_glcm_ClusterShade",27
"wavelet.LHH_glcm_ClusterShade",5
"wavelet.HLL_glcm_JointEnergy",2
"wavelet.HLL_glcm_Imc2",6
"wavelet.LLL_firstorder_Median",11
"log.sigma.4.0.mm.3D_glrlm_RunPercentage",6
"wavelet.HHH_firstorder_Mean",20
"lbp.3D.m1_glcm_Correlation",16
"wavelet.LLH_glcm_Imc2",4
"original_firstorder_Minimum",16
"wavelet.LLH_firstorder_Skewness",32
"lbp.3D.m2_firstorder_RootMeanSquared",1
"lbp.3D.m2_gldm_DependenceEntropy",2
"lbp.3D.m2_glcm_Imc2",3
"wavelet.HHL_gldm_DependenceVariance",60
"wavelet.HLL_firstorder_Skewness",11
"lbp.3D.k_glcm_ClusterProminence",36
"gradient_firstorder_Maximum",63
"wavelet.HHL_glcm_Correlation",22
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",3
"lbp.3D.m1_firstorder_Skewness",4
"lbp.3D.m2_glcm_DifferenceVariance",5
"log.sigma.4.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis",26
"wavelet.HHH_glcm_ClusterShade",23
"lbp.3D.m1_glcm_DifferenceVariance",2
"log.sigma.2.0.mm.3D_firstorder_InterquartileRange",5
"original_gldm_LargeDependenceLowGrayLevelEmphasis",27
"wavelet.HLH_glcm_SumSquares",2
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",23
"lbp.3D.k_firstorder_Minimum",5
"log.sigma.2.0.mm.3D_firstorder_90Percentile",4
"wavelet.LLL_glcm_Idmn",28
"wavelet.HLL_firstorder_Median",3
"wavelet.LHL_firstorder_Uniformity",15
"log.sigma.2.0.mm.3D_glcm_Correlation",37
"lbp.3D.m2_glszm_LowGrayLevelZoneEmphasis",2
"wavelet.LHH_firstorder_Skewness",7
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",2
"wavelet.HLL_glcm_Contrast",7
"wavelet.LLH_glcm_Idmn",23
"wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis",4
"lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis",3
"wavelet.HHH_glrlm_GrayLevelNonUniformityNormalized",7
"lbp.3D.k_glszm_GrayLevelVariance",4
"wavelet.LHL_glcm_JointEntropy",2
"wavelet.HHL_firstorder_Skewness",4
"gradient_glcm_Idn",16
