f,count
original_glszm_LargeAreaLowGrayLevelEmphasis,106
log.sigma.2.0.mm.3D_firstorder_Mean,6
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,113
log.sigma.3.0.mm.3D_glcm_Correlation,100
log.sigma.4.0.mm.3D_glcm_Idn,24
wavelet.LHL_firstorder_90Percentile,83
wavelet.LHL_glcm_ClusterShade,186
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,43
wavelet.LHH_glcm_ClusterShade,230
wavelet.LHH_glcm_Correlation,70
wavelet.HLL_firstorder_Energy,5
wavelet.HLL_firstorder_Median,91
wavelet.HLL_firstorder_Skewness,57
wavelet.HLL_glcm_Idn,5
wavelet.HHL_firstorder_Skewness,140
wavelet.HHL_glcm_Imc1,17
wavelet.HHL_glcm_MaximumProbability,16
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,50
wavelet.HHL_glszm_SmallAreaEmphasis,16
wavelet.HHH_firstorder_Energy,42
wavelet.HHH_firstorder_Mean,142
wavelet.HHH_glcm_Imc1,7
wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,108
gradient_glcm_Correlation,18
lbp.3D.m1_firstorder_RootMeanSquared,156
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,174
lbp.3D.m2_firstorder_90Percentile,159
lbp.3D.m2_firstorder_Range,200
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,186
logarithm_glcm_Imc2,113
logarithm_glcm_Idn,68
original_shape_Sphericity,184
original_glcm_Idmn,68
log.sigma.4.0.mm.3D_glcm_Correlation,109
wavelet.LHL_firstorder_Kurtosis,116
wavelet.LHL_firstorder_Skewness,47
wavelet.LHL_firstorder_TotalEnergy,9
wavelet.LHL_glcm_Correlation,101
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,57
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,131
wavelet.LHH_glcm_Imc2,10
wavelet.LHH_glszm_ZoneVariance,161
wavelet.HLL_firstorder_90Percentile,108
wavelet.HLL_glszm_SizeZoneNonUniformityNormalized,5
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,102
wavelet.HHH_firstorder_Median,103
wavelet.HHH_firstorder_Skewness,136
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,60
lbp.3D.m1_glcm_DifferenceVariance,93
lbp.3D.m2_glcm_DifferenceVariance,15
lbp.3D.m2_glrlm_RunPercentage,67
logarithm_glrlm_LongRunHighGrayLevelEmphasis,5
original_shape_SurfaceVolumeRatio,103
original_glcm_Imc2,31
wavelet.LLH_firstorder_90Percentile,119
wavelet.LLH_glcm_MaximumProbability,22
wavelet.LHH_firstorder_Kurtosis,66
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,33
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,135
wavelet.HHH_firstorder_Kurtosis,121
wavelet.LLL_firstorder_InterquartileRange,8
lbp.3D.m2_firstorder_Skewness,105
lbp.3D.m2_glrlm_GrayLevelVariance,31
lbp.3D.k_glcm_Idmn,18
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,48
original_shape_Flatness,65
original_glcm_Correlation,42
log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,22
wavelet.LLH_firstorder_Skewness,17
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,19
wavelet.LHL_glszm_GrayLevelVariance,32
wavelet.LHH_glcm_DifferenceAverage,120
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,120
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,12
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,33
wavelet.HHL_glcm_ClusterShade,32
wavelet.HHH_glcm_ClusterShade,51
lbp.3D.m1_firstorder_90Percentile,29
lbp.3D.k_firstorder_Kurtosis,77
lbp.3D.k_firstorder_Maximum,33
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,142
logarithm_glcm_Imc1,53
log.sigma.3.0.mm.3D_firstorder_Skewness,21
wavelet.LLH_glcm_Contrast,11
wavelet.LHH_firstorder_Skewness,60
wavelet.LHH_glszm_GrayLevelVariance,24
lbp.3D.m2_glcm_MaximumProbability,16
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,47
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,22
wavelet.LLH_gldm_DependenceVariance,9
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,16
wavelet.HHH_glcm_InverseVariance,34
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,21
gradient_firstorder_Skewness,21
lbp.3D.m2_firstorder_Maximum,20
lbp.3D.m2_firstorder_Median,17
lbp.3D.k_glszm_SmallAreaEmphasis,13
wavelet.LLH_gldm_SmallDependenceLowGrayLevelEmphasis,15
wavelet.HLH_glcm_ClusterProminence,69
lbp.3D.k_firstorder_InterquartileRange,61
log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,10
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,15
wavelet.LLH_glcm_Imc2,9
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,8
lbp.3D.m1_glcm_Correlation,14
logarithm_glrlm_LongRunLowGrayLevelEmphasis,6
original_firstorder_Skewness,21
log.sigma.3.0.mm.3D_glcm_Idm,24
wavelet.LLH_glcm_ClusterShade,17
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,20
wavelet.HLL_glcm_Imc1,11
gradient_glcm_Idn,16
lbp.3D.m2_glcm_Correlation,20
log.sigma.2.0.mm.3D_firstorder_Kurtosis,54
log.sigma.4.0.mm.3D_glcm_MaximumProbability,6
wavelet.LHH_glszm_SizeZoneNonUniformity,58
wavelet.HLH_firstorder_10Percentile,23
wavelet.HLH_firstorder_Mean,55
wavelet.HLH_glcm_Imc1,17
wavelet.HHL_firstorder_InterquartileRange,26
wavelet.HHL_firstorder_Kurtosis,83
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,13
wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis,15
wavelet.LHH_glcm_Idmn,8
wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis,32
wavelet.HLL_firstorder_Kurtosis,40
wavelet.HLL_gldm_DependenceVariance,18
wavelet.HHL_glszm_ZoneEntropy,9
gradient_glszm_SmallAreaEmphasis,13
log.sigma.2.0.mm.3D_glcm_Imc2,51
wavelet.HLH_glrlm_ShortRunEmphasis,15
lbp.3D.m1_glcm_ClusterShade,33
lbp.3D.k_glszm_GrayLevelVariance,55
log.sigma.2.0.mm.3D_glcm_ClusterShade,16
wavelet.LHH_firstorder_Median,5
wavelet.LHH_firstorder_Minimum,9
wavelet.HLL_glcm_Correlation,11
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,18
gradient_firstorder_InterquartileRange,14
log.sigma.2.0.mm.3D_firstorder_90Percentile,13
wavelet.HLL_glszm_GrayLevelVariance,8
wavelet.LHL_firstorder_Median,36
wavelet.LLL_glrlm_LowGrayLevelRunEmphasis,5
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,68
gradient_glcm_Imc1,18
lbp.3D.k_glszm_SizeZoneNonUniformity,10
logarithm_gldm_GrayLevelNonUniformity,10
log.sigma.4.0.mm.3D_glcm_ClusterProminence,11
wavelet.LLH_firstorder_Median,24
lbp.3D.m1_glcm_MaximumProbability,24
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,28
logarithm_gldm_DependenceNonUniformityNormalized,18
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,12
wavelet.HHL_glcm_Idmn,21
original_firstorder_Minimum,8
wavelet.LHL_firstorder_InterquartileRange,8
lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized,9
lbp.3D.k_gldm_DependenceEntropy,8
wavelet.LHL_firstorder_Maximum,8
wavelet.LHL_gldm_DependenceEntropy,11
wavelet.HLL_firstorder_InterquartileRange,9
lbp.3D.k_glrlm_LongRunHighGrayLevelEmphasis,10
original_firstorder_10Percentile,11
wavelet.LHH_glszm_SmallAreaEmphasis,6
lbp.3D.k_glcm_Imc2,5
wavelet.HLL_glcm_Imc2,23
