f,count
original_shape_Flatness,250
original_shape_Sphericity,250
original_shape_SurfaceVolumeRatio,249
original_firstorder_10Percentile,161
original_firstorder_Skewness,107
original_glcm_Correlation,240
original_glcm_Idmn,83
original_glszm_LargeAreaLowGrayLevelEmphasis,250
log.sigma.2.0.mm.3D_firstorder_Kurtosis,249
log.sigma.2.0.mm.3D_glcm_ClusterShade,247
log.sigma.2.0.mm.3D_glcm_Imc1,126
log.sigma.2.0.mm.3D_glcm_Imc2,210
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,247
log.sigma.3.0.mm.3D_firstorder_Kurtosis,236
log.sigma.3.0.mm.3D_glcm_Correlation,250
log.sigma.3.0.mm.3D_gldm_LargeDependenceEmphasis,120
log.sigma.3.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,157
log.sigma.4.0.mm.3D_glcm_Correlation,245
log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,125
log.sigma.4.0.mm.3D_gldm_DependenceNonUniformityNormalized,196
wavelet.LLH_firstorder_90Percentile,247
wavelet.LLH_firstorder_Median,211
wavelet.LLH_firstorder_Skewness,234
wavelet.LLH_glcm_Contrast,82
wavelet.LLH_glcm_Correlation,163
wavelet.LLH_glcm_Imc2,94
wavelet.LLH_glcm_Idmn,164
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,122
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,212
wavelet.LHL_firstorder_90Percentile,245
wavelet.LHL_firstorder_Kurtosis,249
wavelet.LHL_firstorder_Median,238
wavelet.LHL_firstorder_Skewness,242
wavelet.LHL_firstorder_TotalEnergy,83
wavelet.LHL_glcm_ClusterShade,249
wavelet.LHL_glcm_Correlation,249
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,248
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,238
wavelet.LHL_glszm_GrayLevelVariance,193
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,249
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,233
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,217
wavelet.LHH_firstorder_Kurtosis,249
wavelet.LHH_firstorder_Median,245
wavelet.LHH_firstorder_Skewness,250
wavelet.LHH_glcm_ClusterShade,250
wavelet.LHH_glcm_Correlation,250
wavelet.LHH_glcm_DifferenceAverage,242
wavelet.LHH_glcm_Imc2,240
wavelet.LHH_glszm_GrayLevelVariance,235
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,128
wavelet.LHH_glszm_SizeZoneNonUniformity,214
wavelet.LHH_glszm_SmallAreaEmphasis,239
wavelet.LHH_glszm_ZoneVariance,194
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,229
wavelet.HLL_firstorder_90Percentile,241
wavelet.HLL_firstorder_Kurtosis,241
wavelet.HLL_firstorder_Maximum,91
wavelet.HLL_firstorder_Median,247
wavelet.HLL_firstorder_Skewness,245
wavelet.HLL_glcm_Correlation,239
wavelet.HLL_glcm_Imc1,61
wavelet.HLL_glcm_Imc2,213
wavelet.HLL_glcm_MaximumProbability,195
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,64
wavelet.HLL_gldm_DependenceVariance,176
wavelet.HLH_firstorder_10Percentile,137
wavelet.HLH_firstorder_Kurtosis,229
wavelet.HLH_firstorder_Mean,247
wavelet.HLH_firstorder_Skewness,247
wavelet.HLH_glcm_ClusterProminence,250
wavelet.HLH_glcm_Correlation,242
wavelet.HLH_glcm_Imc1,60
wavelet.HLH_glcm_Idmn,99
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,228
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,228
wavelet.HLH_glszm_ZoneVariance,135
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,250
wavelet.HHL_firstorder_Kurtosis,250
wavelet.HHL_firstorder_Mean,242
wavelet.HHL_firstorder_Skewness,250
wavelet.HHL_glcm_ClusterShade,250
wavelet.HHL_glcm_Correlation,248
wavelet.HHL_glcm_Idmn,225
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,219
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,244
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,239
wavelet.HHH_firstorder_Energy,222
wavelet.HHH_firstorder_Kurtosis,247
wavelet.HHH_firstorder_Mean,250
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_JointEnergy,150
wavelet.HHH_glcm_Imc1,58
wavelet.HHH_glcm_InverseVariance,200
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,167
wavelet.HHH_glszm_LowGrayLevelZoneEmphasis,250
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,249
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,241
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,149
wavelet.LLL_firstorder_InterquartileRange,195
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,237
gradient_firstorder_InterquartileRange,187
gradient_firstorder_Skewness,149
gradient_glcm_Idn,119
gradient_glszm_SmallAreaEmphasis,151
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,213
lbp.3D.m1_firstorder_Maximum,102
lbp.3D.m1_firstorder_RootMeanSquared,250
lbp.3D.m1_glcm_ClusterShade,245
lbp.3D.m1_glcm_Correlation,139
lbp.3D.m1_glcm_DifferenceVariance,250
lbp.3D.m1_glcm_MaximumProbability,218
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,202
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,210
lbp.3D.m2_firstorder_90Percentile,250
lbp.3D.m2_firstorder_Maximum,250
lbp.3D.m2_firstorder_Range,242
lbp.3D.m2_firstorder_Skewness,249
lbp.3D.m2_glcm_DifferenceVariance,117
lbp.3D.m2_glcm_MaximumProbability,144
lbp.3D.m2_glrlm_GrayLevelVariance,241
lbp.3D.m2_glrlm_RunPercentage,244
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,237
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,248
lbp.3D.k_firstorder_InterquartileRange,250
lbp.3D.k_firstorder_Kurtosis,250
lbp.3D.k_firstorder_Maximum,249
lbp.3D.k_firstorder_Minimum,250
lbp.3D.k_glcm_Correlation,220
lbp.3D.k_glcm_Idmn,250
lbp.3D.k_glrlm_LongRunLowGrayLevelEmphasis,238
lbp.3D.k_glszm_GrayLevelVariance,243
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,222
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,249
lbp.3D.k_glszm_SmallAreaEmphasis,229
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,240
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,250
