f,count
logarithm_glcm_Imc2,63
wavelet.HHH_glcm_ClusterShade,89
log.sigma.3.0.mm.3D_glcm_Correlation,17
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,26
wavelet.HLH_firstorder_Median,2
wavelet.LLL_firstorder_10Percentile,1
wavelet.LLH_glcm_InverseVariance,8
wavelet.LHL_firstorder_Mean,5
wavelet.LHH_glcm_MaximumProbability,3
wavelet.LHH_gldm_DependenceNonUniformityNormalized,7
log.sigma.2.0.mm.3D_firstorder_Median,1
log.sigma.2.0.mm.3D_firstorder_Skewness,1
wavelet.HHH_glcm_Correlation,2
gradient_glcm_Imc1,1
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,1
logarithm_firstorder_Minimum,1
lbp.3D.m2_firstorder_90Percentile,1
wavelet.HHH_firstorder_Median,1
iter,250
