f,count
original_shape_Elongation,121
original_shape_Sphericity,14
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,65
wavelet.LHH_firstorder_Median,53
wavelet.LHH_firstorder_Skewness,109
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,68
wavelet.HLH_glcm_ClusterShade,64
wavelet.HHL_firstorder_Mean,100
wavelet.HHH_firstorder_Median,121
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,120
wavelet.HHH_glszm_SmallAreaEmphasis,158
lbp.3D.m1_glcm_ClusterShade,51
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,97
wavelet.LHL_firstorder_Median,101
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,128
wavelet.HHL_firstorder_Median,163
wavelet.HHH_glcm_ClusterShade,205
lbp.3D.k_glcm_ClusterShade,153
original_shape_Flatness,44
log.sigma.2.0.mm.3D_firstorder_Kurtosis,60
wavelet.HHH_firstorder_Skewness,59
wavelet.HHL_glcm_ClusterShade,48
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,94
log.sigma.2.0.mm.3D_firstorder_Median,4
wavelet.LHL_firstorder_Mean,56
wavelet.HHL_firstorder_Skewness,76
wavelet.HHL_glcm_ClusterProminence,30
wavelet.LLH_firstorder_Skewness,20
lbp.3D.m1_firstorder_Mean,6
lbp.3D.m1_firstorder_Skewness,32
wavelet.HHH_firstorder_Kurtosis,9
lbp.3D.k_firstorder_10Percentile,66
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,11
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,10
wavelet.LHH_firstorder_Variance,3
logarithm_glszm_GrayLevelNonUniformity,21
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,6
wavelet.HLH_firstorder_Median,16
wavelet.HLH_firstorder_Skewness,46
logarithm_glcm_Imc2,7
wavelet.HLL_glcm_ClusterProminence,2
wavelet.HLH_firstorder_Mean,6
wavelet.LLL_firstorder_10Percentile,16
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.LHH_glcm_ClusterShade,43
original_firstorder_Maximum,9
logarithm_firstorder_Minimum,7
lbp.3D.k_firstorder_Kurtosis,28
wavelet.LHH_glcm_Correlation,8
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,1
wavelet.HHH_firstorder_Mean,8
wavelet.HLL_firstorder_Median,5
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,5
wavelet.HLL_firstorder_Mean,6
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,3
wavelet.LHH_glcm_InverseVariance,19
lbp.3D.m2_firstorder_90Percentile,4
wavelet.HHL_glcm_Correlation,9
wavelet.LLH_glcm_Correlation,1
wavelet.LHH_glszm_SmallAreaEmphasis,2
original_glcm_Imc2,3
wavelet.HHH_glszm_LargeAreaEmphasis,3
wavelet.LHL_firstorder_Kurtosis,1
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,2
lbp.3D.m2_glcm_ClusterShade,4
wavelet.LLH_glcm_ClusterProminence,1
wavelet.LHH_firstorder_Kurtosis,3
wavelet.HLH_glszm_SmallAreaEmphasis,4
wavelet.HHL_firstorder_Energy,2
wavelet.LHL_firstorder_Skewness,1
wavelet.LLH_firstorder_Median,3
wavelet.LLH_firstorder_Kurtosis,1
lbp.3D.m2_firstorder_Skewness,1
wavelet.HHL_glszm_ZoneVariance,1
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,1
lbp.3D.m2_firstorder_RootMeanSquared,1
wavelet.LHH_glszm_ZoneVariance,1
iter,250
