f,count
original_shape_Flatness,164
original_glcm_Correlation,89
original_glcm_Imc1,179
original_glcm_Idmn,32
log.sigma.2.0.mm.3D_glcm_ClusterShade,57
log.sigma.3.0.mm.3D_firstorder_90Percentile,69
log.sigma.4.0.mm.3D_glcm_JointEntropy,30
log.sigma.4.0.mm.3D_glrlm_RunVariance,17
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,96
wavelet.LLH_firstorder_Skewness,171
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,37
wavelet.LHL_glrlm_LongRunEmphasis,48
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,122
wavelet.LHL_gldm_DependenceEntropy,44
wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis,58
wavelet.LHH_firstorder_Energy,61
wavelet.LHH_firstorder_Mean,88
wavelet.LHH_glcm_Autocorrelation,24
wavelet.LHH_glcm_InverseVariance,84
wavelet.HLL_firstorder_90Percentile,21
wavelet.HLL_glcm_Imc1,21
wavelet.HLL_glszm_LargeAreaEmphasis,123
wavelet.HLH_glcm_ClusterShade,84
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,195
wavelet.HLH_glszm_LowGrayLevelZoneEmphasis,157
wavelet.HLH_glszm_ZoneVariance,83
wavelet.HHL_firstorder_Mean,44
wavelet.HHL_firstorder_Median,129
wavelet.HHL_firstorder_Skewness,39
wavelet.HHL_glszm_LargeAreaEmphasis,136
wavelet.HHH_firstorder_Median,167
wavelet.HHH_glcm_JointEnergy,128
wavelet.HHH_glcm_Imc1,129
wavelet.HHH_glszm_SmallAreaEmphasis,114
wavelet.HHH_gldm_DependenceNonUniformityNormalized,80
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,115
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,56
lbp.3D.m1_glcm_ClusterShade,23
lbp.3D.m2_firstorder_90Percentile,214
lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis,179
lbp.3D.m2_gldm_DependenceVariance,238
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,94
lbp.3D.k_glcm_Imc2,49
lbp.3D.k_glszm_GrayLevelVariance,138
