f,count
original_shape_Flatness,158
original_firstorder_Maximum,40
log.sigma.2.0.mm.3D_gldm_DependenceVariance,10
log.sigma.3.0.mm.3D_glcm_MaximumProbability,15
wavelet.LLH_gldm_LargeDependenceEmphasis,19
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,88
wavelet.LHL_firstorder_InterquartileRange,45
wavelet.LHL_firstorder_Mean,35
wavelet.LHL_firstorder_Skewness,145
wavelet.LHH_glcm_InverseVariance,123
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,30
wavelet.HLL_firstorder_Mean,142
wavelet.HLL_glcm_Correlation,28
wavelet.HLH_firstorder_Median,40
wavelet.HLH_glcm_ClusterShade,46
wavelet.HLH_glszm_LargeAreaEmphasis,157
wavelet.HHL_firstorder_Kurtosis,31
wavelet.HHL_firstorder_Median,74
wavelet.HHL_glcm_Correlation,19
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,89
wavelet.HHH_firstorder_Energy,133
wavelet.HHH_firstorder_Skewness,205
wavelet.HHH_glcm_Imc1,9
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,121
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,108
gradient_firstorder_10Percentile,25
lbp.3D.m1_firstorder_Mean,122
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,127
lbp.3D.m2_firstorder_Kurtosis,90
lbp.3D.m2_firstorder_Range,162
lbp.3D.k_firstorder_Kurtosis,66
lbp.3D.k_firstorder_Maximum,105
lbp.3D.k_glcm_ClusterShade,208
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,113
wavelet.LLH_firstorder_Kurtosis,9
wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation,40
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,70
wavelet.LHL_glcm_ClusterShade,99
wavelet.LHL_gldm_DependenceEntropy,15
wavelet.LHH_firstorder_Skewness,168
wavelet.LHH_glcm_Correlation,74
wavelet.HLL_firstorder_10Percentile,33
wavelet.HLL_firstorder_Kurtosis,12
wavelet.HLL_glcm_Idmn,10
wavelet.HLL_gldm_DependenceEntropy,6
wavelet.HLH_glcm_MaximumProbability,73
wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis,65
wavelet.HHL_glcm_ClusterShade,36
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,63
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,44
wavelet.HHH_glcm_ClusterShade,87
wavelet.LLL_firstorder_10Percentile,127
lbp.3D.m1_glcm_ClusterShade,108
lbp.3D.m2_firstorder_Median,34
lbp.3D.m2_glcm_ClusterShade,150
lbp.3D.m2_glcm_Imc2,63
lbp.3D.k_glszm_SmallAreaEmphasis,99
logarithm_firstorder_Minimum,34
logarithm_glcm_Imc1,139
original_shape_Sphericity,109
log.sigma.4.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,9
log.sigma.4.0.mm.3D_glcm_JointEnergy,14
wavelet.LLH_glcm_ClusterProminence,169
wavelet.LLH_glcm_ClusterTendency,30
wavelet.LHH_firstorder_Energy,8
wavelet.LHH_firstorder_Kurtosis,56
wavelet.LHH_glrlm_GrayLevelVariance,13
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,26
wavelet.HLL_glszm_LargeAreaEmphasis,97
wavelet.HLH_firstorder_Skewness,133
wavelet.HHL_glcm_ClusterProminence,74
wavelet.LLL_glcm_Imc2,34
gradient_firstorder_Skewness,20
lbp.3D.m2_firstorder_90Percentile,125
lbp.3D.k_glcm_Correlation,19
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,105
log.sigma.3.0.mm.3D_glcm_ClusterShade,21
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,11
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,8
wavelet.LHH_glcm_ClusterShade,150
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,6
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,113
wavelet.HLH_glcm_Imc1,11
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,32
wavelet.HHH_firstorder_Median,83
wavelet.LLL_firstorder_Skewness,61
wavelet.LLL_glcm_ClusterShade,53
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,8
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,4
lbp.3D.m1_glcm_Autocorrelation,46
original_glcm_Correlation,26
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,56
wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis,6
wavelet.LHL_firstorder_Kurtosis,15
wavelet.LHL_glcm_JointAverage,38
wavelet.LHL_glcm_Correlation,65
