f,count
original_shape_Elongation,193
original_shape_Flatness,191
original_firstorder_Maximum,86
original_glcm_Imc2,96
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,143
log.sigma.4.0.mm.3D_firstorder_90Percentile,72
log.sigma.4.0.mm.3D_glcm_Idm,34
wavelet.LLH_firstorder_Skewness,109
wavelet.LLH_glcm_Correlation,123
wavelet.LHL_firstorder_Mean,134
wavelet.LHL_firstorder_Median,145
wavelet.LHH_firstorder_Kurtosis,47
wavelet.LHH_firstorder_Skewness,199
wavelet.LHH_glcm_Correlation,139
wavelet.HLH_firstorder_Kurtosis,55
wavelet.HLH_firstorder_Skewness,124
wavelet.HLH_glcm_ClusterShade,184
wavelet.HLH_glcm_Contrast,43
wavelet.HLH_glcm_JointEnergy,93
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,148
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,16
wavelet.HHL_firstorder_Median,205
wavelet.HHL_glcm_ClusterProminence,172
wavelet.HHL_glcm_ClusterShade,177
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,160
wavelet.HHH_firstorder_Kurtosis,68
wavelet.HHH_firstorder_Median,123
wavelet.HHH_glcm_JointEnergy,65
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,123
gradient_firstorder_Kurtosis,32
gradient_glszm_LargeAreaHighGrayLevelEmphasis,70
gradient_gldm_DependenceVariance,6
lbp.3D.m1_firstorder_Skewness,112
lbp.3D.m1_glcm_Autocorrelation,91
lbp.3D.m1_glcm_ClusterShade,178
lbp.3D.m2_firstorder_RootMeanSquared,83
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,93
lbp.3D.k_firstorder_Kurtosis,220
lbp.3D.k_glcm_ClusterShade,175
lbp.3D.k_glcm_DifferenceVariance,18
logarithm_firstorder_Skewness,39
logarithm_glcm_Imc1,70
log.sigma.3.0.mm.3D_firstorder_Skewness,77
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,118
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,67
wavelet.LHL_glcm_Correlation,33
wavelet.LHL_glcm_Imc2,95
wavelet.LHL_glszm_SmallAreaEmphasis,4
wavelet.LHL_gldm_LowGrayLevelEmphasis,27
wavelet.LHH_firstorder_Median,123
wavelet.LHH_glcm_InverseVariance,105
wavelet.HLL_firstorder_90Percentile,71
wavelet.HLL_firstorder_Mean,147
wavelet.HLL_glcm_ClusterProminence,135
wavelet.HLH_firstorder_Median,33
wavelet.HHL_firstorder_Mean,133
wavelet.HHL_glcm_JointEnergy,104
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,105
wavelet.HHH_firstorder_Skewness,135
wavelet.HHH_glcm_ClusterShade,204
wavelet.HHH_glszm_SmallAreaEmphasis,153
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,67
lbp.3D.m1_glcm_Imc2,36
lbp.3D.m1_gldm_LargeDependenceLowGrayLevelEmphasis,12
lbp.3D.m2_firstorder_90Percentile,151
lbp.3D.m2_glcm_ClusterShade,93
lbp.3D.k_firstorder_Range,10
lbp.3D.k_gldm_LargeDependenceLowGrayLevelEmphasis,5
original_shape_Sphericity,70
log.sigma.2.0.mm.3D_firstorder_Mean,17
log.sigma.2.0.mm.3D_glcm_Correlation,47
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,47
log.sigma.3.0.mm.3D_glcm_Imc2,10
wavelet.LLH_firstorder_Median,122
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,111
wavelet.HLL_firstorder_Median,43
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,48
wavelet.HHL_gldm_DependenceVariance,101
lbp.3D.m1_firstorder_Mean,70
lbp.3D.k_firstorder_10Percentile,169
lbp.3D.k_glszm_SmallAreaEmphasis,147
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,7
wavelet.LHL_firstorder_Skewness,46
wavelet.LHL_glcm_MaximumProbability,45
wavelet.LHH_glcm_ClusterShade,105
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,28
wavelet.HLL_glcm_ClusterTendency,13
wavelet.HLH_glcm_Imc2,4
wavelet.HHL_firstorder_Skewness,83
wavelet.HHL_glcm_Imc2,12
wavelet.HHH_firstorder_Energy,88
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,16
gradient_glszm_SmallAreaLowGrayLevelEmphasis,18
lbp.3D.m2_firstorder_Kurtosis,32
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,110
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,21
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,30
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,19
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,133
