f,count
wavelet.LLH_glcm_Idmn,148
lbp.3D.m2_firstorder_Maximum,79
lbp.3D.m2_firstorder_Range,70
wavelet.HLH_glszm_HighGrayLevelZoneEmphasis,13
wavelet.LHL_glcm_MaximumProbability,21
gradient_glcm_Idn,32
wavelet.LLH_firstorder_Kurtosis,105
gradient_glcm_Imc2,106
original_shape_SurfaceVolumeRatio,102
gradient_firstorder_Kurtosis,19
log.sigma.2.0.mm.3D_glcm_Correlation,16
wavelet.HLH_gldm_LowGrayLevelEmphasis,14
wavelet.LLL_firstorder_10Percentile,51
lbp.3D.m2_glcm_JointAverage,21
gradient_firstorder_RobustMeanAbsoluteDeviation,12
wavelet.HHH_glszm_SmallAreaEmphasis,14
wavelet.LHH_glcm_Idmn,13
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,9
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,8
wavelet.LLH_gldm_DependenceVariance,21
lbp.3D.k_firstorder_Kurtosis,19
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,16
gradient_glcm_ClusterProminence,43
wavelet.HHL_firstorder_Skewness,7
wavelet.LLL_glcm_Idn,9
original_glcm_Imc1,5
logarithm_firstorder_Minimum,39
log.sigma.4.0.mm.3D_glszm_SmallAreaEmphasis,1
wavelet.LLH_glcm_Imc1,6
original_shape_Elongation,1
lbp.3D.k_firstorder_Range,6
wavelet.LHL_firstorder_90Percentile,4
log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,8
wavelet.LLH_firstorder_Skewness,5
wavelet.HLH_glcm_Imc1,3
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,7
original_glcm_Imc2,6
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,1
wavelet.LHH_glcm_MaximumProbability,4
logarithm_glcm_Imc1,6
log.sigma.3.0.mm.3D_glcm_Idmn,7
wavelet.HLL_glcm_Idm,2
wavelet.HLH_firstorder_Kurtosis,1
gradient_firstorder_10Percentile,2
gradient_glszm_LargeAreaEmphasis,4
logarithm_glrlm_GrayLevelNonUniformityNormalized,1
lbp.3D.m2_glcm_ClusterShade,1
wavelet.LLH_firstorder_InterquartileRange,2
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,1
lbp.3D.m1_firstorder_Skewness,1
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,3
wavelet.HHH_glcm_Imc1,1
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,1
wavelet.HLL_glszm_ZoneVariance,3
wavelet.HLH_firstorder_Energy,3
iter,250
