f,count
original_shape_Sphericity,196
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,157
log.sigma.4.0.mm.3D_firstorder_Skewness,53
log.sigma.4.0.mm.3D_glcm_ClusterShade,41
wavelet.LLH_firstorder_Skewness,26
wavelet.LHL_firstorder_Kurtosis,59
wavelet.LHL_glcm_Correlation,98
wavelet.LHL_glszm_ZoneEntropy,7
wavelet.LHH_firstorder_Mean,92
wavelet.LHH_firstorder_Median,44
wavelet.LHH_firstorder_Skewness,57
wavelet.LHH_glcm_ClusterShade,138
wavelet.HLL_glcm_SumSquares,13
wavelet.HLL_glrlm_ShortRunLowGrayLevelEmphasis,12
wavelet.HLL_glszm_LargeAreaEmphasis,117
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,112
wavelet.HLL_gldm_DependenceVariance,96
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,65
wavelet.HLH_firstorder_Mean,193
wavelet.HLH_glcm_ClusterProminence,72
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,75
wavelet.HLH_glszm_ZoneVariance,4
wavelet.HHL_firstorder_Kurtosis,149
wavelet.HHL_glcm_ClusterShade,85
wavelet.HHL_glcm_Correlation,115
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,226
wavelet.HHH_firstorder_Kurtosis,94
wavelet.HHH_firstorder_Median,224
wavelet.HHH_glcm_Imc1,32
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,102
wavelet.LLL_glrlm_LongRunLowGrayLevelEmphasis,73
lbp.3D.m2_firstorder_InterquartileRange,102
lbp.3D.k_glcm_Idmn,150
lbp.3D.k_glcm_InverseVariance,62
lbp.3D.k_gldm_LargeDependenceEmphasis,21
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,237
logarithm_glrlm_LongRunHighGrayLevelEmphasis,15
original_shape_Flatness,74
original_glcm_ClusterProminence,52
original_glrlm_ShortRunHighGrayLevelEmphasis,42
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,114
wavelet.LLH_firstorder_Median,39
wavelet.LLH_glcm_Correlation,69
wavelet.LHL_firstorder_Skewness,150
wavelet.LHL_glcm_JointAverage,16
wavelet.LHL_glcm_ClusterShade,135
wavelet.LHL_gldm_DependenceVariance,31
wavelet.LHH_gldm_DependenceNonUniformityNormalized,70
wavelet.HLH_firstorder_Kurtosis,100
wavelet.HHL_glszm_ZoneVariance,25
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,11
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,42
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,77
wavelet.HHH_gldm_DependenceVariance,130
wavelet.LLL_glszm_ZoneVariance,43
lbp.3D.m1_glcm_ClusterShade,12
lbp.3D.m2_firstorder_Maximum,51
lbp.3D.k_firstorder_Range,85
lbp.3D.k_glrlm_LowGrayLevelRunEmphasis,103
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,61
lbp.3D.k_gldm_SmallDependenceHighGrayLevelEmphasis,135
logarithm_glcm_Correlation,30
original_firstorder_10Percentile,16
wavelet.LLH_firstorder_TotalEnergy,22
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,49
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,39
wavelet.LHH_glcm_ClusterProminence,43
wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,43
wavelet.LHH_glszm_SmallAreaEmphasis,24
wavelet.LHH_gldm_DependenceVariance,64
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,126
wavelet.HLH_glcm_Idn,72
