f,count
original_shape_Sphericity,127
original_glszm_ZoneVariance,15
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,86
wavelet.LLH_glszm_LargeAreaEmphasis,46
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,36
wavelet.LHL_firstorder_Mean,96
wavelet.LHL_firstorder_Median,61
wavelet.LHL_firstorder_RobustMeanAbsoluteDeviation,35
wavelet.LHL_glrlm_GrayLevelVariance,42
wavelet.LHH_glcm_ClusterShade,90
wavelet.HLL_firstorder_Mean,108
wavelet.HLL_firstorder_Median,31
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,13
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,94
wavelet.HLH_glszm_LargeAreaEmphasis,73
wavelet.HHL_firstorder_Median,46
wavelet.HHL_firstorder_Skewness,77
wavelet.HHH_glcm_JointEnergy,91
lbp.3D.m2_firstorder_90Percentile,63
lbp.3D.m2_firstorder_Median,18
lbp.3D.k_firstorder_Kurtosis,25
lbp.3D.k_glcm_ClusterShade,227
original_shape_Flatness,112
original_glcm_Correlation,14
log.sigma.4.0.mm.3D_glcm_ClusterProminence,13
log.sigma.4.0.mm.3D_glcm_Correlation,20
wavelet.LLH_firstorder_Median,51
wavelet.LHL_glcm_Correlation,85
wavelet.HLL_glcm_MaximumProbability,58
wavelet.HLH_glcm_ClusterProminence,25
wavelet.HHL_firstorder_Kurtosis,56
wavelet.HHL_glcm_Correlation,22
gradient_firstorder_Skewness,41
gradient_glszm_SmallAreaLowGrayLevelEmphasis,3
lbp.3D.m1_glcm_ClusterShade,146
lbp.3D.m2_glcm_ClusterShade,193
logarithm_firstorder_Uniformity,65
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,8
original_firstorder_Maximum,36
wavelet.LLH_firstorder_Skewness,51
wavelet.LHL_gldm_DependenceEntropy,11
wavelet.LHH_glcm_InverseVariance,96
wavelet.HLH_firstorder_Mean,74
wavelet.HHH_firstorder_Energy,106
wavelet.HHH_firstorder_Kurtosis,21
lbp.3D.k_glcm_Idmn,14
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,42
lbp.3D.k_glszm_SmallAreaEmphasis,13
logarithm_firstorder_Minimum,28
log.sigma.2.0.mm.3D_glcm_Correlation,43
log.sigma.2.0.mm.3D_gldm_DependenceVariance,8
