f,count
original_glrlm_LongRunHighGrayLevelEmphasis,57
log.sigma.2.0.mm.3D_firstorder_90Percentile,68
log.sigma.3.0.mm.3D_firstorder_Skewness,81
log.sigma.4.0.mm.3D_firstorder_Skewness,33
log.sigma.4.0.mm.3D_glcm_MaximumProbability,65
wavelet.LLH_glcm_ClusterShade,72
wavelet.LLH_glcm_Correlation,55
wavelet.LLH_glcm_InverseVariance,37
wavelet.LHH_firstorder_90Percentile,167
wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis,31
wavelet.LHH_glszm_ZoneVariance,16
wavelet.HLL_firstorder_10Percentile,55
wavelet.HLL_firstorder_Mean,169
wavelet.HLL_glcm_ClusterTendency,103
wavelet.HLH_firstorder_Median,24
wavelet.HLH_firstorder_Skewness,79
wavelet.HLH_glcm_ClusterProminence,144
wavelet.HLH_glcm_ClusterShade,117
wavelet.HHL_firstorder_Mean,74
wavelet.HHL_glcm_ClusterProminence,57
wavelet.HHL_glcm_Contrast,116
wavelet.HHL_glcm_JointEnergy,55
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,113
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,159
wavelet.HHH_glcm_JointEnergy,116
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,66
wavelet.HHH_glszm_SmallAreaEmphasis,155
wavelet.LLL_glcm_Correlation,36
gradient_glszm_LargeAreaHighGrayLevelEmphasis,72
lbp.3D.m2_firstorder_Skewness,107
lbp.3D.m2_glcm_ClusterProminence,117
lbp.3D.m2_glcm_ClusterShade,131
lbp.3D.k_glcm_ClusterShade,64
lbp.3D.k_glcm_Idmn,45
logarithm_firstorder_Minimum,60
original_shape_Elongation,121
original_shape_Flatness,161
original_glcm_ClusterShade,130
log.sigma.3.0.mm.3D_glrlm_LongRunEmphasis,31
wavelet.LLH_firstorder_90Percentile,28
wavelet.LLH_firstorder_Median,102
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,68
wavelet.LHL_firstorder_Mean,126
wavelet.LHL_firstorder_Median,120
wavelet.LHL_glcm_MaximumProbability,103
wavelet.LHH_gldm_LowGrayLevelEmphasis,45
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,8
wavelet.HLH_firstorder_Kurtosis,39
gradient_firstorder_10Percentile,37
lbp.3D.m1_glcm_ClusterShade,154
lbp.3D.m2_firstorder_90Percentile,109
lbp.3D.m2_firstorder_RootMeanSquared,175
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,73
logarithm_firstorder_Uniformity,81
logarithm_glszm_LargeAreaEmphasis,12
log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,58
wavelet.LLH_firstorder_RootMeanSquared,59
wavelet.LLH_glcm_Autocorrelation,81
wavelet.LHL_firstorder_90Percentile,38
wavelet.LHL_firstorder_Uniformity,43
wavelet.LHH_glcm_InverseVariance,139
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,108
wavelet.HLL_firstorder_90Percentile,59
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,73
wavelet.HLH_glszm_ZoneVariance,35
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,57
wavelet.HHL_glrlm_LongRunHighGrayLevelEmphasis,24
wavelet.HHH_gldm_DependenceNonUniformity,35
gradient_glcm_Idmn,4
original_glcm_Imc1,71
log.sigma.2.0.mm.3D_glcm_Correlation,20
log.sigma.2.0.mm.3D_glcm_JointEnergy,22
log.sigma.4.0.mm.3D_firstorder_90Percentile,93
log.sigma.4.0.mm.3D_glrlm_GrayLevelNonUniformityNormalized,48
wavelet.LLH_glcm_Imc1,65
wavelet.LHL_glcm_Correlation,24
wavelet.LHH_glszm_SmallAreaEmphasis,6
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,66
wavelet.HLL_glcm_InverseVariance,41
wavelet.HLH_glcm_JointEnergy,85
wavelet.LLL_firstorder_10Percentile,60
wavelet.LLL_glcm_Imc2,128
logarithm_glrlm_ShortRunLowGrayLevelEmphasis,34
original_gldm_LowGrayLevelEmphasis,54
log.sigma.2.0.mm.3D_firstorder_Median,50
log.sigma.2.0.mm.3D_firstorder_Skewness,25
wavelet.LLH_firstorder_Mean,117
wavelet.LLH_glcm_Imc2,24
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,18
wavelet.LHH_glcm_ClusterShade,9
lbp.3D.m1_firstorder_Skewness,82
lbp.3D.k_firstorder_10Percentile,8
logarithm_glcm_Imc1,60
logarithm_glcm_Imc2,68
original_firstorder_Maximum,82
log.sigma.2.0.mm.3D_glcm_ClusterShade,23
log.sigma.3.0.mm.3D_firstorder_RobustMeanAbsoluteDeviation,43
log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,15
wavelet.LHH_firstorder_Median,61
wavelet.HLL_glcm_Imc2,61
wavelet.HLH_firstorder_Energy,5
wavelet.HLH_firstorder_Mean,44
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,27
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,11
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,83
lbp.3D.m1_glcm_JointAverage,75
logarithm_gldm_DependenceVariance,25
wavelet.LHL_glrlm_GrayLevelVariance,45
wavelet.HHL_glszm_SmallAreaEmphasis,5
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,4
lbp.3D.k_firstorder_Range,9
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,18
log.sigma.4.0.mm.3D_glrlm_ShortRunEmphasis,44
wavelet.LHL_firstorder_Skewness,5
lbp.3D.k_glcm_Correlation,8
original_glcm_JointEnergy,64
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,57
