f,count
original_shape_Elongation,53
original_shape_Flatness,69
wavelet.LLH_firstorder_Skewness,15
wavelet.HLL_firstorder_Skewness,35
wavelet.HHH_glcm_ClusterShade,126
wavelet.HHH_firstorder_Mean,84
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,12
wavelet.HLH_firstorder_Median,38
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,12
original_shape_Sphericity,24
wavelet.HHL_firstorder_Skewness,9
wavelet.LLL_glrlm_LowGrayLevelRunEmphasis,4
wavelet.LHH_firstorder_Median,16
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,34
wavelet.LHH_firstorder_Skewness,7
lbp.3D.m2_firstorder_90Percentile,1
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,3
wavelet.HHH_firstorder_Skewness,13
wavelet.HHL_glcm_ClusterShade,3
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HHL_firstorder_Median,14
wavelet.HHH_firstorder_Kurtosis,8
lbp.3D.k_firstorder_Kurtosis,6
lbp.3D.k_glcm_InverseVariance,3
lbp.3D.k_firstorder_Maximum,3
wavelet.LHH_firstorder_Mean,8
wavelet.HLH_glcm_ClusterProminence,3
wavelet.HLH_glcm_ClusterShade,6
log.sigma.3.0.mm.3D_glcm_ClusterShade,1
gradient_glcm_Imc2,2
wavelet.LHL_gldm_DependenceEntropy,1
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,1
logarithm_glszm_SizeZoneNonUniformityNormalized,2
wavelet.HHL_firstorder_Mean,1
iter,250
