f,count
original_shape_Flatness,250
original_shape_MajorAxisLength,178
original_shape_Sphericity,250
original_firstorder_Maximum,224
original_glcm_ClusterProminence,206
original_gldm_LargeDependenceLowGrayLevelEmphasis,231
log.sigma.2.0.mm.3D_firstorder_90Percentile,218
log.sigma.2.0.mm.3D_firstorder_Skewness,231
log.sigma.2.0.mm.3D_glcm_Correlation,235
log.sigma.2.0.mm.3D_glcm_Imc1,179
log.sigma.3.0.mm.3D_firstorder_90Percentile,236
log.sigma.3.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,79
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,192
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,250
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,239
wavelet.LLH_firstorder_Kurtosis,191
wavelet.LLH_firstorder_Mean,244
wavelet.LLH_firstorder_Median,250
wavelet.LLH_firstorder_Skewness,250
wavelet.LLH_glcm_Correlation,250
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,150
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,222
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,191
wavelet.LHL_firstorder_Kurtosis,190
wavelet.LHL_firstorder_Mean,246
wavelet.LHL_firstorder_Median,246
wavelet.LHL_firstorder_Skewness,237
wavelet.LHL_glcm_ClusterTendency,232
wavelet.LHL_glcm_Correlation,250
wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized,33
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,90
wavelet.LHL_gldm_LowGrayLevelEmphasis,221
wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis,235
wavelet.LHH_firstorder_Energy,163
wavelet.LHH_firstorder_MeanAbsoluteDeviation,202
wavelet.LHH_firstorder_Median,220
wavelet.LHH_firstorder_Skewness,250
wavelet.LHH_glcm_ClusterShade,249
wavelet.LHH_glcm_Correlation,248
wavelet.LHH_glcm_Imc2,144
wavelet.LHH_glcm_InverseVariance,249
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,218
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,184
wavelet.LHH_gldm_DependenceNonUniformityNormalized,218
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,198
wavelet.HLL_firstorder_10Percentile,237
wavelet.HLL_firstorder_Kurtosis,243
wavelet.HLL_firstorder_Mean,250
wavelet.HLL_firstorder_Median,231
wavelet.HLL_glcm_Correlation,240
wavelet.HLL_glcm_Idmn,124
wavelet.HLL_glcm_MaximumProbability,250
wavelet.HLL_glcm_SumSquares,197
wavelet.HLL_glszm_LargeAreaEmphasis,249
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,113
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,247
wavelet.HLH_firstorder_Mean,247
wavelet.HLH_firstorder_Skewness,250
wavelet.HLH_glcm_ClusterProminence,249
wavelet.HLH_glcm_Correlation,179
wavelet.HLH_glcm_JointEnergy,249
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,221
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,247
wavelet.HLH_glszm_LargeAreaEmphasis,242
wavelet.HLH_glszm_SmallAreaEmphasis,162
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,246
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,199
wavelet.HHL_firstorder_Kurtosis,222
wavelet.HHL_firstorder_Mean,243
wavelet.HHL_firstorder_Median,248
wavelet.HHL_firstorder_Skewness,250
wavelet.HHL_glcm_ClusterProminence,234
wavelet.HHL_glcm_ClusterShade,250
wavelet.HHL_glcm_Correlation,231
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,154
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,250
wavelet.HHL_glszm_SmallAreaEmphasis,250
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,224
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,174
wavelet.HHH_firstorder_Energy,250
wavelet.HHH_firstorder_Kurtosis,243
wavelet.HHH_firstorder_Mean,250
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_ClusterTendency,250
wavelet.HHH_glcm_Correlation,176
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glcm_Imc1,248
wavelet.HHH_glszm_SmallAreaEmphasis,250
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,236
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,220
wavelet.LLL_firstorder_10Percentile,250
wavelet.LLL_glcm_Imc2,244
wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis,200
gradient_firstorder_Skewness,231
gradient_glcm_ClusterProminence,144
gradient_glcm_Idmn,108
gradient_glszm_SizeZoneNonUniformityNormalized,237
gradient_glszm_SmallAreaLowGrayLevelEmphasis,95
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,122
lbp.3D.m1_firstorder_Skewness,247
lbp.3D.m1_glcm_Autocorrelation,246
lbp.3D.m1_glcm_ClusterShade,250
lbp.3D.m2_firstorder_90Percentile,249
lbp.3D.m2_firstorder_InterquartileRange,250
lbp.3D.m2_firstorder_Maximum,247
lbp.3D.m2_firstorder_Median,250
lbp.3D.m2_firstorder_Range,250
lbp.3D.m2_glcm_ClusterShade,250
lbp.3D.m2_glcm_Imc2,215
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,250
lbp.3D.k_firstorder_10Percentile,250
lbp.3D.k_firstorder_Kurtosis,250
lbp.3D.k_firstorder_Maximum,250
lbp.3D.k_firstorder_Minimum,220
lbp.3D.k_glcm_ClusterShade,250
lbp.3D.k_glcm_Correlation,215
lbp.3D.k_glcm_Idmn,249
lbp.3D.k_glrlm_GrayLevelVariance,245
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,145
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,250
lbp.3D.k_glszm_SmallAreaEmphasis,250
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,248
logarithm_firstorder_Minimum,207
logarithm_glcm_JointEnergy,248
logarithm_glcm_Imc2,249
logarithm_glszm_LargeAreaEmphasis,141
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,250
logarithm_glszm_SizeZoneNonUniformityNormalized,92
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,114
logarithm_gldm_DependenceVariance,246
original_glcm_Correlation,78
original_glcm_Imc1,190
log.sigma.2.0.mm.3D_firstorder_Kurtosis,175
log.sigma.3.0.mm.3D_firstorder_Mean,62
log.sigma.4.0.mm.3D_glcm_ClusterProminence,207
log.sigma.4.0.mm.3D_glcm_Imc2,36
log.sigma.4.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,106
wavelet.LLH_firstorder_InterquartileRange,46
wavelet.LLH_glszm_SmallAreaEmphasis,99
wavelet.LLH_gldm_GrayLevelNonUniformity,5
wavelet.LHL_glcm_Idmn,55
wavelet.LHL_gldm_DependenceEntropy,73
wavelet.LHH_firstorder_Kurtosis,234
wavelet.LHH_glszm_GrayLevelVariance,86
wavelet.LHH_glszm_SmallAreaEmphasis,243
wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis,216
wavelet.HLH_firstorder_Kurtosis,190
wavelet.HLH_firstorder_Median,233
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,207
wavelet.HHL_glcm_Imc1,133
wavelet.HHL_glcm_Idmn,92
wavelet.HHL_glszm_ZoneVariance,198
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,187
lbp.3D.m2_gldm_DependenceVariance,74
log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized,89
log.sigma.2.0.mm.3D_gldm_DependenceVariance,97
log.sigma.4.0.mm.3D_glcm_Correlation,186
wavelet.LLH_glcm_Imc2,101
wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis,94
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,115
wavelet.LLH_gldm_DependenceEntropy,42
wavelet.LHL_firstorder_Maximum,35
wavelet.LHH_gldm_LowGrayLevelEmphasis,120
log.sigma.4.0.mm.3D_firstorder_Skewness,24
log.sigma.4.0.mm.3D_glcm_JointEntropy,103
wavelet.LLH_glszm_GrayLevelVariance,92
lbp.3D.k_gldm_DependenceEntropy,27
logarithm_glszm_GrayLevelNonUniformity,64
wavelet.LHL_glszm_LargeAreaEmphasis,109
wavelet.HLH_glcm_Idmn,85
log.sigma.4.0.mm.3D_glszm_HighGrayLevelZoneEmphasis,108
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,21
wavelet.HLL_gldm_DependenceEntropy,20
log.sigma.4.0.mm.3D_glszm_GrayLevelNonUniformityNormalized,58
gradient_glcm_Imc1,60
log.sigma.3.0.mm.3D_glcm_MaximumProbability,7
wavelet.LLH_glrlm_RunVariance,22
gradient_firstorder_Minimum,42
wavelet.HLH_glcm_Imc1,16
original_glrlm_ShortRunLowGrayLevelEmphasis,9
wavelet.LLL_glcm_Idmn,2
lbp.3D.m1_glcm_MaximumProbability,2
iter,250
