f,count
wavelet.HHH_glcm_ClusterShade,180
wavelet.HHL_firstorder_Mean,46
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,30
original_firstorder_10Percentile,9
original_glszm_LargeAreaLowGrayLevelEmphasis,66
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,56
logarithm_firstorder_RootMeanSquared,50
original_shape_SurfaceVolumeRatio,15
wavelet.HHH_firstorder_Mean,16
lbp.3D.m2_firstorder_RootMeanSquared,1
wavelet.HLH_glcm_ClusterShade,1
wavelet.LLH_firstorder_InterquartileRange,1
wavelet.HHH_firstorder_Skewness,20
lbp.3D.m2_firstorder_90Percentile,12
wavelet.LHL_glszm_GrayLevelVariance,1
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,2
wavelet.HHH_firstorder_Kurtosis,4
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,2
wavelet.HHL_glcm_ClusterShade,12
wavelet.HLL_firstorder_Mean,3
lbp.3D.m1_glcm_Correlation,3
lbp.3D.m2_glrlm_GrayLevelVariance,5
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,3
log.sigma.4.0.mm.3D_firstorder_10Percentile,1
log.sigma.2.0.mm.3D_firstorder_Kurtosis,3
wavelet.HLH_glcm_Correlation,4
iter,250
