f,count
wavelet.HHL_glcm_Correlation,29
wavelet.HHH_firstorder_Median,154
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,19
original_shape_Flatness,9
wavelet.HHH_glcm_ClusterShade,74
original_glszm_LargeAreaLowGrayLevelEmphasis,21
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,7
wavelet.HHH_firstorder_Skewness,6
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,6
lbp.3D.k_firstorder_10Percentile,1
original_shape_SurfaceVolumeRatio,1
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HHL_glcm_ClusterShade,1
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,1
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,1
lbp.3D.k_firstorder_Range,1
wavelet.LHH_firstorder_Mean,1
wavelet.HHH_firstorder_Kurtosis,1
iter,250
