f,count
original_shape_Flatness,248
original_glcm_Imc2,132
original_glszm_LargeAreaLowGrayLevelEmphasis,227
log.sigma.2.0.mm.3D_glcm_Imc2,60
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,101
log.sigma.4.0.mm.3D_glcm_ClusterShade,133
wavelet.LLH_firstorder_Mean,51
wavelet.LLH_glcm_ClusterProminence,187
wavelet.LLH_glcm_Correlation,243
wavelet.LLH_glszm_LargeAreaEmphasis,114
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,63
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,163
wavelet.LHL_firstorder_Skewness,147
wavelet.LHL_glcm_ClusterProminence,238
wavelet.LHL_glcm_Correlation,201
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,184
wavelet.LHL_glszm_GrayLevelVariance,241
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,211
wavelet.LHL_glszm_ZoneVariance,110
wavelet.LHH_firstorder_Mean,197
wavelet.LHH_firstorder_Median,97
wavelet.LHH_firstorder_Skewness,216
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,213
wavelet.LHH_glszm_SmallAreaEmphasis,70
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,50
wavelet.LHH_gldm_GrayLevelVariance,46
wavelet.HLL_firstorder_Maximum,34
wavelet.HLL_firstorder_Mean,175
wavelet.HLL_firstorder_Median,146
wavelet.HLL_glcm_Correlation,125
wavelet.HLL_glcm_Idmn,96
wavelet.HLL_gldm_DependenceVariance,31
wavelet.HLH_firstorder_Mean,83
wavelet.HLH_firstorder_Median,224
wavelet.HLH_firstorder_Skewness,182
wavelet.HLH_glcm_ClusterShade,220
wavelet.HLH_glcm_DifferenceVariance,45
wavelet.HLH_glcm_Idmn,123
wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,73
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,208
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,120
wavelet.HHL_firstorder_Median,159
wavelet.HHL_firstorder_Skewness,78
wavelet.HHL_glcm_Correlation,141
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,138
wavelet.HHH_firstorder_Kurtosis,192
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,244
wavelet.HHH_glcm_ClusterShade,243
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,116
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,173
wavelet.HHH_glszm_SizeZoneNonUniformityNormalized,93
wavelet.HHH_gldm_DependenceVariance,31
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,34
gradient_glrlm_LongRunLowGrayLevelEmphasis,108
lbp.3D.m1_firstorder_Skewness,131
lbp.3D.m1_glcm_ClusterShade,158
lbp.3D.m1_glcm_JointEnergy,139
lbp.3D.m1_glszm_SmallAreaLowGrayLevelEmphasis,153
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,87
lbp.3D.m2_firstorder_90Percentile,210
lbp.3D.m2_firstorder_Maximum,219
lbp.3D.m2_firstorder_RootMeanSquared,225
lbp.3D.m2_firstorder_Uniformity,23
lbp.3D.m2_glcm_ClusterShade,143
lbp.3D.m2_glrlm_GrayLevelVariance,182
lbp.3D.k_firstorder_Range,176
lbp.3D.k_glcm_Idmn,96
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,42
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,120
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,138
lbp.3D.k_gldm_DependenceVariance,45
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,195
logarithm_firstorder_RootMeanSquared,187
logarithm_glszm_GrayLevelNonUniformityNormalized,10
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,37
original_shape_SurfaceVolumeRatio,158
original_firstorder_Skewness,11
log.sigma.2.0.mm.3D_glcm_ClusterShade,96
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,54
log.sigma.4.0.mm.3D_firstorder_10Percentile,24
wavelet.LLH_firstorder_10Percentile,26
wavelet.LHL_firstorder_Kurtosis,93
wavelet.LHL_firstorder_Maximum,76
wavelet.LHL_glcm_Idmn,45
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,100
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,49
wavelet.LHH_firstorder_Kurtosis,86
wavelet.LHH_glcm_ClusterProminence,107
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,199
wavelet.HLL_firstorder_Kurtosis,168
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,98
wavelet.HLH_firstorder_Kurtosis,81
wavelet.HHL_firstorder_Kurtosis,157
wavelet.HHL_firstorder_Mean,126
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,127
wavelet.HHL_gldm_SmallDependenceLowGrayLevelEmphasis,77
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,129
lbp.3D.m1_firstorder_Kurtosis,48
lbp.3D.m1_glcm_Correlation,116
lbp.3D.m1_glszm_ZoneVariance,66
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,151
lbp.3D.k_firstorder_10Percentile,155
lbp.3D.k_firstorder_Minimum,25
log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,19
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,112
wavelet.LHL_firstorder_10Percentile,51
wavelet.LHL_firstorder_TotalEnergy,34
wavelet.LHH_glcm_Correlation,119
wavelet.LHH_glcm_Imc1,59
wavelet.HLL_glcm_ClusterShade,90
wavelet.HLH_glcm_Imc1,6
wavelet.HLH_gldm_LargeDependenceHighGrayLevelEmphasis,51
wavelet.HHL_glcm_ClusterShade,151
wavelet.HHH_firstorder_Mean,115
gradient_firstorder_Minimum,106
gradient_glszm_LargeAreaHighGrayLevelEmphasis,19
gradient_glszm_SmallAreaEmphasis,15
lbp.3D.m1_firstorder_Maximum,94
lbp.3D.m1_glcm_Imc2,62
lbp.3D.m1_glszm_ZoneEntropy,58
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,76
lbp.3D.k_firstorder_Skewness,41
logarithm_glcm_DifferenceVariance,99
logarithm_gldm_GrayLevelVariance,154
original_firstorder_10Percentile,151
original_glcm_ClusterTendency,94
wavelet.LLH_firstorder_90Percentile,39
wavelet.LLH_glcm_JointEnergy,118
wavelet.LLH_glcm_Idn,57
wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis,46
wavelet.LHH_glcm_Idmn,89
wavelet.HLL_firstorder_TotalEnergy,37
wavelet.HLL_glcm_Imc2,39
wavelet.HHL_firstorder_Maximum,18
wavelet.HHL_glcm_ClusterProminence,108
wavelet.HHL_glcm_Idmn,17
wavelet.HHH_glcm_Correlation,100
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,35
wavelet.LLL_firstorder_Kurtosis,33
gradient_firstorder_Skewness,123
gradient_gldm_DependenceVariance,99
lbp.3D.m2_gldm_LargeDependenceEmphasis,65
logarithm_firstorder_InterquartileRange,25
original_glrlm_ShortRunLowGrayLevelEmphasis,53
log.sigma.2.0.mm.3D_firstorder_Kurtosis,102
wavelet.HLL_firstorder_90Percentile,65
wavelet.HLL_firstorder_Skewness,67
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,116
lbp.3D.m2_glcm_Imc2,44
logarithm_glcm_Imc2,26
original_firstorder_Minimum,41
original_glcm_MaximumProbability,13
wavelet.HLH_glcm_Correlation,130
wavelet.HLH_glszm_ZoneVariance,40
gradient_glcm_Correlation,70
gradient_glcm_Imc2,52
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,60
wavelet.LLH_firstorder_InterquartileRange,42
wavelet.LHL_firstorder_90Percentile,24
wavelet.LHL_glszm_ZoneEntropy,46
wavelet.HLL_glcm_DifferenceVariance,15
wavelet.HLL_glcm_JointEnergy,65
wavelet.HHL_firstorder_TotalEnergy,25
lbp.3D.k_glcm_Correlation,53
logarithm_glszm_LargeAreaEmphasis,31
original_glszm_SmallAreaLowGrayLevelEmphasis,15
log.sigma.3.0.mm.3D_glszm_LargeAreaEmphasis,34
wavelet.LLH_firstorder_Skewness,67
wavelet.LLH_firstorder_TotalEnergy,53
wavelet.LHH_firstorder_TotalEnergy,28
wavelet.HLH_glszm_GrayLevelNonUniformity,5
lbp.3D.m1_firstorder_90Percentile,16
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,28
lbp.3D.m2_firstorder_Kurtosis,21
lbp.3D.k_firstorder_Median,9
log.sigma.2.0.mm.3D_glcm_Correlation,63
log.sigma.2.0.mm.3D_glcm_DifferenceVariance,65
wavelet.LLH_firstorder_Kurtosis,89
wavelet.HLL_firstorder_InterquartileRange,23
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,72
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,16
wavelet.LHH_glszm_LargeAreaEmphasis,53
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,21
log.sigma.2.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis,59
wavelet.LLH_firstorder_Median,43
wavelet.LLL_glszm_ZoneVariance,6
gradient_glcm_ClusterProminence,38
log.sigma.2.0.mm.3D_glcm_Imc1,11
wavelet.LHH_firstorder_Minimum,14
wavelet.HHL_glcm_Imc1,9
wavelet.HHH_glcm_Idn,19
lbp.3D.k_glcm_InverseVariance,39
log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,14
wavelet.HHH_glcm_Imc1,5
lbp.3D.k_glrlm_RunVariance,11
wavelet.LLL_glcm_Idmn,12
log.sigma.2.0.mm.3D_firstorder_90Percentile,20
wavelet.HLH_glcm_InverseVariance,22
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,15
lbp.3D.k_glcm_Imc1,39
wavelet.HLH_glcm_MaximumProbability,28
wavelet.LLL_glrlm_ShortRunLowGrayLevelEmphasis,26
gradient_glcm_Idmn,38
wavelet.HLL_glcm_JointAverage,18
logarithm_glcm_Correlation,15
lbp.3D.k_glcm_ClusterShade,33
wavelet.HLL_glcm_ClusterTendency,23
gradient_firstorder_10Percentile,9
lbp.3D.m1_firstorder_RootMeanSquared,5
log.sigma.2.0.mm.3D_glcm_Idn,10
log.sigma.4.0.mm.3D_glcm_MaximumProbability,19
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,31
gradient_glszm_LargeAreaEmphasis,19
wavelet.HHL_glcm_JointEnergy,18
wavelet.LLH_glcm_Imc1,8
