f,count
original_shape_SurfaceVolumeRatio,235
original_glszm_LargeAreaLowGrayLevelEmphasis,177
log.sigma.2.0.mm.3D_firstorder_Kurtosis,51
log.sigma.2.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,122
log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,96
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,235
wavelet.LLH_firstorder_Kurtosis,189
wavelet.LLH_glcm_Idmn,250
wavelet.LHH_glcm_ClusterShade,97
wavelet.LHH_glcm_MaximumProbability,162
wavelet.HHL_firstorder_Skewness,248
wavelet.HHL_glcm_ClusterShade,17
wavelet.LLL_firstorder_10Percentile,250
gradient_firstorder_Kurtosis,185
gradient_glcm_Imc2,216
gradient_glcm_Idn,224
logarithm_firstorder_Minimum,243
wavelet.LLH_glcm_Correlation,27
wavelet.LLH_glcm_JointEnergy,108
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,42
original_shape_Elongation,112
wavelet.HHL_firstorder_Median,125
lbp.3D.m2_glcm_ClusterShade,166
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,82
original_shape_Sphericity,19
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,25
logarithm_glszm_SmallAreaLowGrayLevelEmphasis,66
original_glcm_Imc1,13
wavelet.HLL_glszm_ZoneVariance,7
wavelet.HHH_glcm_Imc1,15
lbp.3D.m2_firstorder_90Percentile,31
log.sigma.4.0.mm.3D_firstorder_10Percentile,8
log.sigma.4.0.mm.3D_firstorder_Kurtosis,4
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,17
wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis,26
gradient_firstorder_Minimum,28
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,24
lbp.3D.m2_glcm_Imc2,20
logarithm_glcm_Imc1,47
log.sigma.2.0.mm.3D_glcm_ClusterShade,30
wavelet.LHH_glszm_SmallAreaEmphasis,14
lbp.3D.m1_firstorder_Skewness,6
lbp.3D.m1_glszm_ZoneVariance,6
lbp.3D.k_glcm_Correlation,15
logarithm_glcm_ClusterProminence,12
wavelet.LHH_glcm_Correlation,3
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,12
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,44
gradient_firstorder_10Percentile,3
lbp.3D.m2_firstorder_Maximum,9
original_gldm_SmallDependenceLowGrayLevelEmphasis,5
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,4
wavelet.HLH_glcm_Imc1,2
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,3
log.sigma.2.0.mm.3D_glcm_Correlation,3
lbp.3D.m2_firstorder_Range,1
wavelet.LLH_firstorder_Skewness,4
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,5
wavelet.LHL_firstorder_90Percentile,3
log.sigma.2.0.mm.3D_firstorder_90Percentile,1
wavelet.LHL_glcm_Correlation,15
wavelet.LLH_glcm_Imc1,2
wavelet.HHH_firstorder_Skewness,9
logarithm_glcm_DifferenceVariance,6
logarithm_glszm_LargeAreaEmphasis,1
wavelet.HLH_glcm_Idm,1
wavelet.HLL_glcm_ClusterProminence,4
gradient_glszm_GrayLevelNonUniformityNormalized,6
wavelet.LHL_firstorder_Median,1
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,1
original_shape_Flatness,1
original_shape_SurfaceArea,1
wavelet.HHL_glcm_ClusterProminence,1
wavelet.HHL_glcm_JointEnergy,1
wavelet.LHH_glcm_InverseVariance,1
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,1
lbp.3D.m2_firstorder_Skewness,2
gradient_firstorder_RobustMeanAbsoluteDeviation,1
lbp.3D.m2_glcm_ClusterProminence,1
iter,250
