f,count
original_shape_Elongation,43
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,4
lbp.3D.m1_glcm_ClusterShade,17
lbp.3D.k_firstorder_Range,16
lbp.3D.k_glcm_ClusterProminence,6
wavelet.HHL_glcm_ClusterShade,15
original_shape_Flatness,9
wavelet.HLL_firstorder_Mean,1
wavelet.HHH_firstorder_Skewness,3
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,5
wavelet.HHH_glszm_SmallAreaEmphasis,1
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HHH_firstorder_Median,2
wavelet.LHH_glcm_ClusterShade,1
iter,250
