f,count
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,97
log.sigma.4.0.mm.3D_glszm_LowGrayLevelZoneEmphasis,6
logarithm_glcm_Imc1,12
wavelet.LHL_glcm_DifferenceVariance,19
wavelet.HLL_firstorder_10Percentile,13
gradient_glcm_Correlation,7
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,24
wavelet.LLH_glcm_JointEnergy,1
wavelet.HLL_firstorder_Median,6
wavelet.HHL_firstorder_Median,1
gradient_glcm_Imc2,5
lbp.3D.m2_firstorder_Maximum,13
wavelet.LLL_firstorder_10Percentile,9
logarithm_firstorder_Minimum,6
wavelet.HLL_glcm_DifferenceVariance,4
original_glcm_Idmn,1
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,2
iter,250
