f,count
original_shape_Elongation,172
original_shape_Flatness,145
original_firstorder_Kurtosis,92
original_glszm_LargeAreaEmphasis,36
original_glszm_LargeAreaLowGrayLevelEmphasis,207
original_glszm_SmallAreaLowGrayLevelEmphasis,102
log.sigma.2.0.mm.3D_firstorder_Kurtosis,78
log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,19
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,163
log.sigma.4.0.mm.3D_firstorder_Kurtosis,175
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,46
wavelet.LLH_firstorder_Skewness,64
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,87
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,115
wavelet.LHL_firstorder_90Percentile,82
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,190
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,37
wavelet.LHH_firstorder_Skewness,125
wavelet.LHH_glcm_ClusterShade,221
wavelet.LHH_glcm_Imc1,56
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,111
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,216
wavelet.HLL_glcm_Correlation,161
wavelet.HLL_glszm_LargeAreaEmphasis,191
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,204
wavelet.HLL_gldm_LowGrayLevelEmphasis,199
wavelet.HLH_firstorder_Kurtosis,141
wavelet.HLH_firstorder_Skewness,203
wavelet.HLH_glcm_Imc1,61
wavelet.HHL_firstorder_Median,131
wavelet.HHL_firstorder_Skewness,220
wavelet.HHL_glcm_ClusterProminence,89
wavelet.HHL_glcm_Imc1,61
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,168
wavelet.HHL_glszm_LowGrayLevelZoneEmphasis,58
wavelet.HHH_firstorder_Median,243
wavelet.HHH_firstorder_Skewness,217
wavelet.HHH_glcm_ClusterShade,237
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,119
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,81
wavelet.HHH_glszm_SmallAreaEmphasis,186
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,162
wavelet.HHH_gldm_SmallDependenceLowGrayLevelEmphasis,123
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,92
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,79
lbp.3D.m2_firstorder_InterquartileRange,202
lbp.3D.m2_firstorder_Kurtosis,227
lbp.3D.m2_firstorder_Maximum,243
lbp.3D.m2_firstorder_Skewness,238
lbp.3D.m2_glcm_Imc2,62
lbp.3D.m2_gldm_GrayLevelVariance,99
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,152
lbp.3D.k_glcm_Correlation,81
lbp.3D.k_glszm_GrayLevelVariance,173
lbp.3D.k_glszm_SmallAreaEmphasis,240
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,48
logarithm_glcm_Correlation,53
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,35
original_firstorder_10Percentile,68
original_glrlm_ShortRunLowGrayLevelEmphasis,106
log.sigma.3.0.mm.3D_glcm_Correlation,49
log.sigma.3.0.mm.3D_gldm_DependenceVariance,74
wavelet.LLH_glcm_Correlation,42
wavelet.LLH_glszm_SmallAreaEmphasis,24
wavelet.LHL_glcm_Correlation,81
wavelet.LHL_glcm_SumSquares,62
wavelet.LHL_gldm_DependenceEntropy,63
wavelet.LHH_firstorder_Median,184
wavelet.LHH_glcm_Correlation,113
wavelet.HLL_firstorder_Median,10
wavelet.HLH_glcm_ClusterShade,201
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,186
wavelet.HHL_gldm_DependenceVariance,88
wavelet.HHH_firstorder_Energy,197
wavelet.HHH_firstorder_Mean,91
wavelet.HHH_glcm_Correlation,101
wavelet.LLL_glcm_Imc2,32
gradient_glcm_Idmn,8
lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis,152
lbp.3D.k_firstorder_10Percentile,203
lbp.3D.k_firstorder_Range,218
lbp.3D.k_glcm_Idn,127
lbp.3D.k_glrlm_ShortRunLowGrayLevelEmphasis,144
