f,count
original_shape_Flatness,61
log.sigma.2.0.mm.3D_glcm_Correlation,41
log.sigma.2.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,6
wavelet.LLH_firstorder_Median,21
wavelet.LHH_gldm_DependenceEntropy,39
wavelet.HLL_firstorder_Skewness,195
wavelet.HLL_glcm_MaximumProbability,8
wavelet.HLH_firstorder_Median,44
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,74
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,225
wavelet.HHL_glszm_ZoneVariance,52
wavelet.HHH_firstorder_Kurtosis,50
wavelet.HHH_firstorder_Skewness,45
wavelet.HHH_glcm_Correlation,53
gradient_glcm_Imc2,201
gradient_glszm_LargeAreaLowGrayLevelEmphasis,40
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,10
gradient_gldm_LargeDependenceLowGrayLevelEmphasis,8
lbp.3D.m2_firstorder_Kurtosis,63
lbp.3D.m2_firstorder_MeanAbsoluteDeviation,29
lbp.3D.k_glcm_InverseVariance,119
logarithm_glcm_Imc2,16
log.sigma.2.0.mm.3D_firstorder_Kurtosis,13
wavelet.LLH_firstorder_Skewness,135
wavelet.LHH_glcm_Correlation,11
wavelet.LHH_glcm_Imc1,59
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,115
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,98
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,21
wavelet.HHL_firstorder_Maximum,8
wavelet.HHL_glcm_ClusterProminence,19
wavelet.HHL_glcm_Correlation,9
wavelet.HHH_glcm_ClusterShade,161
wavelet.HHH_gldm_DependenceNonUniformityNormalized,43
lbp.3D.m2_glcm_ClusterShade,69
lbp.3D.k_glcm_SumSquares,177
lbp.3D.k_glrlm_RunEntropy,222
logarithm_glrlm_LongRunLowGrayLevelEmphasis,126
log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,5
wavelet.LLH_gldm_DependenceEntropy,61
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,13
wavelet.LHH_firstorder_Skewness,19
wavelet.HLH_glszm_ZoneEntropy,67
wavelet.HLH_glszm_ZoneVariance,28
wavelet.HHL_firstorder_Kurtosis,21
wavelet.HHL_glcm_Imc2,24
wavelet.HHL_glszm_ZoneEntropy,18
lbp.3D.m2_gldm_HighGrayLevelEmphasis,44
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,43
lbp.3D.k_glcm_ClusterProminence,25
lbp.3D.k_glcm_Correlation,32
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,138
log.sigma.3.0.mm.3D_firstorder_Skewness,18
wavelet.LLH_glcm_Correlation,129
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,13
wavelet.LHL_gldm_DependenceEntropy,26
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,103
wavelet.LHH_glszm_ZoneVariance,12
wavelet.HLH_glcm_ClusterShade,10
wavelet.HHL_firstorder_Mean,14
wavelet.HHL_glrlm_HighGrayLevelRunEmphasis,9
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,4
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,14
lbp.3D.m2_gldm_DependenceVariance,40
wavelet.LLH_glszm_GrayLevelNonUniformityNormalized,9
wavelet.LHL_firstorder_Skewness,15
wavelet.HLH_glcm_Imc2,68
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,19
wavelet.HHH_firstorder_Mean,13
logarithm_glcm_Idmn,7
original_gldm_LargeDependenceHighGrayLevelEmphasis,51
log.sigma.3.0.mm.3D_glcm_ClusterShade,22
wavelet.HHL_glcm_ClusterShade,34
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,34
wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis,34
wavelet.LLL_glszm_ZoneVariance,21
lbp.3D.k_glrlm_LongRunEmphasis,22
logarithm_glcm_Correlation,24
original_shape_Elongation,34
log.sigma.4.0.mm.3D_gldm_LowGrayLevelEmphasis,4
gradient_firstorder_InterquartileRange,6
logarithm_glrlm_LongRunHighGrayLevelEmphasis,17
log.sigma.2.0.mm.3D_firstorder_90Percentile,27
wavelet.LHH_glszm_ZoneEntropy,16
wavelet.HHL_gldm_DependenceVariance,70
wavelet.LLL_firstorder_Minimum,18
gradient_glcm_Idmn,10
logarithm_gldm_GrayLevelVariance,40
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,35
log.sigma.3.0.mm.3D_gldm_DependenceVariance,9
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,29
wavelet.HLL_glcm_Correlation,40
wavelet.HLL_glcm_Imc1,25
wavelet.HLL_glszm_ZoneEntropy,18
lbp.3D.k_glcm_Idn,5
logarithm_glszm_GrayLevelNonUniformityNormalized,14
original_shape_Sphericity,25
wavelet.LLH_glcm_DifferenceAverage,14
wavelet.HLL_glszm_GrayLevelVariance,18
wavelet.HLH_firstorder_Kurtosis,32
gradient_firstorder_Kurtosis,30
wavelet.HHL_firstorder_Skewness,36
log.sigma.4.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,15
wavelet.LHL_firstorder_90Percentile,14
wavelet.HHL_glszm_SmallAreaEmphasis,5
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,17
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,77
wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis,15
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,23
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,16
lbp.3D.m1_firstorder_Median,6
logarithm_glcm_MaximumProbability,30
wavelet.LHL_firstorder_TotalEnergy,13
wavelet.HLH_glcm_Correlation,12
lbp.3D.m2_firstorder_Uniformity,19
wavelet.LLH_firstorder_Kurtosis,30
logarithm_firstorder_InterquartileRange,13
log.sigma.4.0.mm.3D_glcm_Imc1,9
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,9
wavelet.LLL_glcm_JointEnergy,13
wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis,16
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,22
logarithm_glszm_SizeZoneNonUniformityNormalized,18
wavelet.LHL_glcm_DifferenceVariance,38
wavelet.LHH_firstorder_Median,15
wavelet.HLL_gldm_LargeDependenceLowGrayLevelEmphasis,7
wavelet.HLH_glrlm_ShortRunEmphasis,8
original_glcm_ClusterProminence,23
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,16
wavelet.HLL_firstorder_TotalEnergy,24
wavelet.HHL_firstorder_Median,3
wavelet.HHH_glcm_Imc2,11
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,22
gradient_gldm_DependenceEntropy,9
lbp.3D.k_firstorder_10Percentile,9
logarithm_firstorder_Kurtosis,15
wavelet.HLL_firstorder_Mean,10
wavelet.HLH_glcm_Idn,11
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,8
wavelet.LHL_glrlm_RunVariance,15
wavelet.HHL_glcm_JointEnergy,8
wavelet.LLH_firstorder_Mean,7
wavelet.HLL_firstorder_Kurtosis,8
wavelet.HLL_glcm_Idmn,13
gradient_glcm_Correlation,9
lbp.3D.m2_glcm_Imc2,13
wavelet.LLH_glszm_ZoneEntropy,11
wavelet.HLH_glszm_SmallAreaEmphasis,8
wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis,5
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,19
log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,8
wavelet.LHL_firstorder_Minimum,6
lbp.3D.k_glcm_Imc1,26
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,13
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,12
lbp.3D.m2_firstorder_90Percentile,33
original_glrlm_LongRunLowGrayLevelEmphasis,20
wavelet.LHL_glcm_Correlation,14
log.sigma.4.0.mm.3D_firstorder_Maximum,8
wavelet.LHL_firstorder_Kurtosis,11
wavelet.HLL_firstorder_90Percentile,7
wavelet.LHL_firstorder_RootMeanSquared,13
wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,15
logarithm_firstorder_10Percentile,11
wavelet.HHH_firstorder_Energy,9
wavelet.LLH_glcm_Imc2,4
wavelet.LLL_glcm_Imc2,4
wavelet.LHH_glcm_ClusterShade,9
wavelet.LHL_firstorder_Median,11
log.sigma.4.0.mm.3D_glcm_JointEntropy,3
gradient_glcm_ClusterShade,6
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,5
wavelet.HLH_firstorder_Skewness,17
wavelet.HHH_glcm_ClusterProminence,7
original_gldm_SmallDependenceLowGrayLevelEmphasis,12
wavelet.HHL_glcm_Idmn,2
log.sigma.4.0.mm.3D_firstorder_Kurtosis,8
wavelet.LLH_gldm_DependenceVariance,6
