f,count
original_glrlm_LongRunLowGrayLevelEmphasis,129
wavelet.HHL_glcm_Imc2,246
gradient_glcm_Correlation,181
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,159
original_gldm_SmallDependenceLowGrayLevelEmphasis,122
original_shape_Elongation,122
wavelet.LHL_firstorder_90Percentile,55
wavelet.HHL_glcm_Correlation,31
log.sigma.4.0.mm.3D_glcm_Imc1,112
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,13
wavelet.HHL_glszm_SmallAreaEmphasis,24
wavelet.HHL_glszm_ZoneEntropy,48
wavelet.LHH_firstorder_Median,80
wavelet.HHL_gldm_DependenceVariance,6
original_shape_Sphericity,47
wavelet.LHH_firstorder_Skewness,92
wavelet.HLL_firstorder_Maximum,91
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,16
wavelet.HHH_firstorder_Kurtosis,20
logarithm_glcm_Correlation,92
wavelet.HLH_glrlm_ShortRunEmphasis,8
wavelet.HLH_glcm_Imc2,22
wavelet.LHH_firstorder_Mean,12
original_gldm_LargeDependenceHighGrayLevelEmphasis,8
lbp.3D.m2_firstorder_Kurtosis,8
lbp.3D.m2_firstorder_Maximum,61
wavelet.LLH_firstorder_Skewness,2
wavelet.HLL_firstorder_Mean,15
wavelet.HLH_glszm_SmallAreaEmphasis,10
wavelet.LLH_glcm_DifferenceAverage,28
wavelet.HHH_glcm_ClusterShade,8
wavelet.HHH_glszm_SmallAreaEmphasis,10
wavelet.HLL_glcm_Imc1,26
wavelet.LLH_glcm_Imc2,59
wavelet.LLH_glszm_ZoneEntropy,39
wavelet.HLL_glszm_ZoneEntropy,9
lbp.3D.k_glszm_SmallAreaEmphasis,1
wavelet.LHH_glszm_LowGrayLevelZoneEmphasis,13
wavelet.HHL_glcm_ClusterProminence,14
wavelet.HHH_firstorder_Skewness,3
wavelet.HLH_glcm_ClusterShade,34
wavelet.HLL_gldm_LargeDependenceHighGrayLevelEmphasis,9
gradient_glcm_Imc2,17
wavelet.HHL_glcm_ClusterShade,30
wavelet.LHH_gldm_LargeDependenceHighGrayLevelEmphasis,63
logarithm_gldm_GrayLevelVariance,6
wavelet.HHL_firstorder_Skewness,18
wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis,1
lbp.3D.k_glcm_Correlation,30
wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis,4
original_glcm_ClusterProminence,12
wavelet.HLL_firstorder_90Percentile,12
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,12
log.sigma.3.0.mm.3D_gldm_DependenceVariance,5
wavelet.HLH_firstorder_Kurtosis,2
original_shape_Flatness,16
lbp.3D.m2_gldm_HighGrayLevelEmphasis,8
wavelet.HLH_firstorder_Median,6
wavelet.LHL_glszm_ZoneEntropy,6
original_shape_MajorAxisLength,8
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,7
wavelet.HHH_glcm_Correlation,7
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,3
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,2
wavelet.HLL_firstorder_Kurtosis,3
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,5
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,7
logarithm_glcm_MaximumProbability,1
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,5
wavelet.LHH_glszm_ZoneVariance,2
wavelet.LHL_firstorder_Minimum,1
lbp.3D.m2_glcm_ClusterShade,3
