f,count
original_shape_SurfaceVolumeRatio,190
original_firstorder_10Percentile,205
original_glcm_Imc2,37
original_glszm_LowGrayLevelZoneEmphasis,55
original_gldm_LargeDependenceLowGrayLevelEmphasis,187
log.sigma.2.0.mm.3D_firstorder_Kurtosis,63
log.sigma.2.0.mm.3D_glcm_ClusterShade,40
log.sigma.3.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,73
wavelet.LLH_firstorder_Kurtosis,78
wavelet.LLH_glcm_ClusterShade,55
wavelet.LLH_glcm_Imc1,52
wavelet.LLH_glszm_LowGrayLevelZoneEmphasis,91
wavelet.LLH_gldm_DependenceVariance,48
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,101
wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis,137
wavelet.LHL_firstorder_Kurtosis,141
wavelet.LHL_firstorder_Skewness,81
wavelet.LHL_firstorder_TotalEnergy,100
wavelet.LHL_glcm_ClusterProminence,224
wavelet.LHL_glcm_Idmn,57
wavelet.LHL_glcm_SumSquares,235
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,117
wavelet.LHL_glszm_SizeZoneNonUniformityNormalized,98
wavelet.LHH_firstorder_Kurtosis,106
wavelet.LHH_glcm_ClusterProminence,164
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,162
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,193
wavelet.HLL_firstorder_10Percentile,131
wavelet.HLL_firstorder_InterquartileRange,60
wavelet.HLL_firstorder_Mean,205
wavelet.HLL_glcm_ClusterShade,61
wavelet.HLL_glcm_Idmn,23
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,116
wavelet.HLH_glcm_DifferenceVariance,95
wavelet.HLH_glcm_Imc1,43
wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis,35
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,127
wavelet.HHL_glcm_JointEnergy,35
wavelet.HHL_glcm_Imc1,33
wavelet.HHL_glcm_Idmn,20
wavelet.HHH_firstorder_Kurtosis,184
wavelet.HHH_firstorder_Mean,79
wavelet.HHH_firstorder_Median,243
wavelet.HHH_glcm_ClusterShade,207
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,185
wavelet.HHH_gldm_SmallDependenceHighGrayLevelEmphasis,84
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,67
wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis,25
gradient_glcm_Correlation,122
gradient_glcm_MaximumProbability,35
lbp.3D.m1_firstorder_Kurtosis,73
lbp.3D.m1_firstorder_RootMeanSquared,43
lbp.3D.m1_glcm_Imc2,89
lbp.3D.m1_glszm_ZoneEntropy,64
lbp.3D.m2_firstorder_90Percentile,217
lbp.3D.m2_firstorder_RootMeanSquared,192
lbp.3D.m2_glcm_ClusterShade,86
lbp.3D.k_firstorder_10Percentile,136
lbp.3D.k_firstorder_Kurtosis,130
lbp.3D.k_glcm_Correlation,61
lbp.3D.k_glcm_Imc1,67
lbp.3D.k_glcm_Idn,101
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,21
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,63
lbp.3D.k_gldm_LowGrayLevelEmphasis,196
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,214
logarithm_firstorder_RootMeanSquared,192
logarithm_firstorder_Variance,167
logarithm_glcm_Correlation,50
logarithm_glcm_DifferenceVariance,59
original_shape_Flatness,177
original_glcm_ClusterTendency,126
original_glrlm_ShortRunLowGrayLevelEmphasis,88
log.sigma.2.0.mm.3D_glcm_Correlation,63
log.sigma.2.0.mm.3D_glcm_DifferenceVariance,95
log.sigma.4.0.mm.3D_firstorder_10Percentile,128
wavelet.LLH_glcm_Idn,24
wavelet.LHL_firstorder_10Percentile,119
wavelet.LHL_firstorder_Maximum,64
wavelet.LHH_firstorder_Mean,158
wavelet.LHH_firstorder_Median,109
wavelet.LHH_firstorder_TotalEnergy,48
wavelet.LHH_glcm_Correlation,57
wavelet.LHH_glszm_LargeAreaEmphasis,80
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,103
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,163
wavelet.HLL_firstorder_Median,166
wavelet.HLL_firstorder_Skewness,107
wavelet.HLL_glcm_Correlation,90
wavelet.HLL_glszm_LargeAreaEmphasis,74
wavelet.HLH_firstorder_Skewness,39
wavelet.HLH_glcm_ClusterShade,116
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,78
wavelet.HHL_firstorder_Maximum,55
wavelet.HHL_firstorder_Mean,68
wavelet.HHL_firstorder_Median,100
wavelet.HHL_glcm_ClusterProminence,71
wavelet.HHL_glcm_ClusterShade,76
wavelet.HHL_glcm_Correlation,116
wavelet.HHH_firstorder_Skewness,201
wavelet.HHH_glszm_GrayLevelNonUniformity,51
wavelet.HHH_glszm_LargeAreaEmphasis,89
gradient_gldm_SmallDependenceLowGrayLevelEmphasis,52
lbp.3D.m1_firstorder_Skewness,71
lbp.3D.m1_glcm_ClusterShade,181
lbp.3D.m1_glcm_Correlation,85
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,137
lbp.3D.m2_glrlm_GrayLevelVariance,172
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,161
lbp.3D.k_firstorder_Range,107
lbp.3D.k_glcm_InverseVariance,70
logarithm_glcm_Imc2,47
original_firstorder_Minimum,162
log.sigma.4.0.mm.3D_glcm_MaximumProbability,52
wavelet.LLH_firstorder_90Percentile,45
wavelet.LHL_firstorder_90Percentile,48
wavelet.LHH_firstorder_Skewness,117
wavelet.LHH_glcm_Contrast,160
wavelet.LHH_glcm_Idmn,31
wavelet.HLL_firstorder_Kurtosis,94
wavelet.HLH_glcm_MaximumProbability,76
wavelet.LLL_glcm_Idmn,51
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,26
gradient_firstorder_Skewness,60
gradient_glrlm_LowGrayLevelRunEmphasis,35
lbp.3D.m1_glszm_ZoneVariance,26
lbp.3D.m2_glcm_Imc2,29
lbp.3D.m2_glcm_MaximumProbability,133
lbp.3D.m2_glszm_SmallAreaHighGrayLevelEmphasis,86
