f,count
original_shape_Flatness,248
original_shape_Sphericity,200
original_glszm_LargeAreaLowGrayLevelEmphasis,184
log.sigma.2.0.mm.3D_glcm_ClusterShade,136
log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,65
log.sigma.3.0.mm.3D_firstorder_Kurtosis,84
log.sigma.3.0.mm.3D_glcm_Correlation,189
log.sigma.4.0.mm.3D_glcm_Correlation,91
log.sigma.4.0.mm.3D_glcm_Imc2,104
log.sigma.4.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis,57
wavelet.LLH_firstorder_90Percentile,148
wavelet.LLH_firstorder_Median,106
wavelet.LLH_firstorder_Skewness,86
wavelet.LLH_glcm_MaximumProbability,132
wavelet.LHL_firstorder_90Percentile,74
wavelet.LHL_firstorder_Median,76
wavelet.LHL_firstorder_Skewness,59
wavelet.LHL_glcm_Contrast,97
wavelet.LHL_glcm_Correlation,180
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,96
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,147
wavelet.LHH_firstorder_10Percentile,94
wavelet.LHH_firstorder_Skewness,226
wavelet.LHH_glcm_ClusterShade,242
wavelet.LHH_glcm_Correlation,183
wavelet.LHH_glcm_Idn,37
wavelet.LHH_gldm_LargeDependenceLowGrayLevelEmphasis,172
wavelet.LHH_gldm_LowGrayLevelEmphasis,165
wavelet.HLL_firstorder_90Percentile,79
wavelet.HLL_firstorder_Skewness,174
wavelet.HLL_glcm_Correlation,75
wavelet.HLL_glcm_Imc2,24
wavelet.HLH_firstorder_Kurtosis,184
wavelet.HLH_firstorder_Mean,60
wavelet.HLH_firstorder_Skewness,236
wavelet.HLH_glcm_ClusterProminence,223
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,180
wavelet.HHL_firstorder_Kurtosis,162
wavelet.HHL_glcm_ClusterShade,159
wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis,99
wavelet.HHL_gldm_LargeDependenceLowGrayLevelEmphasis,157
wavelet.HHH_firstorder_Mean,191
wavelet.HHH_firstorder_Median,220
wavelet.HHH_firstorder_Skewness,239
wavelet.HHH_glcm_ClusterShade,244
wavelet.HHH_glcm_Correlation,44
wavelet.HHH_glcm_Idmn,22
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,155
wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis,55
gradient_firstorder_Skewness,68
lbp.3D.m1_glcm_ClusterShade,133
lbp.3D.m1_glcm_Correlation,90
lbp.3D.m1_glszm_GrayLevelNonUniformityNormalized,44
lbp.3D.m1_glszm_SmallAreaHighGrayLevelEmphasis,59
lbp.3D.m2_firstorder_90Percentile,111
lbp.3D.m2_firstorder_Maximum,239
lbp.3D.m2_firstorder_Range,192
lbp.3D.m2_firstorder_Skewness,157
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,184
lbp.3D.k_firstorder_Kurtosis,171
lbp.3D.k_firstorder_Minimum,64
lbp.3D.k_firstorder_Range,196
