f,count
original_shape_Flatness,248
original_shape_Sphericity,226
original_glcm_Imc1,89
log.sigma.2.0.mm.3D_glcm_Correlation,246
log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,39
log.sigma.4.0.mm.3D_glcm_ClusterShade,47
log.sigma.4.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,119
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,49
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,102
wavelet.LHL_firstorder_90Percentile,54
wavelet.LHL_glrlm_LongRunHighGrayLevelEmphasis,148
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,21
wavelet.LHH_firstorder_Kurtosis,42
wavelet.LHH_firstorder_Mean,145
wavelet.LHH_firstorder_Median,203
wavelet.LHH_glcm_ClusterShade,239
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,13
wavelet.HLL_firstorder_Median,83
wavelet.HLL_firstorder_Skewness,232
wavelet.HLL_glszm_LargeAreaEmphasis,236
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,233
wavelet.HLH_firstorder_Mean,178
wavelet.HLH_firstorder_Median,243
wavelet.HLH_firstorder_Skewness,175
wavelet.HLH_glcm_ClusterShade,248
wavelet.HLH_glcm_Idmn,118
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,108
wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis,126
wavelet.HHL_firstorder_Kurtosis,119
wavelet.HHL_firstorder_Median,249
wavelet.HHL_firstorder_Skewness,247
wavelet.HHL_glcm_ClusterShade,171
wavelet.HHL_glcm_Correlation,116
wavelet.HHL_glcm_Idmn,185
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,205
wavelet.HHH_firstorder_Mean,241
wavelet.HHH_firstorder_Median,250
wavelet.HHH_firstorder_Skewness,250
wavelet.HHH_glcm_ClusterShade,250
wavelet.HHH_glcm_JointEnergy,225
wavelet.HHH_glcm_Imc1,229
wavelet.HHH_glcm_Idmn,181
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,213
wavelet.HHH_glszm_SmallAreaEmphasis,248
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,243
gradient_firstorder_Kurtosis,191
gradient_firstorder_Minimum,50
gradient_glszm_SizeZoneNonUniformityNormalized,140
lbp.3D.m2_firstorder_Maximum,250
lbp.3D.m2_glcm_ClusterShade,119
lbp.3D.m2_gldm_LargeDependenceEmphasis,221
lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis,137
lbp.3D.k_glszm_SmallAreaEmphasis,248
lbp.3D.k_gldm_DependenceEntropy,14
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,211
original_glszm_LargeAreaLowGrayLevelEmphasis,236
log.sigma.2.0.mm.3D_firstorder_90Percentile,26
wavelet.LLH_firstorder_Kurtosis,37
wavelet.LLH_firstorder_Skewness,186
wavelet.LLH_gldm_SmallDependenceLowGrayLevelEmphasis,27
wavelet.LHL_glcm_Correlation,85
