f,count
original_shape_MajorAxisLength,233
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,119
gradient_glcm_Idmn,10
wavelet.LHH_glszm_SizeZoneNonUniformityNormalized,189
log.sigma.2.0.mm.3D_glcm_Imc1,119
log.sigma.4.0.mm.3D_gldm_LargeDependenceEmphasis,171
original_glszm_LargeAreaLowGrayLevelEmphasis,24
original_shape_Sphericity,80
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,11
wavelet.LLL_firstorder_Skewness,44
wavelet.LLH_gldm_SmallDependenceLowGrayLevelEmphasis,145
wavelet.HHH_firstorder_Mean,32
wavelet.HLH_glcm_ClusterShade,96
wavelet.HHL_glcm_Correlation,118
lbp.3D.m2_glcm_MaximumProbability,46
wavelet.LHH_glcm_Correlation,89
gradient_glszm_SizeZoneNonUniformityNormalized,4
wavelet.HLL_glszm_ZoneEntropy,1
wavelet.HHH_glcm_Imc1,141
log.sigma.2.0.mm.3D_firstorder_90Percentile,14
original_shape_Flatness,54
wavelet.LHL_glcm_Correlation,5
wavelet.HLH_firstorder_Median,27
wavelet.HHH_firstorder_Skewness,26
log.sigma.2.0.mm.3D_gldm_DependenceVariance,2
wavelet.HHL_glcm_Imc2,80
wavelet.HLL_firstorder_Median,113
lbp.3D.k_glcm_ClusterProminence,110
wavelet.HHH_glszm_SmallAreaEmphasis,14
wavelet.LHL_glrlm_LongRunEmphasis,10
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,6
wavelet.LHL_gldm_DependenceEntropy,18
wavelet.LHH_glszm_GrayLevelNonUniformityNormalized,18
wavelet.HLH_firstorder_Mean,21
wavelet.HLL_gldm_SmallDependenceHighGrayLevelEmphasis,38
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,56
wavelet.LLH_firstorder_Kurtosis,4
wavelet.HLL_firstorder_90Percentile,12
wavelet.HLL_firstorder_Skewness,16
wavelet.LLH_glcm_ClusterTendency,18
log.sigma.4.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis,31
wavelet.HHL_firstorder_Kurtosis,13
log.sigma.2.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis,16
wavelet.HHH_gldm_DependenceNonUniformityNormalized,1
log.sigma.4.0.mm.3D_glcm_Correlation,6
wavelet.LHL_glcm_Imc1,4
wavelet.HLH_glcm_Correlation,5
wavelet.HLH_glcm_Imc1,24
logarithm_gldm_DependenceVariance,21
wavelet.LHL_firstorder_TotalEnergy,16
wavelet.HLL_glcm_DifferenceVariance,3
logarithm_glcm_JointEnergy,20
wavelet.LHH_firstorder_Energy,2
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,20
wavelet.LHH_glcm_InverseVariance,4
wavelet.LLL_firstorder_90Percentile,15
lbp.3D.k_firstorder_Range,35
wavelet.LHH_firstorder_Skewness,27
wavelet.LHH_glcm_ClusterShade,9
lbp.3D.k_glszm_ZoneEntropy,30
lbp.3D.k_glcm_Idmn,12
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,5
wavelet.LHH_glrlm_LowGrayLevelRunEmphasis,6
wavelet.LLH_firstorder_Skewness,5
wavelet.LLH_glszm_SizeZoneNonUniformityNormalized,2
gradient_glcm_Correlation,2
wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis,2
wavelet.HHL_glszm_SmallAreaEmphasis,6
wavelet.HHH_firstorder_Median,8
log.sigma.4.0.mm.3D_glcm_Imc2,17
lbp.3D.k_glcm_Imc2,4
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,3
log.sigma.4.0.mm.3D_glcm_ClusterShade,16
wavelet.HLH_gldm_SmallDependenceLowGrayLevelEmphasis,8
lbp.3D.k_glrlm_RunEntropy,2
wavelet.LLL_glcm_Imc2,9
lbp.3D.m1_glcm_MaximumProbability,2
lbp.3D.k_glszm_SmallAreaEmphasis,2
wavelet.LHH_firstorder_Kurtosis,9
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,2
lbp.3D.m2_gldm_LargeDependenceEmphasis,5
wavelet.LHL_firstorder_Kurtosis,9
wavelet.HLL_glcm_Imc1,6
wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis,3
gradient_firstorder_RobustMeanAbsoluteDeviation,5
gradient_firstorder_Minimum,9
wavelet.HHL_firstorder_Median,5
wavelet.HLL_firstorder_Maximum,4
gradient_glszm_SmallAreaLowGrayLevelEmphasis,2
log.sigma.4.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,10
log.sigma.4.0.mm.3D_firstorder_Skewness,1
original_glcm_Correlation,13
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,1
log.sigma.3.0.mm.3D_firstorder_Kurtosis,3
wavelet.HLH_firstorder_Skewness,1
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,8
logarithm_gldm_LowGrayLevelEmphasis,13
wavelet.LHH_glcm_Imc2,2
wavelet.LHH_firstorder_Mean,9
logarithm_glcm_Imc1,2
wavelet.LHL_firstorder_Skewness,2
wavelet.HHH_glrlm_LongRunLowGrayLevelEmphasis,1
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,3
original_glcm_Imc1,4
wavelet.HLL_glcm_Correlation,6
wavelet.LLH_glcm_Correlation,2
logarithm_gldm_GrayLevelVariance,1
wavelet.HHH_glcm_Correlation,3
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.HHL_glcm_JointEnergy,4
wavelet.HHH_glcm_ClusterShade,3
wavelet.HHL_firstorder_Mean,19
wavelet.HHL_glcm_Idmn,1
lbp.3D.k_glszm_SmallAreaHighGrayLevelEmphasis,5
original_gldm_LargeDependenceHighGrayLevelEmphasis,8
wavelet.HHL_glcm_ClusterShade,3
log.sigma.2.0.mm.3D_gldm_DependenceEntropy,6
wavelet.HHH_glcm_JointEnergy,1
original_glcm_Idmn,3
lbp.3D.m2_glcm_ClusterShade,7
logarithm_glszm_SmallAreaEmphasis,1
lbp.3D.m1_glszm_LargeAreaHighGrayLevelEmphasis,1
wavelet.LHL_firstorder_90Percentile,1
wavelet.LLH_firstorder_Median,1
wavelet.HHL_firstorder_Skewness,1
wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis,3
wavelet.HHH_glrlm_HighGrayLevelRunEmphasis,1
wavelet.LHL_firstorder_MeanAbsoluteDeviation,5
wavelet.HLL_glrlm_LongRunLowGrayLevelEmphasis,2
wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis,4
wavelet.HHH_gldm_LargeDependenceHighGrayLevelEmphasis,3
wavelet.HHH_glcm_Idmn,1
wavelet.LLH_gldm_DependenceEntropy,4
lbp.3D.k_firstorder_10Percentile,1
wavelet.HHH_glszm_LargeAreaHighGrayLevelEmphasis,2
log.sigma.3.0.mm.3D_glrlm_LowGrayLevelRunEmphasis,1
lbp.3D.k_firstorder_Kurtosis,2
lbp.3D.k_gldm_DependenceEntropy,3
log.sigma.4.0.mm.3D_glcm_JointEntropy,1
wavelet.LHL_glcm_DifferenceVariance,1
wavelet.HLH_firstorder_Kurtosis,1
wavelet.HLH_glcm_JointEnergy,1
