f,count
original_firstorder_10Percentile,201
log.sigma.2.0.mm.3D_firstorder_Kurtosis,198
log.sigma.2.0.mm.3D_glcm_MaximumProbability,149
log.sigma.4.0.mm.3D_firstorder_10Percentile,177
log.sigma.4.0.mm.3D_glcm_ClusterShade,118
wavelet.HLL_firstorder_Kurtosis,198
wavelet.HLH_firstorder_Kurtosis,228
wavelet.HLH_firstorder_Skewness,228
wavelet.HLH_glcm_Correlation,173
wavelet.HHL_firstorder_Kurtosis,171
wavelet.HHL_firstorder_Skewness,116
wavelet.HHH_firstorder_Skewness,56
lbp.3D.m1_firstorder_Kurtosis,160
lbp.3D.m1_firstorder_Median,228
lbp.3D.k_firstorder_Range,135
lbp.3D.k_glcm_ClusterShade,137
logarithm_firstorder_RootMeanSquared,98
original_firstorder_Kurtosis,116
wavelet.LLH_glcm_JointEnergy,34
wavelet.HHH_glcm_Correlation,74
lbp.3D.m1_firstorder_Skewness,30
lbp.3D.k_glcm_Imc1,35
original_shape_Flatness,22
original_firstorder_Skewness,25
original_gldm_LargeDependenceLowGrayLevelEmphasis,27
lbp.3D.m1_glcm_JointEnergy,18
lbp.3D.m2_gldm_SmallDependenceHighGrayLevelEmphasis,26
original_firstorder_Minimum,67
wavelet.LLH_glcm_Idn,5
wavelet.LHH_firstorder_10Percentile,16
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,22
wavelet.HLL_firstorder_Median,15
wavelet.HLH_firstorder_Median,89
wavelet.HHL_glcm_ClusterShade,14
gradient_firstorder_10Percentile,31
lbp.3D.m2_glcm_ClusterShade,16
logarithm_glcm_Correlation,4
wavelet.LHL_firstorder_10Percentile,18
wavelet.LHL_glszm_ZoneVariance,34
wavelet.HLL_firstorder_InterquartileRange,29
gradient_glcm_Correlation,16
wavelet.LLH_firstorder_Mean,79
wavelet.LLH_firstorder_Median,15
lbp.3D.k_glcm_Correlation,15
original_glcm_MaximumProbability,1
wavelet.HLL_glcm_Idmn,11
gradient_glcm_Idmn,24
gradient_glszm_LargeAreaLowGrayLevelEmphasis,3
wavelet.HHH_glcm_ClusterShade,14
gradient_glszm_LargeAreaHighGrayLevelEmphasis,3
lbp.3D.m2_glcm_MaximumProbability,17
log.sigma.4.0.mm.3D_glcm_Idn,8
wavelet.LHL_firstorder_Kurtosis,7
wavelet.HLL_glcm_Imc2,4
wavelet.HHL_glcm_Correlation,2
wavelet.HHH_glszm_LargeAreaEmphasis,2
gradient_firstorder_Minimum,4
wavelet.HHH_firstorder_Mean,10
lbp.3D.m2_firstorder_Maximum,2
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,4
lbp.3D.m2_gldm_LargeDependenceEmphasis,1
lbp.3D.k_firstorder_Minimum,10
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,11
wavelet.LLH_firstorder_InterquartileRange,6
wavelet.LHH_glszm_LargeAreaEmphasis,2
wavelet.HLH_glcm_Idmn,13
wavelet.HLH_glcm_Imc1,5
wavelet.HLL_firstorder_90Percentile,3
lbp.3D.m1_glszm_ZoneVariance,4
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,11
wavelet.LHH_firstorder_Kurtosis,8
wavelet.HLL_glcm_ClusterShade,1
wavelet.LHL_glcm_ClusterProminence,2
wavelet.HLH_glcm_ClusterProminence,2
gradient_firstorder_Skewness,1
wavelet.LLH_glcm_Correlation,5
wavelet.HHL_glcm_Idmn,2
wavelet.LLH_glcm_ClusterProminence,1
lbp.3D.k_firstorder_Kurtosis,2
original_glcm_Imc2,1
wavelet.LLH_glcm_Imc1,1
lbp.3D.k_gldm_DependenceVariance,1
lbp.3D.k_glcm_Idn,1
log.sigma.2.0.mm.3D_glcm_Correlation,1
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,1
gradient_glcm_Imc2,1
iter,250
