f,count
wavelet.HHL_glcm_Imc1,228
lbp.3D.k_glcm_Correlation,226
wavelet.HLL_glcm_DifferenceVariance,128
gradient_firstorder_Skewness,182
wavelet.LHL_glszm_LargeAreaLowGrayLevelEmphasis,77
wavelet.HLH_firstorder_Mean,58
wavelet.HLL_firstorder_Mean,71
wavelet.HHH_glcm_Imc1,8
original_gldm_LargeDependenceLowGrayLevelEmphasis,142
wavelet.HLL_firstorder_InterquartileRange,65
wavelet.HLH_gldm_LargeDependenceLowGrayLevelEmphasis,17
lbp.3D.m2_firstorder_Maximum,16
wavelet.HLL_firstorder_Kurtosis,4
wavelet.HLH_glcm_JointEnergy,8
lbp.3D.k_glszm_LargeAreaHighGrayLevelEmphasis,15
wavelet.HLH_glcm_Imc1,67
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,63
wavelet.LHL_glcm_Correlation,115
lbp.3D.m2_glcm_MaximumProbability,67
wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis,106
wavelet.LHL_firstorder_90Percentile,143
wavelet.HLL_firstorder_Maximum,11
lbp.3D.m2_glszm_GrayLevelVariance,13
original_firstorder_Minimum,13
original_glcm_ClusterTendency,2
wavelet.LHH_glszm_SmallAreaEmphasis,9
gradient_glcm_Imc2,9
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,1
lbp.3D.k_glcm_ClusterShade,31
original_firstorder_Kurtosis,153
wavelet.HHL_glcm_JointEnergy,105
wavelet.LHL_glcm_JointAverage,68
lbp.3D.m2_gldm_LargeDependenceHighGrayLevelEmphasis,11
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,9
wavelet.HLL_glcm_JointEnergy,28
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,4
lbp.3D.m1_firstorder_Kurtosis,11
wavelet.HLH_firstorder_Skewness,36
lbp.3D.k_firstorder_10Percentile,43
wavelet.LHH_glcm_Correlation,139
gradient_glcm_MaximumProbability,29
original_firstorder_10Percentile,63
lbp.3D.k_glcm_Imc1,99
wavelet.HLL_glcm_Correlation,40
original_shape_Flatness,45
original_shape_SurfaceVolumeRatio,4
wavelet.LLH_firstorder_Mean,6
wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,81
wavelet.LLH_firstorder_Kurtosis,4
wavelet.LHH_firstorder_Mean,41
gradient_glcm_Correlation,4
log.sigma.2.0.mm.3D_glcm_DifferenceVariance,7
wavelet.LLH_glcm_JointEnergy,14
original_glrlm_ShortRunLowGrayLevelEmphasis,8
wavelet.HHH_gldm_DependenceVariance,59
lbp.3D.m1_glcm_Imc2,7
log.sigma.4.0.mm.3D_glszm_LargeAreaEmphasis,10
lbp.3D.m2_gldm_LargeDependenceEmphasis,5
lbp.3D.m1_glszm_LargeAreaLowGrayLevelEmphasis,25
wavelet.LLH_glcm_Correlation,47
wavelet.HLL_firstorder_90Percentile,43
wavelet.HHL_firstorder_Mean,9
wavelet.HLL_glcm_Imc2,8
wavelet.LLL_glszm_LargeAreaHighGrayLevelEmphasis,9
original_glszm_ZoneVariance,14
lbp.3D.m1_gldm_LargeDependenceHighGrayLevelEmphasis,12
wavelet.HLH_firstorder_Median,23
wavelet.HHH_glcm_Correlation,8
wavelet.LLH_firstorder_Median,6
