f,count
original_shape_Flatness,145
original_shape_Sphericity,192
original_firstorder_Maximum,49
log.sigma.2.0.mm.3D_glcm_Correlation,120
wavelet.LLH_firstorder_Median,158
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,91
wavelet.LHL_firstorder_Median,60
wavelet.HLL_firstorder_Mean,122
wavelet.HLH_firstorder_Skewness,168
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,99
wavelet.HHL_glszm_ZoneVariance,49
wavelet.HHH_firstorder_Median,124
wavelet.HHH_firstorder_Skewness,19
wavelet.HHH_glcm_JointEnergy,250
wavelet.HHH_glszm_SmallAreaEmphasis,170
wavelet.LLL_firstorder_10Percentile,131
lbp.3D.m1_firstorder_Skewness,45
lbp.3D.m1_glcm_Autocorrelation,240
lbp.3D.m2_firstorder_Median,249
lbp.3D.m2_glcm_ClusterShade,248
lbp.3D.k_firstorder_Maximum,25
lbp.3D.k_glcm_ClusterShade,237
lbp.3D.k_glszm_SizeZoneNonUniformityNormalized,119
logarithm_glcm_JointEnergy,177
log.sigma.4.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis,161
wavelet.LLH_firstorder_Mean,33
wavelet.LHL_firstorder_Mean,138
wavelet.HHL_glcm_ClusterShade,123
wavelet.LLL_glcm_Imc2,125
lbp.3D.m1_glcm_ClusterShade,33
lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis,42
log.sigma.4.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,144
wavelet.LHL_firstorder_Skewness,47
wavelet.LHH_glcm_ClusterShade,161
wavelet.HLH_glszm_LargeAreaEmphasis,102
wavelet.HHL_glcm_Correlation,39
gradient_firstorder_Kurtosis,63
wavelet.LHL_glcm_Correlation,82
wavelet.LHH_glcm_InverseVariance,72
wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis,59
wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis,79
wavelet.HLH_gldm_SmallDependenceHighGrayLevelEmphasis,35
wavelet.HHL_firstorder_Kurtosis,17
wavelet.HHL_firstorder_Skewness,103
wavelet.HHL_glszm_HighGrayLevelZoneEmphasis,4
wavelet.HHH_firstorder_Kurtosis,27
lbp.3D.m2_firstorder_90Percentile,85
lbp.3D.k_firstorder_Variance,185
wavelet.LLH_firstorder_Skewness,168
wavelet.LLH_glcm_Correlation,43
wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis,32
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,36
lbp.3D.m2_glcm_Imc2,61
wavelet.LHH_glszm_LargeAreaLowGrayLevelEmphasis,8
wavelet.HLL_firstorder_Median,46
wavelet.HLL_firstorder_10Percentile,53
wavelet.HHL_firstorder_Median,79
wavelet.HHH_firstorder_Energy,58
wavelet.HHH_firstorder_Mean,44
wavelet.HHH_glszm_LargeAreaLowGrayLevelEmphasis,102
logarithm_gldm_LargeDependenceLowGrayLevelEmphasis,25
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,4
wavelet.HLH_firstorder_Mean,29
wavelet.HHL_firstorder_Mean,22
wavelet.HHH_gldm_LargeDependenceLowGrayLevelEmphasis,29
wavelet.HLL_glcm_Correlation,22
wavelet.HHL_glcm_ClusterProminence,10
wavelet.HLH_glcm_ClusterProminence,1
wavelet.HHL_glcm_JointEnergy,23
wavelet.LHH_glcm_MaximumProbability,2
lbp.3D.m2_firstorder_Range,55
log.sigma.2.0.mm.3D_firstorder_90Percentile,3
wavelet.HLH_firstorder_Median,15
wavelet.HHH_glcm_ClusterShade,21
wavelet.HHH_glcm_Imc1,24
lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis,10
logarithm_glszm_LargeAreaHighGrayLevelEmphasis,21
wavelet.HLH_glszm_LargeAreaHighGrayLevelEmphasis,3
wavelet.HLL_firstorder_Kurtosis,9
wavelet.LHH_glcm_Correlation,3
lbp.3D.k_glcm_Correlation,14
wavelet.LHL_glcm_ClusterTendency,5
logarithm_glszm_ZoneVariance,1
lbp.3D.m2_firstorder_Maximum,14
wavelet.LHH_firstorder_Skewness,7
log.sigma.2.0.mm.3D_firstorder_Skewness,8
wavelet.LLL_glszm_ZoneVariance,11
wavelet.LHH_firstorder_RootMeanSquared,1
wavelet.HLH_glrlm_LongRunLowGrayLevelEmphasis,25
original_glcm_ClusterProminence,3
original_gldm_LargeDependenceHighGrayLevelEmphasis,6
wavelet.LLH_firstorder_Kurtosis,14
wavelet.LHL_gldm_DependenceVariance,1
lbp.3D.k_glszm_LowGrayLevelZoneEmphasis,4
lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis,4
wavelet.LLH_gldm_DependenceEntropy,2
log.sigma.4.0.mm.3D_glcm_Correlation,1
gradient_glcm_Imc1,2
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,3
log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,3
log.sigma.3.0.mm.3D_firstorder_Kurtosis,4
wavelet.HLL_glcm_SumSquares,4
wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis,1
wavelet.LHH_glszm_SmallAreaEmphasis,2
wavelet.HLH_glrlm_LongRunHighGrayLevelEmphasis,2
logarithm_firstorder_Minimum,1
iter,250
