f,count
wavelet.LHH_firstorder_Skewness,28
wavelet.HHH_firstorder_Median,121
wavelet.HHH_firstorder_Skewness,65
wavelet.LHH_glcm_ClusterShade,49
wavelet.HHL_firstorder_Skewness,21
original_shape_Flatness,24
wavelet.HHH_glcm_ClusterShade,57
wavelet.HHL_glcm_ClusterShade,9
wavelet.HHH_firstorder_Mean,34
wavelet.HHH_glszm_SmallAreaLowGrayLevelEmphasis,4
wavelet.LLL_gldm_LargeDependenceLowGrayLevelEmphasis,19
lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis,14
wavelet.HHL_firstorder_Kurtosis,2
wavelet.HLH_glcm_ClusterProminence,4
lbp.3D.k_firstorder_Minimum,4
original_glszm_LargeAreaLowGrayLevelEmphasis,3
wavelet.HLL_firstorder_Kurtosis,1
wavelet.LHL_glcm_Correlation,1
wavelet.LHL_glcm_ClusterShade,2
wavelet.LHH_glszm_LargeAreaHighGrayLevelEmphasis,1
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,1
iter,250
