f,count
original_shape_Elongation,235
original_shape_Flatness,240
original_shape_Sphericity,243
original_shape_SurfaceVolumeRatio,249
original_firstorder_Maximum,107
original_glcm_Correlation,66
log.sigma.2.0.mm.3D_firstorder_90Percentile,250
log.sigma.2.0.mm.3D_firstorder_Kurtosis,59
log.sigma.2.0.mm.3D_firstorder_Skewness,237
log.sigma.2.0.mm.3D_glcm_Correlation,219
log.sigma.2.0.mm.3D_glcm_JointEnergy,142
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,217
log.sigma.3.0.mm.3D_firstorder_90Percentile,155
log.sigma.3.0.mm.3D_glcm_DifferenceEntropy,139
log.sigma.3.0.mm.3D_glszm_LargeAreaEmphasis,192
log.sigma.4.0.mm.3D_glcm_ClusterShade,241
log.sigma.4.0.mm.3D_glcm_DifferenceVariance,90
log.sigma.4.0.mm.3D_glcm_JointEnergy,182
log.sigma.4.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis,164
wavelet.LLH_firstorder_Mean,125
wavelet.LLH_firstorder_Median,111
wavelet.LLH_glcm_ClusterProminence,218
wavelet.LLH_glcm_Correlation,97
wavelet.LLH_glszm_HighGrayLevelZoneEmphasis,213
wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis,88
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,118
wavelet.LLH_gldm_DependenceEntropy,70
wavelet.LHL_firstorder_Mean,36
wavelet.LHL_firstorder_Median,238
wavelet.LHL_glcm_ClusterProminence,103
wavelet.LHL_glcm_Correlation,211
wavelet.LHL_glszm_ZoneVariance,112
wavelet.LHH_firstorder_Maximum,93
wavelet.LHH_firstorder_Skewness,214
wavelet.LHH_glcm_ClusterShade,248
wavelet.LHH_glcm_Correlation,203
wavelet.LHH_glcm_InverseVariance,222
wavelet.LHH_glcm_MaximumProbability,178
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,138
wavelet.LHH_gldm_DependenceNonUniformityNormalized,123
wavelet.LHH_gldm_GrayLevelVariance,110
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,31
wavelet.HLL_firstorder_10Percentile,210
wavelet.HLL_firstorder_Mean,246
wavelet.HLL_firstorder_Median,218
wavelet.HLL_glcm_ClusterProminence,187
wavelet.HLL_glcm_MaximumProbability,250
wavelet.HLL_glszm_LargeAreaEmphasis,129
wavelet.HLL_gldm_DependenceVariance,243
wavelet.HLH_firstorder_Median,239
wavelet.HLH_firstorder_Skewness,220
wavelet.HLH_glcm_ClusterProminence,33
wavelet.HLH_glcm_ClusterShade,211
wavelet.HLH_glcm_JointEnergy,210
wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis,221
wavelet.HLH_glszm_ZoneVariance,188
wavelet.HHL_firstorder_Mean,243
wavelet.HHL_firstorder_Median,246
wavelet.HHL_glcm_ClusterShade,139
wavelet.HHL_glcm_JointEnergy,250
wavelet.HHL_glcm_Imc1,59
wavelet.HHL_glszm_LargeAreaHighGrayLevelEmphasis,220
wavelet.HHL_glszm_LargeAreaLowGrayLevelEmphasis,207
wavelet.HHL_glszm_ZoneVariance,222
wavelet.HHH_firstorder_Mean,247
wavelet.HHH_firstorder_Median,187
wavelet.HHH_firstorder_Skewness,76
wavelet.HHH_glcm_ClusterShade,109
wavelet.HHH_glcm_Correlation,37
wavelet.HHH_glcm_DifferenceVariance,242
wavelet.LLL_firstorder_10Percentile,169
wavelet.LLL_firstorder_Skewness,135
wavelet.LLL_glcm_Imc2,216
wavelet.LLL_glrlm_GrayLevelNonUniformity,19
gradient_firstorder_10Percentile,189
gradient_firstorder_Kurtosis,183
gradient_glcm_ClusterShade,13
