f,count
original_shape_Elongation,215
original_shape_Flatness,126
original_shape_Maximum2DDiameterSlice,13
original_firstorder_Maximum,146
original_firstorder_Minimum,64
original_glcm_Imc1,62
log.sigma.2.0.mm.3D_firstorder_Skewness,127
log.sigma.2.0.mm.3D_glcm_ClusterShade,69
log.sigma.2.0.mm.3D_glszm_LargeAreaLowGrayLevelEmphasis,177
log.sigma.4.0.mm.3D_firstorder_Kurtosis,162
log.sigma.4.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis,45
wavelet.LLH_firstorder_Kurtosis,154
wavelet.LLH_firstorder_Mean,129
wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation,76
wavelet.LLH_glcm_ClusterProminence,183
wavelet.LLH_glcm_ClusterTendency,127
wavelet.LLH_glcm_Correlation,155
wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis,91
wavelet.LHL_firstorder_90Percentile,61
wavelet.LHL_firstorder_Kurtosis,95
wavelet.LHL_firstorder_MeanAbsoluteDeviation,117
wavelet.LHL_firstorder_Mean,173
wavelet.LHL_glcm_ClusterProminence,59
wavelet.LHL_glcm_Correlation,127
wavelet.LHL_glcm_JointEntropy,90
wavelet.LHH_firstorder_Median,197
wavelet.LHH_firstorder_Skewness,223
wavelet.LHH_glcm_ClusterShade,229
wavelet.LHH_glcm_InverseVariance,102
wavelet.LHH_glszm_SmallAreaEmphasis,163
wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis,109
wavelet.LHH_gldm_GrayLevelVariance,197
wavelet.LHH_gldm_SmallDependenceHighGrayLevelEmphasis,115
wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis,150
wavelet.HLL_firstorder_10Percentile,196
wavelet.HLL_firstorder_Mean,226
wavelet.HLL_firstorder_RootMeanSquared,139
wavelet.HLL_glcm_ClusterProminence,211
wavelet.HLL_glcm_MaximumProbability,191
wavelet.HLL_glszm_LargeAreaEmphasis,129
wavelet.HLL_gldm_DependenceVariance,166
wavelet.HLL_gldm_SmallDependenceLowGrayLevelEmphasis,32
wavelet.HLH_firstorder_Skewness,225
wavelet.HLH_glcm_ClusterShade,168
