"f","count"
"original_firstorder_Mean",171
"original_glrlm_LowGrayLevelRunEmphasis",163
"original_glszm_LargeAreaLowGrayLevelEmphasis",133
"original_glszm_SizeZoneNonUniformity",58
"original_gldm_LargeDependenceLowGrayLevelEmphasis",118
"original_gldm_SmallDependenceLowGrayLevelEmphasis",164
"log.sigma.1.0.mm.3D_firstorder_Mean",89
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",4
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",75
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",97
"log.sigma.3.0.mm.3D_firstorder_Maximum",180
"log.sigma.3.0.mm.3D_firstorder_Median",121
"wavelet.LLH_glrlm_RunLengthNonUniformity",128
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",11
"wavelet.LHL_glcm_ClusterShade",107
"wavelet.LHL_glrlm_LongRunEmphasis",189
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",139
"wavelet.LHL_gldm_DependenceEntropy",153
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",190
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",61
"wavelet.LHL_gldm_LowGrayLevelEmphasis",157
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",51
"wavelet.HLL_glcm_ClusterProminence",57
"wavelet.HLL_glcm_Imc1",91
"wavelet.HLL_glcm_Imc2",96
"wavelet.HLL_glrlm_LongRunHighGrayLevelEmphasis",195
"wavelet.HLL_glszm_SizeZoneNonUniformity",26
"wavelet.HLL_gldm_DependenceNonUniformityNormalized",88
"wavelet.HLH_glcm_ClusterShade",10
"wavelet.HLH_glrlm_LowGrayLevelRunEmphasis",178
"wavelet.HLH_glrlm_ShortRunHighGrayLevelEmphasis",156
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",176
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",193
"wavelet.HHH_glcm_Correlation",42
"wavelet.LLL_firstorder_Variance",167
"wavelet.LLL_glcm_JointAverage",215
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",184
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",189
"wavelet.LLL_gldm_LargeDependenceHighGrayLevelEmphasis",146
"gradient_firstorder_10Percentile",50
"gradient_gldm_DependenceNonUniformity",192
"lbp.3D.m1_glcm_Autocorrelation",111
"lbp.3D.m1_glcm_JointAverage",109
"lbp.3D.m1_glcm_Imc1",71
"lbp.3D.m1_gldm_DependenceVariance",104
"lbp.3D.m2_firstorder_Kurtosis",135
"lbp.3D.m2_firstorder_Mean",225
"lbp.3D.m2_glrlm_LongRunHighGrayLevelEmphasis",227
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",225
"lbp.3D.m2_glszm_GrayLevelNonUniformityNormalized",110
"lbp.3D.m2_glszm_HighGrayLevelZoneEmphasis",74
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",192
"original_glszm_LowGrayLevelZoneEmphasis",105
"log.sigma.1.0.mm.3D_firstorder_Median",34
"log.sigma.1.0.mm.3D_gldm_HighGrayLevelEmphasis",16
"log.sigma.3.0.mm.3D_glcm_JointAverage",90
"log.sigma.3.0.mm.3D_glcm_InverseVariance",52
"log.sigma.3.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis",65
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",70
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",141
"wavelet.LLH_firstorder_Mean",17
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",16
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",49
"wavelet.LLH_glszm_ZoneEntropy",49
"wavelet.LHL_firstorder_Median",90
"wavelet.HLH_glrlm_GrayLevelVariance",65
"gradient_glcm_Correlation",59
"lbp.3D.m2_firstorder_Skewness",181
"lbp.3D.m2_glcm_ClusterShade",127
"lbp.3D.k_firstorder_Median",24
"lbp.3D.k_firstorder_RobustMeanAbsoluteDeviation",43
"logarithm_firstorder_Skewness",14
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",23
"logarithm_glszm_ZoneVariance",11
"original_glszm_SmallAreaEmphasis",25
"log.sigma.1.0.mm.3D_glcm_Correlation",33
"log.sigma.1.0.mm.3D_glcm_Imc1",32
"log.sigma.1.0.mm.3D_glcm_Imc2",56
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",96
"log.sigma.3.0.mm.3D_glszm_ZoneEntropy",42
"wavelet.LHL_firstorder_Skewness",17
"wavelet.LHL_glcm_Contrast",99
"wavelet.LHL_glcm_InverseVariance",84
"wavelet.LHL_glrlm_RunEntropy",83
"wavelet.LHH_glrlm_ShortRunHighGrayLevelEmphasis",51
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",76
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",61
"wavelet.HLL_firstorder_Mean",59
"wavelet.HLL_glcm_ClusterShade",38
"wavelet.HLL_glszm_GrayLevelVariance",61
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",17
"wavelet.HLL_gldm_LowGrayLevelEmphasis",27
"wavelet.HLH_glszm_GrayLevelVariance",49
"wavelet.HHL_firstorder_Mean",7
"wavelet.HHH_glszm_GrayLevelNonUniformity",74
"wavelet.LLL_glszm_SizeZoneNonUniformityNormalized",31
"wavelet.LLL_gldm_DependenceNonUniformityNormalized",48
"gradient_glrlm_LongRunHighGrayLevelEmphasis",88
"gradient_gldm_DependenceNonUniformityNormalized",94
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",79
"lbp.3D.m2_gldm_LargeDependenceLowGrayLevelEmphasis",75
"lbp.3D.k_firstorder_10Percentile",71
"logarithm_firstorder_Mean",39
"log.sigma.3.0.mm.3D_glcm_Imc2",97
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",115
"wavelet.LLH_glcm_DifferenceVariance",14
"wavelet.LHL_firstorder_Mean",28
"wavelet.LHH_glcm_ClusterShade",71
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",72
"wavelet.LHH_glszm_GrayLevelVariance",70
"wavelet.LHH_glszm_ZoneEntropy",80
"wavelet.HLL_glszm_ZoneEntropy",63
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",74
"wavelet.HHL_firstorder_MeanAbsoluteDeviation",97
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",17
