"f","count"
"original_shape_Elongation",65
"original_firstorder_10Percentile",110
"original_glcm_InverseVariance",10
"original_gldm_LargeDependenceLowGrayLevelEmphasis",114
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",41
"log.sigma.2.0.mm.3D_glcm_Imc2",167
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",194
"log.sigma.3.0.mm.3D_gldm_DependenceEntropy",90
"wavelet.LLH_glcm_ClusterTendency",18
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",72
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",117
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",200
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",71
"wavelet.LLH_glszm_ZoneEntropy",167
"wavelet.LLH_gldm_DependenceNonUniformity",133
"wavelet.LHL_firstorder_Mean",21
"wavelet.LHL_glrlm_ShortRunLowGrayLevelEmphasis",42
"wavelet.LHL_glszm_SmallAreaEmphasis",57
"wavelet.LHL_glszm_SmallAreaLowGrayLevelEmphasis",32
"wavelet.LHL_gldm_DependenceNonUniformity",138
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",132
"wavelet.LHH_firstorder_Skewness",194
"wavelet.LHH_glrlm_HighGrayLevelRunEmphasis",27
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",71
"wavelet.LHH_glszm_LargeAreaEmphasis",128
"wavelet.LHH_glszm_SmallAreaEmphasis",26
"wavelet.LHH_glszm_ZoneEntropy",58
"wavelet.LHH_gldm_SmallDependenceLowGrayLevelEmphasis",9
"wavelet.HLL_firstorder_Kurtosis",27
"wavelet.HLL_firstorder_Maximum",81
"wavelet.HLL_firstorder_Skewness",28
"wavelet.HLH_glcm_Autocorrelation",239
"wavelet.HLH_glcm_Correlation",11
"wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis",219
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",60
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",241
"wavelet.HLH_glszm_ZoneEntropy",72
"wavelet.HHL_firstorder_Skewness",62
"wavelet.HHL_glrlm_RunLengthNonUniformity",83
"wavelet.HHL_gldm_DependenceNonUniformity",73
"wavelet.HHH_glcm_ClusterProminence",9
"wavelet.HHH_glcm_Imc1",72
"wavelet.HHH_glcm_Imc2",59
"wavelet.HHH_glrlm_LowGrayLevelRunEmphasis",66
"wavelet.HHH_glrlm_ShortRunLowGrayLevelEmphasis",66
"wavelet.HHH_glszm_LowGrayLevelZoneEmphasis",104
"wavelet.LLL_firstorder_Kurtosis",37
"wavelet.LLL_firstorder_Maximum",162
"wavelet.LLL_firstorder_RootMeanSquared",188
"wavelet.LLL_gldm_DependenceVariance",43
"gradient_glcm_ClusterProminence",73
"gradient_glrlm_LongRunHighGrayLevelEmphasis",138
"gradient_glszm_HighGrayLevelZoneEmphasis",81
"lbp.3D.k_glszm_LargeAreaLowGrayLevelEmphasis",29
"lbp.3D.k_glszm_LowGrayLevelZoneEmphasis",8
"lbp.3D.k_gldm_DependenceEntropy",19
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",11
"logarithm_firstorder_InterquartileRange",55
"logarithm_firstorder_Minimum",29
"logarithm_firstorder_Uniformity",33
"logarithm_glszm_GrayLevelVariance",65
"logarithm_glszm_HighGrayLevelZoneEmphasis",66
"logarithm_glszm_ZoneEntropy",51
"logarithm_gldm_GrayLevelVariance",6
"log.sigma.3.0.mm.3D_firstorder_InterquartileRange",146
"log.sigma.3.0.mm.3D_glcm_Correlation",132
"log.sigma.3.0.mm.3D_gldm_DependenceNonUniformity",66
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",183
"wavelet.LLH_gldm_DependenceEntropy",110
"wavelet.LLH_gldm_LowGrayLevelEmphasis",177
"wavelet.HLL_glcm_ClusterShade",103
"wavelet.HLH_glszm_LowGrayLevelZoneEmphasis",50
"wavelet.HHL_firstorder_Kurtosis",110
"wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis",94
"wavelet.HHL_glrlm_RunEntropy",102
"wavelet.HHL_gldm_LargeDependenceHighGrayLevelEmphasis",115
"wavelet.HHH_firstorder_Skewness",116
"wavelet.HHH_glcm_InverseVariance",82
"wavelet.HHH_glrlm_GrayLevelNonUniformity",84
"wavelet.HHH_glrlm_RunLengthNonUniformity",54
"wavelet.HHH_gldm_DependenceNonUniformity",44
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",98
"wavelet.LLL_glszm_SizeZoneNonUniformity",45
"wavelet.LLL_glszm_SmallAreaLowGrayLevelEmphasis",60
"lbp.3D.m1_glcm_Imc1",101
"lbp.3D.k_firstorder_MeanAbsoluteDeviation",218
"lbp.3D.k_firstorder_Mean",218
"logarithm_glcm_InverseVariance",33
"logarithm_gldm_DependenceVariance",21
"original_shape_Flatness",44
"log.sigma.1.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",15
"log.sigma.1.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",22
"log.sigma.2.0.mm.3D_glcm_ClusterShade",10
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",25
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",19
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",87
"wavelet.LHL_glszm_SizeZoneNonUniformity",34
"wavelet.HLL_glszm_LargeAreaHighGrayLevelEmphasis",17
"wavelet.HLH_gldm_DependenceVariance",8
"wavelet.HHL_firstorder_Mean",70
"wavelet.HHH_glrlm_GrayLevelNonUniformityNormalized",45
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",21
"wavelet.LLL_firstorder_TotalEnergy",69
"gradient_glrlm_LongRunEmphasis",81
"gradient_gldm_DependenceNonUniformityNormalized",116
"lbp.3D.m2_firstorder_Maximum",7
"lbp.3D.m2_firstorder_Mean",167
"lbp.3D.m2_glcm_ClusterShade",159
"lbp.3D.m2_glrlm_ShortRunHighGrayLevelEmphasis",163
"logarithm_glszm_SizeZoneNonUniformityNormalized",34
"original_glszm_GrayLevelVariance",56
"log.sigma.2.0.mm.3D_glcm_InverseVariance",61
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",119
"wavelet.LLH_firstorder_Skewness",9
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",43
"wavelet.LHH_firstorder_Median",37
"wavelet.HLL_glcm_ClusterProminence",9
"wavelet.HLH_firstorder_Minimum",16
"wavelet.HLH_gldm_DependenceNonUniformity",13
"wavelet.HHL_glcm_Imc1",57
"wavelet.HHL_glcm_Imc2",61
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",21
"wavelet.HHL_glszm_ZoneEntropy",22
"gradient_gldm_LargeDependenceHighGrayLevelEmphasis",88
"logarithm_glrlm_ShortRunHighGrayLevelEmphasis",26
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",28
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",57
"wavelet.LHL_glcm_Imc1",22
"wavelet.LHL_glcm_Imc2",23
"wavelet.LHH_glcm_Imc2",15
"gradient_glszm_LowGrayLevelZoneEmphasis",14
"lbp.3D.m1_glcm_Imc2",77
"lbp.3D.m1_glrlm_LongRunHighGrayLevelEmphasis",92
"original_firstorder_Skewness",18
"log.sigma.3.0.mm.3D_glcm_InverseVariance",42
"wavelet.LLH_firstorder_Mean",27
"wavelet.LLH_firstorder_Median",19
"wavelet.LHL_firstorder_Median",21
"wavelet.LHH_glcm_ClusterShade",16
"wavelet.LHH_glrlm_LongRunHighGrayLevelEmphasis",52
"wavelet.HHL_firstorder_Median",23
"lbp.3D.m1_glcm_Autocorrelation",26
"lbp.3D.m2_glszm_LargeAreaHighGrayLevelEmphasis",32
"lbp.3D.k_firstorder_10Percentile",27
"lbp.3D.k_glcm_Correlation",23
"lbp.3D.k_glcm_Imc2",24
"original_glcm_Imc2",69
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",30
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",42
"wavelet.HLL_glcm_Imc1",40
"wavelet.HLL_glcm_Imc2",42
"wavelet.HLL_glrlm_RunEntropy",81
"wavelet.LLL_glcm_Imc1",68
"gradient_firstorder_Minimum",20
"logarithm_firstorder_Kurtosis",35
"logarithm_glszm_GrayLevelNonUniformity",27
"log.sigma.3.0.mm.3D_firstorder_Median",69
"wavelet.LLH_glcm_Correlation",73
"wavelet.LLH_glcm_Imc2",67
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",80
"wavelet.LHL_glcm_InverseVariance",70
"wavelet.LHL_glrlm_RunEntropy",75
"wavelet.LHH_glszm_GrayLevelVariance",30
"wavelet.HLL_glrlm_ShortRunHighGrayLevelEmphasis",56
