"f","count"
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",10
"wavelet.LHH_firstorder_Median",28
"wavelet.HHL_firstorder_Mean",6
"wavelet.HHL_gldm_DependenceVariance",13
"wavelet.HHH_glrlm_LongRunHighGrayLevelEmphasis",5
"wavelet.HHH_firstorder_Mean",138
"wavelet.HHH_firstorder_Median",5
"wavelet.HHH_glcm_ClusterShade",41
"wavelet.LHH_gldm_DependenceVariance",2
"lbp.3D.m1_glcm_ClusterShade",7
"wavelet.HHH_firstorder_Skewness",20
"lbp.3D.k_glcm_ClusterProminence",4
"wavelet.LHH_glrlm_RunVariance",20
"wavelet.HHH_gldm_LowGrayLevelEmphasis",42
"original_shape_Sphericity",21
"log.sigma.3.0.mm.3D_glcm_Correlation",10
"wavelet.HHH_glcm_Correlation",11
"original_shape_Elongation",31
"wavelet.HLH_firstorder_Mean",30
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",5
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",3
"wavelet.LHL_firstorder_Median",8
"wavelet.LHH_firstorder_Skewness",9
"wavelet.HLH_glcm_ClusterShade",6
"lbp.3D.k_glszm_GrayLevelVariance",16
"original_shape_Flatness",4
"wavelet.HLH_firstorder_Median",6
"lbp.3D.m2_firstorder_90Percentile",1
"lbp.3D.m2_firstorder_Maximum",5
"wavelet.LHL_firstorder_Mean",8
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",6
"wavelet.HLH_glrlm_RunEntropy",2
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",2
"wavelet.LHH_glcm_ClusterShade",1
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",6
"logarithm_glrlm_ShortRunLowGrayLevelEmphasis",2
"wavelet.HHH_glrlm_GrayLevelNonUniformity",1
"wavelet.LHH_gldm_LowGrayLevelEmphasis",5
"logarithm_gldm_LowGrayLevelEmphasis",5
"wavelet.HHH_gldm_DependenceNonUniformity",3
"log.sigma.1.0.mm.3D_glcm_ClusterShade",3
"log.sigma.3.0.mm.3D_glcm_ClusterShade",4
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",1
"wavelet.LHH_firstorder_Mean",2
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",1
"wavelet.LHH_firstorder_Kurtosis",1
"wavelet.HHL_glrlm_ShortRunLowGrayLevelEmphasis",2
"wavelet.LHL_glcm_InverseVariance",3
"wavelet.LHL_firstorder_Kurtosis",1
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.HHH_glcm_Imc1",1
"wavelet.HLH_glrlm_GrayLevelVariance",1
"wavelet.LLH_glcm_ClusterShade",5
"logarithm_glcm_InverseVariance",1
"wavelet.HHL_glcm_ClusterShade",1
"lbp.3D.m1_firstorder_Median",1
"wavelet.LLL_glcm_ClusterShade",1
"log.sigma.2.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",1
"wavelet.HHL_firstorder_Median",1
"wavelet.HHH_gldm_DependenceVariance",1
"gradient_glszm_LargeAreaLowGrayLevelEmphasis",1
"wavelet.HLL_firstorder_Kurtosis",1
