"f","count"
"original_shape_Elongation",62
"original_shape_Flatness",64
"original_shape_Sphericity",134
"wavelet.LLH_firstorder_Kurtosis",4
"wavelet.LHH_firstorder_Mean",133
"wavelet.HLL_firstorder_Kurtosis",20
"wavelet.HLH_firstorder_Mean",175
"wavelet.HLH_firstorder_Skewness",62
"wavelet.HLH_gldm_DependenceNonUniformityNormalized",59
"wavelet.HLH_gldm_LowGrayLevelEmphasis",61
"wavelet.HHL_firstorder_Median",170
"wavelet.HHL_glcm_ClusterShade",123
"wavelet.HHH_firstorder_Mean",143
"wavelet.HHH_firstorder_Median",70
"wavelet.HHH_glcm_JointAverage",89
"wavelet.HHH_glcm_Correlation",20
"lbp.3D.m2_firstorder_90Percentile",26
"logarithm_glszm_LargeAreaLowGrayLevelEmphasis",31
"log.sigma.1.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",14
"log.sigma.1.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",34
"wavelet.LLH_glcm_JointAverage",46
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",65
"wavelet.LHL_glrlm_RunEntropy",67
"wavelet.LHL_glszm_GrayLevelNonUniformityNormalized",58
"wavelet.HLL_glcm_Correlation",71
"wavelet.HLL_glszm_LargeAreaLowGrayLevelEmphasis",16
"wavelet.HLH_firstorder_Median",95
"wavelet.HLH_glrlm_HighGrayLevelRunEmphasis",17
"lbp.3D.m1_glcm_Correlation",33
"original_glcm_ClusterShade",93
"original_glszm_GrayLevelVariance",64
"log.sigma.2.0.mm.3D_firstorder_90Percentile",29
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",44
"wavelet.HHL_firstorder_Skewness",80
"wavelet.LLL_glszm_GrayLevelNonUniformityNormalized",77
"lbp.3D.m1_firstorder_Median",52
"logarithm_glszm_SmallAreaLowGrayLevelEmphasis",16
"log.sigma.1.0.mm.3D_glcm_Correlation",8
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",65
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",77
"lbp.3D.m1_glcm_ClusterShade",101
"wavelet.HHL_glcm_Correlation",30
"wavelet.HHH_firstorder_Skewness",66
"log.sigma.3.0.mm.3D_glcm_ClusterShade",21
"wavelet.LLH_glrlm_RunEntropy",67
"wavelet.LHL_firstorder_Skewness",17
"wavelet.LHL_gldm_LowGrayLevelEmphasis",13
"wavelet.HLL_glszm_SizeZoneNonUniformity",6
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",45
"wavelet.HHL_gldm_LowGrayLevelEmphasis",38
"log.sigma.2.0.mm.3D_glcm_ClusterShade",7
"log.sigma.3.0.mm.3D_glcm_MaximumProbability",2
"wavelet.HLL_glcm_ClusterShade",38
"wavelet.HHL_glrlm_LongRunLowGrayLevelEmphasis",18
"gradient_glcm_Imc2",4
"gradient_glrlm_RunEntropy",1
"gradient_gldm_DependenceEntropy",2
"logarithm_firstorder_10Percentile",14
"logarithm_glrlm_LowGrayLevelRunEmphasis",21
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",29
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",44
"wavelet.LLH_glcm_ClusterShade",12
"wavelet.LHH_firstorder_Median",46
"logarithm_glszm_LargeAreaEmphasis",44
"wavelet.HHH_firstorder_InterquartileRange",49
"wavelet.LHH_glcm_ClusterShade",49
"lbp.3D.m2_glszm_SizeZoneNonUniformityNormalized",22
"wavelet.LLH_firstorder_Variance",23
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",5
"lbp.3D.k_gldm_LargeDependenceHighGrayLevelEmphasis",27
"wavelet.LHL_glrlm_LongRunLowGrayLevelEmphasis",13
"wavelet.LHL_glszm_GrayLevelVariance",1
"wavelet.LHH_firstorder_Skewness",19
"wavelet.HHL_gldm_DependenceVariance",15
"log.sigma.1.0.mm.3D_glrlm_ShortRunLowGrayLevelEmphasis",37
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",14
"wavelet.HHL_firstorder_Mean",40
"gradient_glcm_ClusterProminence",3
"original_glrlm_ShortRunHighGrayLevelEmphasis",15
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",22
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",2
"wavelet.LLL_firstorder_Maximum",4
"lbp.3D.m2_glcm_ClusterShade",12
"wavelet.HLL_glcm_JointAverage",12
"logarithm_firstorder_Maximum",34
"wavelet.LLL_firstorder_Skewness",4
"lbp.3D.k_firstorder_Kurtosis",16
"wavelet.HLL_firstorder_RootMeanSquared",9
"log.sigma.3.0.mm.3D_glcm_ClusterProminence",2
"wavelet.LHL_glcm_InverseVariance",14
"lbp.3D.k_firstorder_10Percentile",10
"lbp.3D.m1_firstorder_Skewness",4
"wavelet.LHH_firstorder_RootMeanSquared",5
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",3
"lbp.3D.m2_firstorder_Mean",4
"wavelet.LHL_gldm_DependenceEntropy",1
"wavelet.LHL_glcm_ClusterShade",7
"gradient_glrlm_LongRunLowGrayLevelEmphasis",3
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",16
"wavelet.LLL_firstorder_RootMeanSquared",2
"log.sigma.3.0.mm.3D_firstorder_Skewness",6
"wavelet.HHH_glrlm_RunEntropy",1
"log.sigma.3.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",4
"wavelet.LHL_glcm_Correlation",8
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",1
"wavelet.HHH_glrlm_ShortRunHighGrayLevelEmphasis",8
"log.sigma.3.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",8
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",11
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformity",11
"log.sigma.2.0.mm.3D_firstorder_Kurtosis",1
"log.sigma.3.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",2
"wavelet.LLL_firstorder_10Percentile",2
"wavelet.LLL_glszm_LargeAreaLowGrayLevelEmphasis",7
"wavelet.LHL_firstorder_90Percentile",1
"wavelet.HLL_gldm_LowGrayLevelEmphasis",2
"wavelet.LHL_firstorder_Kurtosis",10
"gradient_firstorder_Median",4
"log.sigma.2.0.mm.3D_firstorder_Median",2
"lbp.3D.k_gldm_SmallDependenceLowGrayLevelEmphasis",12
"wavelet.HLH_firstorder_Kurtosis",3
"wavelet.LHH_glszm_LowGrayLevelZoneEmphasis",4
"wavelet.LLH_firstorder_Mean",1
"log.sigma.1.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",5
"logarithm_glcm_InverseVariance",7
"wavelet.LHL_glcm_Imc1",4
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",1
"lbp.3D.m1_glcm_InverseVariance",1
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",7
"wavelet.LHL_firstorder_Mean",3
"wavelet.HLH_glcm_ClusterShade",1
"lbp.3D.m2_glrlm_LongRunLowGrayLevelEmphasis",2
"original_glszm_SizeZoneNonUniformityNormalized",6
"logarithm_glcm_Correlation",1
"log.sigma.3.0.mm.3D_glcm_Autocorrelation",7
"log.sigma.3.0.mm.3D_glrlm_LongRunLowGrayLevelEmphasis",6
"logarithm_firstorder_Kurtosis",3
"logarithm_glszm_GrayLevelNonUniformityNormalized",4
"wavelet.HLL_firstorder_Variance",4
"wavelet.LLL_glszm_SmallAreaHighGrayLevelEmphasis",1
"logarithm_gldm_DependenceEntropy",2
"wavelet.HLL_firstorder_Skewness",3
"log.sigma.2.0.mm.3D_glcm_Correlation",4
"wavelet.LLH_glszm_GrayLevelVariance",1
